time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-21 23:00:00 UTC+0000,2.645,4.445,4.445,0.375
2021-01-22 03:00:00 UTC+0000,2.5925,3.75,3.75,0.3125
2021-01-22 07:00:00 UTC+0000,0.75,1.0,1.0,0.1
2021-01-22 11:00:00 UTC+0000,0.145,1.0,1.0,0.0875
2021-01-22 15:00:00 UTC+0000,0.12,0.555,0.555,0.08
2021-01-22 19:00:00 UTC+0000,0.75,0.75,0.75,0.25
2021-01-22 23:00:00 UTC+0000,0.935,0.2125,2.645,0.2125
2021-01-23 03:00:00 UTC+0000,0.765,0.205,2.5925,0.205
2021-01-23 07:00:00 UTC+0000,0.3125,0.1075,0.75,0.1075
2021-01-23 11:00:00 UTC+0000,0.1,0.085,0.145,0.085
2021-01-23 15:00:00 UTC+0000,0.095,0.085,0.12,0.085
2021-01-23 19:00:00 UTC+0000,0.3175,0.1375,0.75,0.1375
2021-01-23 23:00:00 UTC+0000,0.4625,0.145,0.935,0.145
2021-01-24 03:00:00 UTC+0000,0.5,0.15,0.765,0.15
2021-01-24 07:00:00 UTC+0000,0.1875,0.0925,0.3125,0.0925
2021-01-24 11:00:00 UTC+0000,0.0525,0.075,0.1,0.075
2021-01-24 15:00:00 UTC+0000,0.0,0.075,0.095,0.075
2021-01-24 19:00:00 UTC+0000,0.17,0.11,0.3175,0.11
2021-01-24 23:00:00 UTC+0000,0.28,2.645,0.4625,0.0925
2021-01-25 03:00:00 UTC+0000,0.355,2.5925,0.5,0.1
2021-01-25 07:00:00 UTC+0000,0.125,0.75,0.1875,0.0725
2021-01-25 11:00:00 UTC+0000,0.1575,0.145,0.0525,0.0575
2021-01-25 15:00:00 UTC+0000,0.1275,0.12,0.0,0.06
2021-01-25 19:00:00 UTC+0000,0.1875,0.75,0.17,0.105
2021-01-25 23:00:00 UTC+0000,0.25,0.28,0.28,0.75
2021-01-26 03:00:00 UTC+0000,0.25,0.355,0.355,0.16
2021-01-26 07:00:00 UTC+0000,0.105,0.125,0.125,0.115
2021-01-26 11:00:00 UTC+0000,0.17,0.1575,0.1575,0.125
2021-01-26 15:00:00 UTC+0000,0.1,0.1275,0.1275,0.1075
2021-01-26 19:00:00 UTC+0000,0.1425,0.1875,0.1875,0.525
2021-01-26 23:00:00 UTC+0000,0.2,0.25,0.25,1.88
2021-01-27 03:00:00 UTC+0000,0.2025,0.25,0.25,1.355
2021-01-27 07:00:00 UTC+0000,0.1,0.105,0.105,0.1875
2021-01-27 11:00:00 UTC+0000,0.1375,0.17,0.17,0.12
2021-01-27 15:00:00 UTC+0000,0.0825,0.1,0.1,0.0825
2021-01-27 19:00:00 UTC+0000,0.125,0.1425,0.1425,0.75
2021-01-27 23:00:00 UTC+0000,0.1725,0.2,0.2,4.445
2021-01-28 03:00:00 UTC+0000,0.1925,0.2025,0.2025,3.75
2021-01-28 07:00:00 UTC+0000,0.085,0.1,0.1,1.0
2021-01-28 11:00:00 UTC+0000,0.1,0.1375,0.1375,1.0
2021-01-28 15:00:00 UTC+0000,0.0825,0.0825,0.0825,0.555
2021-01-28 19:00:00 UTC+0000,0.105,0.125,0.125,0.75
2021-01-28 23:00:00 UTC+0000,0.175,0.1725,0.1725,2.645
2021-01-29 03:00:00 UTC+0000,0.1625,0.1925,0.1925,2.5925
2021-01-29 07:00:00 UTC+0000,0.1125,0.085,0.085,0.75
2021-01-29 11:00:00 UTC+0000,0.135,0.1,0.1,0.145
2021-01-29 15:00:00 UTC+0000,0.075,0.0825,0.0825,0.12
2021-01-29 19:00:00 UTC+0000,0.09,0.105,0.105,0.75
2021-01-29 23:00:00 UTC+0000,0.2575,0.935,0.175,0.935
2021-01-30 03:00:00 UTC+0000,0.155,0.765,0.1625,0.765
2021-01-30 07:00:00 UTC+0000,0.0975,0.3125,0.1125,0.3125
2021-01-30 11:00:00 UTC+0000,0.1075,0.1,0.135,0.1
2021-01-30 15:00:00 UTC+0000,0.075,0.095,0.075,0.095
2021-01-30 19:00:00 UTC+0000,0.0875,0.3175,0.09,0.3175
2021-01-30 23:00:00 UTC+0000,0.25,0.4625,0.2575,0.4625
2021-01-31 03:00:00 UTC+0000,0.775,0.5,0.155,0.5
2021-01-31 07:00:00 UTC+0000,0.095,0.1875,0.0975,0.1875
2021-01-31 11:00:00 UTC+0000,0.1,0.0525,0.1075,0.0525
2021-01-31 15:00:00 UTC+0000,0.0725,0.0,0.075,0.0
2021-01-31 19:00:00 UTC+0000,0.0825,0.17,0.0875,0.17
2021-01-31 23:00:00 UTC+0000,0.22,0.175,0.25,0.28
2021-02-01 03:00:00 UTC+0000,0.5,0.1625,0.775,0.355
2021-02-01 07:00:00 UTC+0000,0.0825,0.1125,0.095,0.125
2021-02-01 11:00:00 UTC+0000,0.115,0.135,0.1,0.1575
2021-02-01 15:00:00 UTC+0000,0.0825,0.075,0.0725,0.1275
2021-02-01 19:00:00 UTC+0000,0.0825,0.09,0.0825,0.1875
2021-02-01 23:00:00 UTC+0000,0.175,0.22,0.22,0.25
2021-02-02 03:00:00 UTC+0000,0.25,0.5,0.5,0.25
2021-02-02 07:00:00 UTC+0000,0.07,0.0825,0.0825,0.105
2021-02-02 11:00:00 UTC+0000,0.0875,0.115,0.115,0.17
2021-02-02 15:00:00 UTC+0000,0.0675,0.0825,0.0825,0.1
2021-02-02 19:00:00 UTC+0000,0.0675,0.0825,0.0825,0.1425
2021-02-02 23:00:00 UTC+0000,0.2,0.175,0.175,0.2
2021-02-03 03:00:00 UTC+0000,0.375,0.25,0.25,0.2025
2021-02-03 07:00:00 UTC+0000,0.12,0.07,0.07,0.1
2021-02-03 11:00:00 UTC+0000,0.125,0.0875,0.0875,0.1375
2021-02-03 15:00:00 UTC+0000,0.0675,0.0675,0.0675,0.0825
2021-02-03 19:00:00 UTC+0000,1.175,0.0675,0.0675,0.125
2021-02-03 23:00:00 UTC+0000,1.4725,0.2,0.2,0.1725
2021-02-04 03:00:00 UTC+0000,0.2825,0.375,0.375,0.1925
2021-02-04 07:00:00 UTC+0000,0.095,0.12,0.12,0.085
2021-02-04 11:00:00 UTC+0000,0.105,0.125,0.125,0.1
2021-02-04 15:00:00 UTC+0000,0.0625,0.0675,0.0675,0.0825
2021-02-04 19:00:00 UTC+0000,0.5,1.175,1.175,0.105
2021-02-04 23:00:00 UTC+0000,0.7175,1.4725,1.4725,0.175
2021-02-05 03:00:00 UTC+0000,0.2075,0.2825,0.2825,0.1625
2021-02-05 07:00:00 UTC+0000,0.075,0.095,0.095,0.1125
2021-02-05 11:00:00 UTC+0000,0.09,0.105,0.105,0.135
2021-02-05 15:00:00 UTC+0000,0.0575,0.0625,0.0625,0.075
2021-02-05 19:00:00 UTC+0000,0.35,0.5,0.5,0.09
2021-02-05 23:00:00 UTC+0000,1.0,0.2575,0.7175,0.2575
2021-02-06 03:00:00 UTC+0000,1.4825,0.155,0.2075,0.155
2021-02-06 07:00:00 UTC+0000,0.555,0.0975,0.075,0.0975
2021-02-06 11:00:00 UTC+0000,1.25,0.1075,0.09,0.1075
2021-02-06 15:00:00 UTC+0000,1.255,0.075,0.0575,0.075
2021-02-06 19:00:00 UTC+0000,2.4975,0.0875,0.35,0.0875
2021-02-06 23:00:00 UTC+0000,22.5,0.25,1.0,0.25
2021-02-07 03:00:00 UTC+0000,30.25,0.775,1.4825,0.775
2021-02-07 07:00:00 UTC+0000,5.25,0.095,0.555,0.095
2021-02-07 11:00:00 UTC+0000,2.6875,0.1,1.25,0.1
2021-02-07 15:00:00 UTC+0000,1.72,0.0725,1.255,0.0725
2021-02-07 19:00:00 UTC+0000,2.45,0.0825,2.4975,0.0825
2021-02-07 23:00:00 UTC+0000,4.85,0.7175,22.5,0.22
2021-02-08 03:00:00 UTC+0000,5.04,0.2075,30.25,0.5
2021-02-08 07:00:00 UTC+0000,1.1475,0.075,5.25,0.0825
2021-02-08 11:00:00 UTC+0000,0.795,0.09,2.6875,0.115
2021-02-08 15:00:00 UTC+0000,0.55,0.0575,1.72,0.0825
2021-02-08 19:00:00 UTC+0000,0.6825,0.35,2.45,0.0825
2021-02-08 23:00:00 UTC+0000,2.2225,4.85,4.85,0.175
2021-02-09 03:00:00 UTC+0000,1.8825,5.04,5.04,0.25
2021-02-09 07:00:00 UTC+0000,0.455,1.1475,1.1475,0.07
2021-02-09 11:00:00 UTC+0000,0.4425,0.795,0.795,0.0875
2021-02-09 15:00:00 UTC+0000,0.4125,0.55,0.55,0.0675
2021-02-09 19:00:00 UTC+0000,0.4325,0.6825,0.6825,0.0675
2021-02-09 23:00:00 UTC+0000,0.87,2.2225,2.2225,0.2
2021-02-10 03:00:00 UTC+0000,0.9125,1.8825,1.8825,0.375
2021-02-10 07:00:00 UTC+0000,0.32,0.455,0.455,0.12
