time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-11 14:00:00 UTC+0000,50.96,95.42,54.85,59.46
2021-01-11 15:00:00 UTC+0000,49.12,95.0,56.52,61.99
2021-01-11 16:00:00 UTC+0000,53.44,110.0,62.09,66.82
2021-01-11 17:00:00 UTC+0000,47.94,102.41,63.41,61.97
2021-01-11 18:00:00 UTC+0000,42.16,88.05,56.39,55.06
2021-01-11 19:00:00 UTC+0000,38.03,64.24,55.64,47.34
2021-01-11 20:00:00 UTC+0000,34.24,59.43,53.33,45.64
2021-01-11 21:00:00 UTC+0000,34.01,57.6,52.05,48.93
2021-01-11 22:00:00 UTC+0000,27.39,51.75,37.24,44.64
2021-01-11 23:00:00 UTC+0000,18.96,44.9,44.9,37.54
2021-01-12 00:00:00 UTC+0000,15.82,44.74,44.74,40.07
2021-01-12 01:00:00 UTC+0000,19.0,45.06,45.06,39.81
2021-01-12 02:00:00 UTC+0000,24.14,44.07,44.07,39.65
2021-01-12 03:00:00 UTC+0000,27.0,44.53,44.53,40.2
2021-01-12 04:00:00 UTC+0000,35.94,42.74,42.74,44.26
2021-01-12 05:00:00 UTC+0000,40.96,54.62,54.62,47.06
2021-01-12 06:00:00 UTC+0000,54.51,67.11,67.11,54.96
2021-01-12 07:00:00 UTC+0000,60.64,70.59,70.59,63.67
2021-01-12 08:00:00 UTC+0000,54.96,58.32,58.32,64.73
2021-01-12 09:00:00 UTC+0000,56.5,55.89,55.89,66.07
2021-01-12 10:00:00 UTC+0000,57.88,54.49,54.49,65.97
2021-01-12 11:00:00 UTC+0000,59.64,53.35,53.35,65.46
2021-01-12 12:00:00 UTC+0000,54.94,48.39,48.39,63.82
2021-01-12 13:00:00 UTC+0000,51.55,49.57,49.57,63.87
2021-01-12 14:00:00 UTC+0000,55.56,50.96,50.96,64.05
2021-01-12 15:00:00 UTC+0000,63.01,49.12,49.12,64.26
2021-01-12 16:00:00 UTC+0000,64.6,53.44,53.44,67.14
2021-01-12 17:00:00 UTC+0000,61.89,47.94,47.94,61.61
2021-01-12 18:00:00 UTC+0000,54.9,42.16,42.16,59.16
2021-01-12 19:00:00 UTC+0000,53.25,38.03,38.03,59.26
2021-01-12 20:00:00 UTC+0000,44.84,34.24,34.24,53.62
2021-01-12 21:00:00 UTC+0000,38.68,34.01,34.01,53.86
2021-01-12 22:00:00 UTC+0000,37.24,27.39,27.39,47.99
