time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-10-16 02:00:00 UTC+0000,115.0225
2021-10-16 06:00:00 UTC+0000,89.25
2021-10-16 10:00:00 UTC+0000,134.55
2021-10-16 14:00:00 UTC+0000,56.75
2021-10-16 18:00:00 UTC+0000,63.4
2021-10-16 22:00:00 UTC+0000,103.1175
2021-10-17 02:00:00 UTC+0000,83.98
2021-10-17 06:00:00 UTC+0000,65.085
2021-10-17 10:00:00 UTC+0000,102.0
2021-10-17 14:00:00 UTC+0000,41.29
2021-10-17 18:00:00 UTC+0000,42.6425
2021-10-17 22:00:00 UTC+0000,72.53
2021-10-18 02:00:00 UTC+0000,55.5
2021-10-18 06:00:00 UTC+0000,44.4
2021-10-18 10:00:00 UTC+0000,61.67
2021-10-18 14:00:00 UTC+0000,29.645
2021-10-18 18:00:00 UTC+0000,32.15
2021-10-18 22:00:00 UTC+0000,59.735
2021-10-19 02:00:00 UTC+0000,47.2775
2021-10-19 06:00:00 UTC+0000,36.1275
2021-10-19 10:00:00 UTC+0000,45.7625
2021-10-19 14:00:00 UTC+0000,29.465
2021-10-19 18:00:00 UTC+0000,684.53
2021-10-19 22:00:00 UTC+0000,242.8125
2021-10-20 02:00:00 UTC+0000,158.3325
2021-10-20 06:00:00 UTC+0000,89.6425
2021-10-20 10:00:00 UTC+0000,170.0625
2021-10-20 14:00:00 UTC+0000,87.5
2021-10-20 18:00:00 UTC+0000,221.155
2021-10-20 22:00:00 UTC+0000,196.875
2021-10-21 02:00:00 UTC+0000,135.575
2021-10-21 06:00:00 UTC+0000,79.3475
2021-10-21 10:00:00 UTC+0000,168.125
2021-10-21 14:00:00 UTC+0000,72.33
2021-10-21 18:00:00 UTC+0000,172.6
2021-10-21 22:00:00 UTC+0000,161.4575
2021-10-22 02:00:00 UTC+0000,110.0
2021-10-22 06:00:00 UTC+0000,62.325
2021-10-22 10:00:00 UTC+0000,140.675
2021-10-22 14:00:00 UTC+0000,57.25
2021-10-22 18:00:00 UTC+0000,118.5275
2021-10-22 22:00:00 UTC+0000,110.285
2021-10-23 02:00:00 UTC+0000,85.0
2021-10-23 06:00:00 UTC+0000,45.0625
2021-10-23 10:00:00 UTC+0000,97.43
2021-10-23 14:00:00 UTC+0000,41.07
2021-10-23 18:00:00 UTC+0000,71.91
2021-10-23 22:00:00 UTC+0000,72.5
2021-10-24 02:00:00 UTC+0000,55.01
2021-10-24 06:00:00 UTC+0000,33.32
2021-10-24 10:00:00 UTC+0000,88.5325
2021-10-24 14:00:00 UTC+0000,31.1675
2021-10-24 18:00:00 UTC+0000,46.93
2021-10-24 22:00:00 UTC+0000,61.0
2021-10-25 02:00:00 UTC+0000,37.635
2021-10-25 06:00:00 UTC+0000,21.115
2021-10-25 10:00:00 UTC+0000,44.25
2021-10-25 14:00:00 UTC+0000,21.0125
2021-10-25 18:00:00 UTC+0000,28.465
2021-10-25 22:00:00 UTC+0000,45.88
2021-10-26 02:00:00 UTC+0000,27.3275
2021-10-26 06:00:00 UTC+0000,14.375
2021-10-26 10:00:00 UTC+0000,29.0275
2021-10-26 14:00:00 UTC+0000,14.25
2021-10-26 18:00:00 UTC+0000,19.65
2021-10-26 22:00:00 UTC+0000,54.23
2021-10-27 02:00:00 UTC+0000,26.43
2021-10-27 06:00:00 UTC+0000,12.5
2021-10-27 10:00:00 UTC+0000,28.23
2021-10-27 14:00:00 UTC+0000,12.06
2021-10-27 18:00:00 UTC+0000,16.79
2021-10-27 22:00:00 UTC+0000,45.5175
2021-10-28 02:00:00 UTC+0000,24.23
2021-10-28 06:00:00 UTC+0000,9.625
2021-10-28 10:00:00 UTC+0000,23.75
2021-10-28 14:00:00 UTC+0000,9.1725
2021-10-28 18:00:00 UTC+0000,13.825
2021-10-28 22:00:00 UTC+0000,41.75
2021-10-29 02:00:00 UTC+0000,21.43
2021-10-29 06:00:00 UTC+0000,7.97
2021-10-29 10:00:00 UTC+0000,21.42
2021-10-29 14:00:00 UTC+0000,7.2
2021-10-29 18:00:00 UTC+0000,18.7625
2021-10-29 22:00:00 UTC+0000,39.5
2021-10-30 02:00:00 UTC+0000,24.9975
2021-10-30 06:00:00 UTC+0000,9.3025
2021-10-30 10:00:00 UTC+0000,22.0
2021-10-30 14:00:00 UTC+0000,9.2925
2021-10-30 18:00:00 UTC+0000,21.07
2021-10-30 22:00:00 UTC+0000,45.41
2021-10-31 03:00:00 UTC+0000,34.785
2021-10-31 07:00:00 UTC+0000,12.75
2021-10-31 11:00:00 UTC+0000,30.365
2021-10-31 15:00:00 UTC+0000,17.59
2021-10-31 19:00:00 UTC+0000,47.65
2021-10-31 23:00:00 UTC+0000,80.0
2021-11-01 03:00:00 UTC+0000,36.685
2021-11-01 07:00:00 UTC+0000,11.6025
2021-11-01 11:00:00 UTC+0000,24.3425
2021-11-01 15:00:00 UTC+0000,12.835
2021-11-01 19:00:00 UTC+0000,29.0825
2021-11-01 23:00:00 UTC+0000,47.0
2021-11-02 03:00:00 UTC+0000,23.5
2021-11-02 07:00:00 UTC+0000,8.25
2021-11-02 11:00:00 UTC+0000,16.9575
2021-11-02 15:00:00 UTC+0000,8.5
2021-11-02 19:00:00 UTC+0000,17.25
2021-11-02 23:00:00 UTC+0000,32.385
2021-11-03 03:00:00 UTC+0000,16.0
2021-11-03 07:00:00 UTC+0000,5.5
2021-11-03 11:00:00 UTC+0000,11.5325
2021-11-03 15:00:00 UTC+0000,5.5
2021-11-03 19:00:00 UTC+0000,12.0675
2021-11-03 23:00:00 UTC+0000,23.15
2021-11-04 03:00:00 UTC+0000,13.3225
2021-11-04 07:00:00 UTC+0000,4.5725
2021-11-04 11:00:00 UTC+0000,9.97
2021-11-04 15:00:00 UTC+0000,6.0
2021-11-04 19:00:00 UTC+0000,9.7625
2021-11-04 23:00:00 UTC+0000,30.4275
2021-11-05 03:00:00 UTC+0000,12.815
2021-11-05 07:00:00 UTC+0000,3.5
2021-11-05 11:00:00 UTC+0000,7.5
2021-11-05 15:00:00 UTC+0000,4.1425
2021-11-05 19:00:00 UTC+0000,9.97
2021-11-05 23:00:00 UTC+0000,31.88
2021-11-06 03:00:00 UTC+0000,22.03
2021-11-06 07:00:00 UTC+0000,10.13
2021-11-06 11:00:00 UTC+0000,18.5
2021-11-06 15:00:00 UTC+0000,9.78
2021-11-06 19:00:00 UTC+0000,34.8125
2021-11-06 23:00:00 UTC+0000,94.25
2021-11-07 03:00:00 UTC+0000,111.4625
2021-11-07 07:00:00 UTC+0000,32.35
2021-11-07 11:00:00 UTC+0000,37.555
2021-11-07 15:00:00 UTC+0000,12.21
2021-11-07 19:00:00 UTC+0000,25.0
2021-11-07 23:00:00 UTC+0000,65.0
2021-11-08 03:00:00 UTC+0000,47.0
2021-11-08 07:00:00 UTC+0000,15.75
2021-11-08 11:00:00 UTC+0000,20.0
2021-11-08 15:00:00 UTC+0000,9.63
2021-11-08 19:00:00 UTC+0000,19.35
2021-11-08 23:00:00 UTC+0000,32.25
2021-11-09 03:00:00 UTC+0000,26.18
2021-11-09 07:00:00 UTC+0000,9.705
2021-11-09 11:00:00 UTC+0000,12.7225
2021-11-09 15:00:00 UTC+0000,6.05
2021-11-09 19:00:00 UTC+0000,13.2125
2021-11-09 23:00:00 UTC+0000,22.5
2021-11-10 03:00:00 UTC+0000,17.95
2021-11-10 07:00:00 UTC+0000,6.3625
2021-11-10 11:00:00 UTC+0000,9.5
2021-11-10 15:00:00 UTC+0000,4.4675
2021-11-10 19:00:00 UTC+0000,9.73
2021-11-10 23:00:00 UTC+0000,17.8125
2021-11-11 03:00:00 UTC+0000,13.23
2021-11-11 07:00:00 UTC+0000,4.415
2021-11-11 11:00:00 UTC+0000,7.16
2021-11-11 15:00:00 UTC+0000,3.0
2021-11-11 19:00:00 UTC+0000,7.07
2021-11-11 23:00:00 UTC+0000,14.0
2021-11-12 03:00:00 UTC+0000,11.0
2021-11-12 07:00:00 UTC+0000,3.345
2021-11-12 11:00:00 UTC+0000,6.0625
2021-11-12 15:00:00 UTC+0000,2.52
2021-11-12 19:00:00 UTC+0000,8.46
2021-11-12 23:00:00 UTC+0000,21.3775
2021-11-13 03:00:00 UTC+0000,16.48
2021-11-13 07:00:00 UTC+0000,4.62
2021-11-13 11:00:00 UTC+0000,6.67
2021-11-13 15:00:00 UTC+0000,2.66
2021-11-13 19:00:00 UTC+0000,8.03
2021-11-13 23:00:00 UTC+0000,19.3225
2021-11-14 03:00:00 UTC+0000,16.0
2021-11-14 07:00:00 UTC+0000,6.8425
2021-11-14 11:00:00 UTC+0000,9.5
2021-11-14 15:00:00 UTC+0000,4.5
2021-11-14 19:00:00 UTC+0000,8.91
2021-11-14 23:00:00 UTC+0000,19.0
2021-11-15 03:00:00 UTC+0000,14.0
2021-11-15 07:00:00 UTC+0000,4.5275
2021-11-15 11:00:00 UTC+0000,5.7775
2021-11-15 15:00:00 UTC+0000,2.8825
2021-11-15 19:00:00 UTC+0000,6.615
2021-11-15 23:00:00 UTC+0000,15.2
2021-11-16 03:00:00 UTC+0000,10.65
2021-11-16 07:00:00 UTC+0000,3.25
2021-11-16 11:00:00 UTC+0000,4.455
2021-11-16 15:00:00 UTC+0000,2.1175
2021-11-16 19:00:00 UTC+0000,5.25
2021-11-16 23:00:00 UTC+0000,13.63
2021-11-17 03:00:00 UTC+0000,8.7675
2021-11-17 07:00:00 UTC+0000,2.75
2021-11-17 11:00:00 UTC+0000,4.54
2021-11-17 15:00:00 UTC+0000,3.0
2021-11-17 19:00:00 UTC+0000,14.585
2021-11-17 23:00:00 UTC+0000,25.525
2021-11-18 03:00:00 UTC+0000,17.0
2021-11-18 07:00:00 UTC+0000,4.15
2021-11-18 11:00:00 UTC+0000,9.025
2021-11-18 15:00:00 UTC+0000,4.8525
2021-11-18 19:00:00 UTC+0000,23.725
2021-11-18 23:00:00 UTC+0000,37.5
2021-11-19 03:00:00 UTC+0000,31.2425
2021-11-19 07:00:00 UTC+0000,5.83
2021-11-19 11:00:00 UTC+0000,9.1475
2021-11-19 15:00:00 UTC+0000,4.2525
2021-11-19 19:00:00 UTC+0000,21.155
2021-11-19 23:00:00 UTC+0000,26.69
2021-11-20 03:00:00 UTC+0000,22.625
2021-11-20 07:00:00 UTC+0000,6.68
2021-11-20 11:00:00 UTC+0000,9.18
2021-11-20 15:00:00 UTC+0000,4.44
2021-11-20 19:00:00 UTC+0000,16.3275
2021-11-20 23:00:00 UTC+0000,26.16
2021-11-21 03:00:00 UTC+0000,25.23
2021-11-21 07:00:00 UTC+0000,5.71
2021-11-21 11:00:00 UTC+0000,7.62
2021-11-21 15:00:00 UTC+0000,3.74
2021-11-21 19:00:00 UTC+0000,12.265
2021-11-21 23:00:00 UTC+0000,26.75
2021-11-22 03:00:00 UTC+0000,18.875
2021-11-22 07:00:00 UTC+0000,3.985
2021-11-22 11:00:00 UTC+0000,5.345
2021-11-22 15:00:00 UTC+0000,2.75
2021-11-22 19:00:00 UTC+0000,9.08
2021-11-22 23:00:00 UTC+0000,30.0
2021-11-23 03:00:00 UTC+0000,17.25
2021-11-23 07:00:00 UTC+0000,2.9575
2021-11-23 11:00:00 UTC+0000,4.2525
2021-11-23 15:00:00 UTC+0000,2.05
2021-11-23 19:00:00 UTC+0000,7.0
2021-11-23 23:00:00 UTC+0000,22.5
2021-11-24 03:00:00 UTC+0000,14.25
2021-11-24 07:00:00 UTC+0000,2.19
2021-11-24 11:00:00 UTC+0000,3.06
2021-11-24 15:00:00 UTC+0000,1.565
2021-11-24 19:00:00 UTC+0000,5.0975
2021-11-24 23:00:00 UTC+0000,17.5
2021-11-25 03:00:00 UTC+0000,11.565
2021-11-25 07:00:00 UTC+0000,1.8875
2021-11-25 11:00:00 UTC+0000,2.7125
2021-11-25 15:00:00 UTC+0000,1.5075
2021-11-25 19:00:00 UTC+0000,7.215
2021-11-25 23:00:00 UTC+0000,25.655
2021-11-26 03:00:00 UTC+0000,11.25
2021-11-26 07:00:00 UTC+0000,1.48
2021-11-26 11:00:00 UTC+0000,2.2275
2021-11-26 15:00:00 UTC+0000,1.4625
2021-11-26 19:00:00 UTC+0000,9.1625
2021-11-26 23:00:00 UTC+0000,39.5
2021-11-27 03:00:00 UTC+0000,18.2675
2021-11-27 07:00:00 UTC+0000,2.3975
2021-11-27 11:00:00 UTC+0000,1.89
2021-11-27 15:00:00 UTC+0000,1.1275
2021-11-27 19:00:00 UTC+0000,5.78
2021-11-27 23:00:00 UTC+0000,22.89
2021-11-28 03:00:00 UTC+0000,15.0
2021-11-28 07:00:00 UTC+0000,1.9
2021-11-28 11:00:00 UTC+0000,1.7
2021-11-28 15:00:00 UTC+0000,0.9575
2021-11-28 19:00:00 UTC+0000,4.495
2021-11-28 23:00:00 UTC+0000,22.05
2021-11-29 03:00:00 UTC+0000,12.8625
2021-11-29 07:00:00 UTC+0000,1.425
2021-11-29 11:00:00 UTC+0000,1.505
2021-11-29 15:00:00 UTC+0000,1.09
2021-11-29 19:00:00 UTC+0000,5.4625
2021-11-29 23:00:00 UTC+0000,30.8625
2021-11-30 03:00:00 UTC+0000,30.1675
2021-11-30 07:00:00 UTC+0000,8.2525
2021-11-30 11:00:00 UTC+0000,9.37
2021-11-30 15:00:00 UTC+0000,3.9375
2021-11-30 19:00:00 UTC+0000,7.84
2021-11-30 23:00:00 UTC+0000,27.66
2021-12-01 03:00:00 UTC+0000,28.22
2021-12-01 07:00:00 UTC+0000,7.16
2021-12-01 11:00:00 UTC+0000,9.37
2021-12-01 15:00:00 UTC+0000,4.415
2021-12-01 19:00:00 UTC+0000,13.115
2021-12-01 23:00:00 UTC+0000,30.0
2021-12-02 03:00:00 UTC+0000,20.835
2021-12-02 07:00:00 UTC+0000,5.0875
2021-12-02 11:00:00 UTC+0000,5.93
2021-12-02 15:00:00 UTC+0000,2.74
2021-12-02 19:00:00 UTC+0000,7.77
2021-12-02 23:00:00 UTC+0000,23.74
2021-12-03 03:00:00 UTC+0000,17.0
2021-12-03 07:00:00 UTC+0000,4.175
2021-12-03 11:00:00 UTC+0000,6.1975
2021-12-03 15:00:00 UTC+0000,3.4
2021-12-03 19:00:00 UTC+0000,10.215
2021-12-03 23:00:00 UTC+0000,27.0875
2021-12-04 03:00:00 UTC+0000,13.2525
2021-12-04 07:00:00 UTC+0000,3.25
2021-12-04 11:00:00 UTC+0000,4.4625
2021-12-04 15:00:00 UTC+0000,2.205
2021-12-04 19:00:00 UTC+0000,7.1725
2021-12-04 23:00:00 UTC+0000,26.6875
2021-12-05 03:00:00 UTC+0000,23.75
2021-12-05 07:00:00 UTC+0000,7.5
2021-12-05 11:00:00 UTC+0000,4.75
2021-12-05 15:00:00 UTC+0000,2.115
2021-12-05 19:00:00 UTC+0000,5.835
2021-12-05 23:00:00 UTC+0000,24.285
2021-12-06 03:00:00 UTC+0000,17.7675
2021-12-06 07:00:00 UTC+0000,3.8325
2021-12-06 11:00:00 UTC+0000,2.8625
2021-12-06 15:00:00 UTC+0000,1.5925
2021-12-06 19:00:00 UTC+0000,9.165
2021-12-06 23:00:00 UTC+0000,43.72
2021-12-07 03:00:00 UTC+0000,17.255
2021-12-07 07:00:00 UTC+0000,3.16
2021-12-07 11:00:00 UTC+0000,2.485
2021-12-07 15:00:00 UTC+0000,1.2575
2021-12-07 19:00:00 UTC+0000,12.505
2021-12-07 23:00:00 UTC+0000,67.46
2021-12-08 03:00:00 UTC+0000,47.55
2021-12-08 07:00:00 UTC+0000,5.72
2021-12-08 11:00:00 UTC+0000,4.34
2021-12-08 15:00:00 UTC+0000,2.86
2021-12-08 19:00:00 UTC+0000,13.0
2021-12-08 23:00:00 UTC+0000,37.0
2021-12-09 03:00:00 UTC+0000,22.14
2021-12-09 07:00:00 UTC+0000,2.91
2021-12-09 11:00:00 UTC+0000,2.53
2021-12-09 15:00:00 UTC+0000,1.68
2021-12-09 19:00:00 UTC+0000,8.86
2021-12-09 23:00:00 UTC+0000,34.03
2021-12-10 03:00:00 UTC+0000,19.43
2021-12-10 07:00:00 UTC+0000,2.24
2021-12-10 11:00:00 UTC+0000,2.0
2021-12-10 15:00:00 UTC+0000,1.24
2021-12-10 19:00:00 UTC+0000,6.5
2021-12-10 23:00:00 UTC+0000,20.55
2021-12-11 03:00:00 UTC+0000,11.85
2021-12-11 07:00:00 UTC+0000,1.83
2021-12-11 11:00:00 UTC+0000,1.52
2021-12-11 15:00:00 UTC+0000,1.0
2021-12-11 19:00:00 UTC+0000,5.75
2021-12-11 23:00:00 UTC+0000,39.45
2021-12-12 03:00:00 UTC+0000,50.08
2021-12-12 07:00:00 UTC+0000,9.95
2021-12-12 11:00:00 UTC+0000,3.57
2021-12-12 15:00:00 UTC+0000,1.45
2021-12-12 19:00:00 UTC+0000,4.5
2021-12-12 23:00:00 UTC+0000,26.58
2021-12-13 03:00:00 UTC+0000,21.0
2021-12-13 07:00:00 UTC+0000,2.5
2021-12-13 11:00:00 UTC+0000,1.58
2021-12-13 15:00:00 UTC+0000,0.96
2021-12-13 19:00:00 UTC+0000,4.51
2021-12-13 23:00:00 UTC+0000,44.28
2021-12-14 03:00:00 UTC+0000,22.15
2021-12-14 07:00:00 UTC+0000,1.69
2021-12-14 11:00:00 UTC+0000,1.28
2021-12-14 15:00:00 UTC+0000,0.75
2021-12-14 19:00:00 UTC+0000,4.34
2021-12-14 23:00:00 UTC+0000,40.73
2021-12-15 03:00:00 UTC+0000,22.51
2021-12-15 07:00:00 UTC+0000,1.4
2021-12-15 11:00:00 UTC+0000,1.08
2021-12-15 15:00:00 UTC+0000,0.78
2021-12-15 19:00:00 UTC+0000,3.92
2021-12-15 23:00:00 UTC+0000,40.32
2021-12-16 03:00:00 UTC+0000,19.1
2021-12-16 07:00:00 UTC+0000,1.09
2021-12-16 11:00:00 UTC+0000,0.93
2021-12-16 15:00:00 UTC+0000,0.62
2021-12-16 19:00:00 UTC+0000,3.28
2021-12-16 23:00:00 UTC+0000,36.1
2021-12-17 03:00:00 UTC+0000,17.69
2021-12-17 07:00:00 UTC+0000,0.93
2021-12-17 11:00:00 UTC+0000,1.0
2021-12-17 15:00:00 UTC+0000,0.54
2021-12-17 19:00:00 UTC+0000,2.95
2021-12-17 23:00:00 UTC+0000,24.23
2021-12-18 03:00:00 UTC+0000,13.63
2021-12-18 07:00:00 UTC+0000,0.85
2021-12-18 11:00:00 UTC+0000,0.88
2021-12-18 15:00:00 UTC+0000,0.83
2021-12-18 19:00:00 UTC+0000,9.42
2021-12-18 23:00:00 UTC+0000,61.81
2021-12-19 03:00:00 UTC+0000,79.36
2021-12-19 07:00:00 UTC+0000,38.27
2021-12-19 11:00:00 UTC+0000,23.99
2021-12-19 15:00:00 UTC+0000,4.61
2021-12-19 19:00:00 UTC+0000,22.32
2021-12-19 23:00:00 UTC+0000,33.42
2021-12-20 03:00:00 UTC+0000,32.6
2021-12-20 07:00:00 UTC+0000,9.9
2021-12-20 11:00:00 UTC+0000,7.36
2021-12-20 15:00:00 UTC+0000,1.97
2021-12-20 19:00:00 UTC+0000,6.93
2021-12-20 23:00:00 UTC+0000,28.96
2021-12-21 03:00:00 UTC+0000,21.01
2021-12-21 07:00:00 UTC+0000,3.58
2021-12-21 11:00:00 UTC+0000,2.8
2021-12-21 15:00:00 UTC+0000,0.95
2021-12-21 19:00:00 UTC+0000,3.38
2021-12-21 23:00:00 UTC+0000,22.86
2021-12-22 03:00:00 UTC+0000,17.0
2021-12-22 07:00:00 UTC+0000,2.62
2021-12-22 11:00:00 UTC+0000,1.68
2021-12-22 15:00:00 UTC+0000,0.7
2021-12-22 19:00:00 UTC+0000,2.72
2021-12-22 23:00:00 UTC+0000,16.66
2021-12-23 03:00:00 UTC+0000,13.2
2021-12-23 07:00:00 UTC+0000,2.28
2021-12-23 11:00:00 UTC+0000,1.5
2021-12-23 15:00:00 UTC+0000,1.0
2021-12-23 19:00:00 UTC+0000,5.44
2021-12-23 23:00:00 UTC+0000,52.4
2021-12-24 03:00:00 UTC+0000,42.2
2021-12-24 07:00:00 UTC+0000,13.92
2021-12-24 11:00:00 UTC+0000,8.0
2021-12-24 15:00:00 UTC+0000,2.2
2021-12-24 19:00:00 UTC+0000,5.09
2021-12-24 23:00:00 UTC+0000,29.81
2021-12-25 03:00:00 UTC+0000,27.72
2021-12-25 07:00:00 UTC+0000,6.88
2021-12-25 11:00:00 UTC+0000,4.23
2021-12-25 15:00:00 UTC+0000,1.35
2021-12-25 19:00:00 UTC+0000,3.93
2021-12-25 23:00:00 UTC+0000,28.0
2021-12-26 03:00:00 UTC+0000,27.91
2021-12-26 07:00:00 UTC+0000,7.26
2021-12-26 11:00:00 UTC+0000,4.66
2021-12-26 15:00:00 UTC+0000,1.08
2021-12-26 19:00:00 UTC+0000,4.8
2021-12-26 23:00:00 UTC+0000,37.57
2021-12-27 03:00:00 UTC+0000,38.1
2021-12-27 07:00:00 UTC+0000,3.94
2021-12-27 11:00:00 UTC+0000,2.54
2021-12-27 15:00:00 UTC+0000,0.8
2021-12-27 19:00:00 UTC+0000,3.56
2021-12-27 23:00:00 UTC+0000,33.04
2021-12-28 03:00:00 UTC+0000,29.0
2021-12-28 07:00:00 UTC+0000,3.26
2021-12-28 11:00:00 UTC+0000,2.46
2021-12-28 15:00:00 UTC+0000,0.8
2021-12-28 19:00:00 UTC+0000,3.32
2021-12-28 23:00:00 UTC+0000,28.56
2021-12-29 03:00:00 UTC+0000,24.26
2021-12-29 07:00:00 UTC+0000,2.13
2021-12-29 11:00:00 UTC+0000,1.35
2021-12-29 15:00:00 UTC+0000,0.6
2021-12-29 19:00:00 UTC+0000,2.99
2021-12-29 23:00:00 UTC+0000,45.52
2021-12-30 03:00:00 UTC+0000,41.49
2021-12-30 07:00:00 UTC+0000,5.7
2021-12-30 11:00:00 UTC+0000,5.28
2021-12-30 15:00:00 UTC+0000,2.98
2021-12-30 19:00:00 UTC+0000,5.5
2021-12-30 23:00:00 UTC+0000,52.94
2021-12-31 03:00:00 UTC+0000,44.75
2021-12-31 07:00:00 UTC+0000,7.83
2021-12-31 11:00:00 UTC+0000,9.5
2021-12-31 15:00:00 UTC+0000,4.38
2021-12-31 19:00:00 UTC+0000,8.41
2021-12-31 23:00:00 UTC+0000,44.69
2022-01-01 03:00:00 UTC+0000,38.7
2022-01-01 07:00:00 UTC+0000,5.78
2022-01-01 11:00:00 UTC+0000,5.61
2022-01-01 15:00:00 UTC+0000,2.8
2022-01-01 19:00:00 UTC+0000,6.28
2022-01-01 23:00:00 UTC+0000,40.34
2022-01-02 03:00:00 UTC+0000,35.6
2022-01-02 07:00:00 UTC+0000,6.5
2022-01-02 11:00:00 UTC+0000,6.97
2022-01-02 15:00:00 UTC+0000,3.5
2022-01-02 19:00:00 UTC+0000,6.7
2022-01-02 23:00:00 UTC+0000,50.85
2022-01-03 03:00:00 UTC+0000,52.55
2022-01-03 07:00:00 UTC+0000,7.31
2022-01-03 11:00:00 UTC+0000,5.06
2022-01-03 15:00:00 UTC+0000,2.44
2022-01-03 19:00:00 UTC+0000,4.49
2022-01-03 23:00:00 UTC+0000,35.15
2022-01-04 03:00:00 UTC+0000,28.25
2022-01-04 07:00:00 UTC+0000,3.91
2022-01-04 11:00:00 UTC+0000,3.0
2022-01-04 15:00:00 UTC+0000,1.6
2022-01-04 19:00:00 UTC+0000,3.0
2022-01-04 23:00:00 UTC+0000,31.0
2022-01-05 03:00:00 UTC+0000,26.25
2022-01-05 07:00:00 UTC+0000,3.9
2022-01-05 11:00:00 UTC+0000,2.89
2022-01-05 15:00:00 UTC+0000,1.3
2022-01-05 19:00:00 UTC+0000,2.8
2022-01-05 23:00:00 UTC+0000,26.46
2022-01-06 03:00:00 UTC+0000,19.26
2022-01-06 07:00:00 UTC+0000,2.46
2022-01-06 11:00:00 UTC+0000,1.78
2022-01-06 15:00:00 UTC+0000,0.92
2022-01-06 19:00:00 UTC+0000,1.88
2022-01-06 23:00:00 UTC+0000,25.62
2022-01-07 03:00:00 UTC+0000,18.03
2022-01-07 07:00:00 UTC+0000,2.11
2022-01-07 11:00:00 UTC+0000,1.56
2022-01-07 15:00:00 UTC+0000,0.84
2022-01-07 19:00:00 UTC+0000,1.58
2022-01-07 23:00:00 UTC+0000,18.36
2022-01-08 03:00:00 UTC+0000,14.03
2022-01-08 07:00:00 UTC+0000,1.71
2022-01-08 11:00:00 UTC+0000,1.2
2022-01-08 15:00:00 UTC+0000,0.91
2022-01-08 19:00:00 UTC+0000,10.42
2022-01-08 23:00:00 UTC+0000,71.82
2022-01-09 03:00:00 UTC+0000,77.32
2022-01-09 07:00:00 UTC+0000,12.02
2022-01-09 11:00:00 UTC+0000,3.84
2022-01-09 15:00:00 UTC+0000,2.06
2022-01-09 19:00:00 UTC+0000,4.9
2022-01-09 23:00:00 UTC+0000,30.88
2022-01-10 03:00:00 UTC+0000,27.89
2022-01-10 07:00:00 UTC+0000,3.16
2022-01-10 11:00:00 UTC+0000,1.67
2022-01-10 15:00:00 UTC+0000,1.0
2022-01-10 19:00:00 UTC+0000,2.38
2022-01-10 23:00:00 UTC+0000,20.54
2022-01-11 03:00:00 UTC+0000,18.34
2022-01-11 07:00:00 UTC+0000,1.95
2022-01-11 11:00:00 UTC+0000,1.2
2022-01-11 15:00:00 UTC+0000,0.74
2022-01-11 19:00:00 UTC+0000,1.6
2022-01-11 23:00:00 UTC+0000,15.33
2022-01-12 03:00:00 UTC+0000,12.6
2022-01-12 07:00:00 UTC+0000,1.29
2022-01-12 11:00:00 UTC+0000,0.88
2022-01-12 15:00:00 UTC+0000,0.54
2022-01-12 19:00:00 UTC+0000,1.21
2022-01-12 23:00:00 UTC+0000,20.0
2022-01-13 03:00:00 UTC+0000,12.44
2022-01-13 07:00:00 UTC+0000,1.16
2022-01-13 11:00:00 UTC+0000,1.0
2022-01-13 15:00:00 UTC+0000,0.53
2022-01-13 19:00:00 UTC+0000,1.1
2022-01-13 23:00:00 UTC+0000,37.32
2022-01-14 03:00:00 UTC+0000,16.32
2022-01-14 07:00:00 UTC+0000,1.2
2022-01-14 11:00:00 UTC+0000,1.1
2022-01-14 15:00:00 UTC+0000,0.7
2022-01-14 19:00:00 UTC+0000,1.25
2022-01-14 23:00:00 UTC+0000,17.91
2022-01-15 03:00:00 UTC+0000,9.66
2022-01-15 07:00:00 UTC+0000,0.84
2022-01-15 11:00:00 UTC+0000,0.79
2022-01-15 15:00:00 UTC+0000,0.48
2022-01-15 19:00:00 UTC+0000,0.93
2022-01-15 23:00:00 UTC+0000,14.49
2022-01-16 03:00:00 UTC+0000,9.3
2022-01-16 07:00:00 UTC+0000,4.43
2022-01-16 11:00:00 UTC+0000,12.1
2022-01-16 15:00:00 UTC+0000,5.62
2022-01-16 19:00:00 UTC+0000,13.4
2022-01-16 23:00:00 UTC+0000,88.02
2022-01-17 03:00:00 UTC+0000,70.0
2022-01-17 07:00:00 UTC+0000,3.86
2022-01-17 11:00:00 UTC+0000,6.4
2022-01-17 15:00:00 UTC+0000,2.8
2022-01-17 19:00:00 UTC+0000,6.26
2022-01-17 23:00:00 UTC+0000,32.22
2022-01-18 03:00:00 UTC+0000,22.75
2022-01-18 07:00:00 UTC+0000,1.62
2022-01-18 11:00:00 UTC+0000,2.26
2022-01-18 15:00:00 UTC+0000,1.17
2022-01-18 19:00:00 UTC+0000,2.91
2022-01-18 23:00:00 UTC+0000,19.25
2022-01-19 03:00:00 UTC+0000,12.99
2022-01-19 07:00:00 UTC+0000,1.49
2022-01-19 11:00:00 UTC+0000,3.64
2022-01-19 15:00:00 UTC+0000,2.9
2022-01-19 19:00:00 UTC+0000,14.5
2022-01-19 23:00:00 UTC+0000,66.36
2022-01-20 03:00:00 UTC+0000,44.25
2022-01-20 07:00:00 UTC+0000,2.67
