time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-01-22 19:00:00 UTC+0000,0.8975
2021-01-22 23:00:00 UTC+0000,0.25
2021-01-23 03:00:00 UTC+0000,0.85
2021-01-23 07:00:00 UTC+0000,2.7275
2021-01-23 11:00:00 UTC+0000,0.83
2021-01-23 15:00:00 UTC+0000,5.67
2021-01-23 19:00:00 UTC+0000,0.74
2021-01-23 23:00:00 UTC+0000,0.21
2021-01-24 03:00:00 UTC+0000,0.64
2021-01-24 07:00:00 UTC+0000,2.39
2021-01-24 11:00:00 UTC+0000,0.63
2021-01-24 15:00:00 UTC+0000,4.05
2021-01-24 19:00:00 UTC+0000,0.6
2021-01-24 23:00:00 UTC+0000,0.225
2021-01-25 03:00:00 UTC+0000,1.0275
2021-01-25 07:00:00 UTC+0000,10.5
2021-01-25 11:00:00 UTC+0000,1.79
2021-01-25 15:00:00 UTC+0000,11.7775
2021-01-25 19:00:00 UTC+0000,1.0375
2021-01-25 23:00:00 UTC+0000,0.5
2021-01-26 03:00:00 UTC+0000,1.17
2021-01-26 07:00:00 UTC+0000,9.375
2021-01-26 11:00:00 UTC+0000,1.5
2021-01-26 15:00:00 UTC+0000,10.11
2021-01-26 19:00:00 UTC+0000,1.34
2021-01-26 23:00:00 UTC+0000,0.64
2021-01-27 03:00:00 UTC+0000,0.925
2021-01-27 07:00:00 UTC+0000,7.955
2021-01-27 11:00:00 UTC+0000,1.34
2021-01-27 15:00:00 UTC+0000,8.5
2021-01-27 19:00:00 UTC+0000,1.5975
2021-01-27 23:00:00 UTC+0000,0.55
2021-01-28 03:00:00 UTC+0000,1.1325
2021-01-28 07:00:00 UTC+0000,7.285
2021-01-28 11:00:00 UTC+0000,1.3175
2021-01-28 15:00:00 UTC+0000,6.6625
2021-01-28 19:00:00 UTC+0000,1.5
2021-01-28 23:00:00 UTC+0000,0.5
2021-01-29 03:00:00 UTC+0000,0.9
2021-01-29 07:00:00 UTC+0000,5.02
2021-01-29 11:00:00 UTC+0000,1.05
2021-01-29 15:00:00 UTC+0000,5.275
2021-01-29 19:00:00 UTC+0000,1.0675
2021-01-29 23:00:00 UTC+0000,0.4275
2021-01-30 03:00:00 UTC+0000,0.715
2021-01-30 07:00:00 UTC+0000,3.75
2021-01-30 11:00:00 UTC+0000,0.85
2021-01-30 15:00:00 UTC+0000,4.85
2021-01-30 19:00:00 UTC+0000,0.8875
2021-01-30 23:00:00 UTC+0000,0.3875
2021-01-31 03:00:00 UTC+0000,0.7
2021-01-31 07:00:00 UTC+0000,2.75
2021-01-31 11:00:00 UTC+0000,0.67
2021-01-31 15:00:00 UTC+0000,3.89
2021-01-31 19:00:00 UTC+0000,0.825
2021-01-31 23:00:00 UTC+0000,1.8225
2021-02-01 03:00:00 UTC+0000,4.47
2021-02-01 07:00:00 UTC+0000,8.325
2021-02-01 11:00:00 UTC+0000,2.855
2021-02-01 15:00:00 UTC+0000,9.785
2021-02-01 19:00:00 UTC+0000,1.375
2021-02-01 23:00:00 UTC+0000,3.0725
2021-02-02 03:00:00 UTC+0000,7.825
2021-02-02 07:00:00 UTC+0000,8.75
2021-02-02 11:00:00 UTC+0000,3.195
2021-02-02 15:00:00 UTC+0000,6.5
2021-02-02 19:00:00 UTC+0000,4.1075
2021-02-02 23:00:00 UTC+0000,2.22
2021-02-03 03:00:00 UTC+0000,4.97
2021-02-03 07:00:00 UTC+0000,8.22
2021-02-03 11:00:00 UTC+0000,2.65
2021-02-03 15:00:00 UTC+0000,5.51
2021-02-03 19:00:00 UTC+0000,3.245
2021-02-03 23:00:00 UTC+0000,1.4575
2021-02-04 03:00:00 UTC+0000,3.97
2021-02-04 07:00:00 UTC+0000,7.25
2021-02-04 11:00:00 UTC+0000,2.47
2021-02-04 15:00:00 UTC+0000,11.4275
2021-02-04 19:00:00 UTC+0000,2.5
2021-02-04 23:00:00 UTC+0000,1.0
2021-02-05 03:00:00 UTC+0000,3.5
2021-02-05 07:00:00 UTC+0000,6.5
2021-02-05 11:00:00 UTC+0000,2.0
2021-02-05 15:00:00 UTC+0000,8.25
2021-02-05 19:00:00 UTC+0000,2.4275
2021-02-05 23:00:00 UTC+0000,0.82
2021-02-06 03:00:00 UTC+0000,2.06
2021-02-06 07:00:00 UTC+0000,4.1625
2021-02-06 11:00:00 UTC+0000,1.5
2021-02-06 15:00:00 UTC+0000,4.7475
2021-02-06 19:00:00 UTC+0000,1.5
2021-02-06 23:00:00 UTC+0000,0.5
2021-02-07 03:00:00 UTC+0000,1.4
2021-02-07 07:00:00 UTC+0000,2.5
2021-02-07 11:00:00 UTC+0000,1.25
2021-02-07 15:00:00 UTC+0000,3.625
2021-02-07 19:00:00 UTC+0000,1.5
2021-02-07 23:00:00 UTC+0000,9.1
2021-02-08 03:00:00 UTC+0000,27.5
2021-02-08 07:00:00 UTC+0000,12.22
2021-02-08 11:00:00 UTC+0000,6.4275
2021-02-08 15:00:00 UTC+0000,14.67
2021-02-08 19:00:00 UTC+0000,5.0
2021-02-08 23:00:00 UTC+0000,7.5
2021-02-09 03:00:00 UTC+0000,22.5
2021-02-09 07:00:00 UTC+0000,30.27
2021-02-09 11:00:00 UTC+0000,14.25
2021-02-09 15:00:00 UTC+0000,21.9
2021-02-09 19:00:00 UTC+0000,8.25
2021-02-09 23:00:00 UTC+0000,5.625
2021-02-10 03:00:00 UTC+0000,25.2825
2021-02-10 07:00:00 UTC+0000,22.3925
2021-02-10 11:00:00 UTC+0000,11.8925
2021-02-10 15:00:00 UTC+0000,21.125
2021-02-10 19:00:00 UTC+0000,6.95
2021-02-10 23:00:00 UTC+0000,4.0
2021-02-11 03:00:00 UTC+0000,21.4275
2021-02-11 07:00:00 UTC+0000,27.6425
2021-02-11 11:00:00 UTC+0000,9.75
2021-02-11 15:00:00 UTC+0000,28.33
2021-02-11 19:00:00 UTC+0000,6.9275
2021-02-11 23:00:00 UTC+0000,3.0825
2021-02-12 03:00:00 UTC+0000,15.5
2021-02-12 07:00:00 UTC+0000,22.455
2021-02-12 11:00:00 UTC+0000,7.1875
2021-02-12 15:00:00 UTC+0000,24.25
2021-02-12 19:00:00 UTC+0000,5.9125
2021-02-12 23:00:00 UTC+0000,2.5
2021-02-13 03:00:00 UTC+0000,7.375
2021-02-13 07:00:00 UTC+0000,10.25
2021-02-13 11:00:00 UTC+0000,3.95
2021-02-13 15:00:00 UTC+0000,11.75
2021-02-13 19:00:00 UTC+0000,3.71
2021-02-13 23:00:00 UTC+0000,1.555
2021-02-14 03:00:00 UTC+0000,4.5
2021-02-14 07:00:00 UTC+0000,5.4325
2021-02-14 11:00:00 UTC+0000,2.525
2021-02-14 15:00:00 UTC+0000,7.25
2021-02-14 19:00:00 UTC+0000,3.0
2021-02-14 23:00:00 UTC+0000,5.3125
2021-02-15 03:00:00 UTC+0000,19.0
2021-02-15 07:00:00 UTC+0000,13.34
2021-02-15 11:00:00 UTC+0000,5.16
2021-02-15 15:00:00 UTC+0000,12.295
2021-02-15 19:00:00 UTC+0000,5.25
2021-02-15 23:00:00 UTC+0000,4.0
2021-02-16 03:00:00 UTC+0000,12.13
2021-02-16 07:00:00 UTC+0000,14.255
2021-02-16 11:00:00 UTC+0000,3.99
