time (UTC),mFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-11-17 19:00:00 UTC+0000,3.25
2021-11-17 23:00:00 UTC+0000,0.14
2021-11-18 03:00:00 UTC+0000,3.28
2021-11-18 07:00:00 UTC+0000,12.57
2021-11-18 11:00:00 UTC+0000,3.0
2021-11-18 15:00:00 UTC+0000,13.4
2021-11-18 19:00:00 UTC+0000,2.125
2021-11-18 23:00:00 UTC+0000,0.07
2021-11-19 03:00:00 UTC+0000,2.3775
2021-11-19 07:00:00 UTC+0000,9.9375
2021-11-19 11:00:00 UTC+0000,2.695
2021-11-19 15:00:00 UTC+0000,12.265
2021-11-19 19:00:00 UTC+0000,1.7
2021-11-19 23:00:00 UTC+0000,0.145
2021-11-20 03:00:00 UTC+0000,1.28
2021-11-20 07:00:00 UTC+0000,6.33
2021-11-20 11:00:00 UTC+0000,1.7525
2021-11-20 15:00:00 UTC+0000,8.8625
2021-11-20 19:00:00 UTC+0000,1.25
2021-11-20 23:00:00 UTC+0000,0.06
2021-11-21 03:00:00 UTC+0000,1.0
2021-11-21 07:00:00 UTC+0000,4.825
2021-11-21 11:00:00 UTC+0000,1.655
2021-11-21 15:00:00 UTC+0000,10.2825
2021-11-21 19:00:00 UTC+0000,1.165
2021-11-21 23:00:00 UTC+0000,0.09
2021-11-22 03:00:00 UTC+0000,4.88
2021-11-22 07:00:00 UTC+0000,16.635
2021-11-22 11:00:00 UTC+0000,5.39
2021-11-22 15:00:00 UTC+0000,32.2125
2021-11-22 19:00:00 UTC+0000,5.6325
2021-11-22 23:00:00 UTC+0000,0.625
2021-11-23 03:00:00 UTC+0000,3.26
2021-11-23 07:00:00 UTC+0000,12.5
2021-11-23 11:00:00 UTC+0000,3.6175
2021-11-23 15:00:00 UTC+0000,34.7975
2021-11-23 19:00:00 UTC+0000,4.0
2021-11-23 23:00:00 UTC+0000,0.1375
2021-11-24 03:00:00 UTC+0000,3.04
2021-11-24 07:00:00 UTC+0000,27.14
2021-11-24 11:00:00 UTC+0000,10.34
2021-11-24 15:00:00 UTC+0000,49.6425
2021-11-24 19:00:00 UTC+0000,3.645
2021-11-24 23:00:00 UTC+0000,0.2
2021-11-25 03:00:00 UTC+0000,2.75
2021-11-25 07:00:00 UTC+0000,28.41
2021-11-25 11:00:00 UTC+0000,4.875
2021-11-25 15:00:00 UTC+0000,30.455
2021-11-25 19:00:00 UTC+0000,2.4525
2021-11-25 23:00:00 UTC+0000,0.08
2021-11-26 03:00:00 UTC+0000,2.0825
2021-11-26 07:00:00 UTC+0000,100.0
2021-11-26 11:00:00 UTC+0000,4.15
2021-11-26 15:00:00 UTC+0000,22.5
2021-11-26 19:00:00 UTC+0000,1.75
2021-11-26 23:00:00 UTC+0000,0.0
2021-11-27 03:00:00 UTC+0000,1.2375
2021-11-27 07:00:00 UTC+0000,18.875
2021-11-27 11:00:00 UTC+0000,2.47
2021-11-27 15:00:00 UTC+0000,17.3825
2021-11-27 19:00:00 UTC+0000,1.3225
2021-11-27 23:00:00 UTC+0000,0.04
2021-11-28 03:00:00 UTC+0000,0.89
2021-11-28 07:00:00 UTC+0000,8.745
2021-11-28 11:00:00 UTC+0000,1.75
2021-11-28 15:00:00 UTC+0000,12.2
2021-11-28 19:00:00 UTC+0000,1.0
2021-11-28 23:00:00 UTC+0000,0.35
2021-11-29 03:00:00 UTC+0000,8.975
2021-11-29 07:00:00 UTC+0000,62.92
2021-11-29 11:00:00 UTC+0000,35.6525
2021-11-29 15:00:00 UTC+0000,81.73
2021-11-29 19:00:00 UTC+0000,11.665
2021-11-29 23:00:00 UTC+0000,0.9175
2021-11-30 03:00:00 UTC+0000,2.86
2021-11-30 07:00:00 UTC+0000,33.885
2021-11-30 11:00:00 UTC+0000,12.41
2021-11-30 15:00:00 UTC+0000,35.0
2021-11-30 19:00:00 UTC+0000,4.7
2021-11-30 23:00:00 UTC+0000,0.52
2021-12-01 03:00:00 UTC+0000,2.275
2021-12-01 07:00:00 UTC+0000,23.35
2021-12-01 11:00:00 UTC+0000,10.25
2021-12-01 15:00:00 UTC+0000,24.75
2021-12-01 19:00:00 UTC+0000,2.1375
2021-12-01 23:00:00 UTC+0000,0.3875
2021-12-02 03:00:00 UTC+0000,1.9
2021-12-02 07:00:00 UTC+0000,28.45
2021-12-02 11:00:00 UTC+0000,17.5
2021-12-02 15:00:00 UTC+0000,47.8225
2021-12-02 19:00:00 UTC+0000,2.875
2021-12-02 23:00:00 UTC+0000,0.135
2021-12-03 03:00:00 UTC+0000,1.5
2021-12-03 07:00:00 UTC+0000,26.225
2021-12-03 11:00:00 UTC+0000,9.33
2021-12-03 15:00:00 UTC+0000,22.235
2021-12-03 19:00:00 UTC+0000,1.47
2021-12-03 23:00:00 UTC+0000,0.13
2021-12-04 03:00:00 UTC+0000,1.15
2021-12-04 07:00:00 UTC+0000,16.25
2021-12-04 11:00:00 UTC+0000,6.54
2021-12-04 15:00:00 UTC+0000,19.77
2021-12-04 19:00:00 UTC+0000,1.5
2021-12-04 23:00:00 UTC+0000,0.19
2021-12-05 03:00:00 UTC+0000,0.89
2021-12-05 07:00:00 UTC+0000,8.765
2021-12-05 11:00:00 UTC+0000,4.345
2021-12-05 15:00:00 UTC+0000,13.86
2021-12-05 19:00:00 UTC+0000,1.21
2021-12-05 23:00:00 UTC+0000,0.14
2021-12-06 03:00:00 UTC+0000,7.125
2021-12-06 07:00:00 UTC+0000,48.77
2021-12-06 11:00:00 UTC+0000,22.405
2021-12-06 15:00:00 UTC+0000,49.4
2021-12-06 19:00:00 UTC+0000,5.85
2021-12-06 23:00:00 UTC+0000,0.0725
2021-12-07 03:00:00 UTC+0000,4.375
2021-12-07 07:00:00 UTC+0000,30.5
2021-12-07 11:00:00 UTC+0000,13.395
2021-12-07 15:00:00 UTC+0000,29.775
2021-12-07 19:00:00 UTC+0000,3.6675
2021-12-07 23:00:00 UTC+0000,0.1
2021-12-08 03:00:00 UTC+0000,7.32
2021-12-08 07:00:00 UTC+0000,26.44
2021-12-08 11:00:00 UTC+0000,14.78
2021-12-08 15:00:00 UTC+0000,36.76
2021-12-08 19:00:00 UTC+0000,5.9
2021-12-08 23:00:00 UTC+0000,0.18
2021-12-09 03:00:00 UTC+0000,5.5
2021-12-09 07:00:00 UTC+0000,41.04
2021-12-09 11:00:00 UTC+0000,13.97
2021-12-09 15:00:00 UTC+0000,37.89
2021-12-09 19:00:00 UTC+0000,4.19
2021-12-09 23:00:00 UTC+0000,0.0
2021-12-10 03:00:00 UTC+0000,3.36
2021-12-10 07:00:00 UTC+0000,23.4
2021-12-10 11:00:00 UTC+0000,10.58
2021-12-10 15:00:00 UTC+0000,26.77
2021-12-10 19:00:00 UTC+0000,2.52
2021-12-10 23:00:00 UTC+0000,0.16
2021-12-11 03:00:00 UTC+0000,1.6
2021-12-11 07:00:00 UTC+0000,12.03
2021-12-11 11:00:00 UTC+0000,5.8
2021-12-11 15:00:00 UTC+0000,17.55
2021-12-11 19:00:00 UTC+0000,1.67
2021-12-11 23:00:00 UTC+0000,0.11
2021-12-12 03:00:00 UTC+0000,1.0
2021-12-12 07:00:00 UTC+0000,6.81
2021-12-12 11:00:00 UTC+0000,3.52
2021-12-12 15:00:00 UTC+0000,14.43
2021-12-12 19:00:00 UTC+0000,1.1
2021-12-12 23:00:00 UTC+0000,0.23
2021-12-13 03:00:00 UTC+0000,5.03
2021-12-13 07:00:00 UTC+0000,29.8
2021-12-13 11:00:00 UTC+0000,9.78
2021-12-13 15:00:00 UTC+0000,34.0
2021-12-13 19:00:00 UTC+0000,3.64
2021-12-13 23:00:00 UTC+0000,1.0
2021-12-14 03:00:00 UTC+0000,3.29
2021-12-14 07:00:00 UTC+0000,22.2
2021-12-14 11:00:00 UTC+0000,11.42
2021-12-14 15:00:00 UTC+0000,35.67
2021-12-14 19:00:00 UTC+0000,2.9
2021-12-14 23:00:00 UTC+0000,0.41
2021-12-15 03:00:00 UTC+0000,2.43
2021-12-15 07:00:00 UTC+0000,19.27
2021-12-15 11:00:00 UTC+0000,9.18
2021-12-15 15:00:00 UTC+0000,22.16
2021-12-15 19:00:00 UTC+0000,2.07
2021-12-15 23:00:00 UTC+0000,0.31
2021-12-16 03:00:00 UTC+0000,2.49
2021-12-16 07:00:00 UTC+0000,23.46
2021-12-16 11:00:00 UTC+0000,19.08
2021-12-16 15:00:00 UTC+0000,27.6
2021-12-16 19:00:00 UTC+0000,1.8
2021-12-16 23:00:00 UTC+0000,0.14
2021-12-17 03:00:00 UTC+0000,1.86
2021-12-17 07:00:00 UTC+0000,18.0
2021-12-17 11:00:00 UTC+0000,11.53
2021-12-17 15:00:00 UTC+0000,22.0
2021-12-17 19:00:00 UTC+0000,1.27
2021-12-17 23:00:00 UTC+0000,0.33
2021-12-18 03:00:00 UTC+0000,1.1
2021-12-18 07:00:00 UTC+0000,8.75
2021-12-18 11:00:00 UTC+0000,5.1
2021-12-18 15:00:00 UTC+0000,13.85
2021-12-18 19:00:00 UTC+0000,1.23
2021-12-18 23:00:00 UTC+0000,0.0
2021-12-19 03:00:00 UTC+0000,0.6
2021-12-19 07:00:00 UTC+0000,4.21
2021-12-19 11:00:00 UTC+0000,2.22
2021-12-19 15:00:00 UTC+0000,8.21
2021-12-19 19:00:00 UTC+0000,0.29
2021-12-19 23:00:00 UTC+0000,0.0
2021-12-20 03:00:00 UTC+0000,4.0
2021-12-20 07:00:00 UTC+0000,28.0
2021-12-20 11:00:00 UTC+0000,15.15
2021-12-20 15:00:00 UTC+0000,53.56
2021-12-20 19:00:00 UTC+0000,7.63
2021-12-20 23:00:00 UTC+0000,0.11
2021-12-21 03:00:00 UTC+0000,2.9
2021-12-21 07:00:00 UTC+0000,24.19
2021-12-21 11:00:00 UTC+0000,10.24
2021-12-21 15:00:00 UTC+0000,80.18
2021-12-21 19:00:00 UTC+0000,5.9
2021-12-21 23:00:00 UTC+0000,0.06
2021-12-22 03:00:00 UTC+0000,1.6
2021-12-22 07:00:00 UTC+0000,16.72
2021-12-22 11:00:00 UTC+0000,12.0
2021-12-22 15:00:00 UTC+0000,52.5
2021-12-22 19:00:00 UTC+0000,5.66
2021-12-22 23:00:00 UTC+0000,0.01
2021-12-23 03:00:00 UTC+0000,0.7
2021-12-23 07:00:00 UTC+0000,10.54
2021-12-23 11:00:00 UTC+0000,6.91
2021-12-23 15:00:00 UTC+0000,28.0
2021-12-23 19:00:00 UTC+0000,2.97
2021-12-23 23:00:00 UTC+0000,0.01
2021-12-24 03:00:00 UTC+0000,0.54
2021-12-24 07:00:00 UTC+0000,5.25
2021-12-24 11:00:00 UTC+0000,3.5
2021-12-24 15:00:00 UTC+0000,18.67
2021-12-24 19:00:00 UTC+0000,1.79
2021-12-24 23:00:00 UTC+0000,0.37
2021-12-25 03:00:00 UTC+0000,0.38
2021-12-25 07:00:00 UTC+0000,3.1
2021-12-25 11:00:00 UTC+0000,2.17
2021-12-25 15:00:00 UTC+0000,21.84
2021-12-25 19:00:00 UTC+0000,1.4
2021-12-25 23:00:00 UTC+0000,0.19
2021-12-26 03:00:00 UTC+0000,0.37
2021-12-26 07:00:00 UTC+0000,2.0
2021-12-26 11:00:00 UTC+0000,1.52
2021-12-26 15:00:00 UTC+0000,12.68
2021-12-26 19:00:00 UTC+0000,1.04
2021-12-26 23:00:00 UTC+0000,0.05
2021-12-27 03:00:00 UTC+0000,0.0
2021-12-27 07:00:00 UTC+0000,7.0
2021-12-27 11:00:00 UTC+0000,4.62
2021-12-27 15:00:00 UTC+0000,18.79
2021-12-27 19:00:00 UTC+0000,2.1
2021-12-27 23:00:00 UTC+0000,0.03
2021-12-28 03:00:00 UTC+0000,0.0
2021-12-28 07:00:00 UTC+0000,4.7
2021-12-28 11:00:00 UTC+0000,3.02
2021-12-28 15:00:00 UTC+0000,13.62
2021-12-28 19:00:00 UTC+0000,1.34
2021-12-28 23:00:00 UTC+0000,0.0
2021-12-29 03:00:00 UTC+0000,0.0
2021-12-29 07:00:00 UTC+0000,3.25
2021-12-29 11:00:00 UTC+0000,2.57
2021-12-29 15:00:00 UTC+0000,10.64
2021-12-29 19:00:00 UTC+0000,0.99
2021-12-29 23:00:00 UTC+0000,0.78
2021-12-30 03:00:00 UTC+0000,0.0
2021-12-30 07:00:00 UTC+0000,2.21
2021-12-30 11:00:00 UTC+0000,1.97
2021-12-30 15:00:00 UTC+0000,7.09
2021-12-30 19:00:00 UTC+0000,0.95
2021-12-30 23:00:00 UTC+0000,0.79
2021-12-31 03:00:00 UTC+0000,1.19
2021-12-31 07:00:00 UTC+0000,1.55
2021-12-31 11:00:00 UTC+0000,1.65
2021-12-31 15:00:00 UTC+0000,6.66
2021-12-31 19:00:00 UTC+0000,0.73
2021-12-31 23:00:00 UTC+0000,0.46
2022-01-01 03:00:00 UTC+0000,0.0
2022-01-01 07:00:00 UTC+0000,1.5
2022-01-01 11:00:00 UTC+0000,1.56
2022-01-01 15:00:00 UTC+0000,12.5
2022-01-01 19:00:00 UTC+0000,1.08
2022-01-01 23:00:00 UTC+0000,0.14
2022-01-02 03:00:00 UTC+0000,0.3
2022-01-02 07:00:00 UTC+0000,0.99
2022-01-02 11:00:00 UTC+0000,1.0
2022-01-02 15:00:00 UTC+0000,6.68
2022-01-02 19:00:00 UTC+0000,0.67
2022-01-02 23:00:00 UTC+0000,0.0
2022-01-03 03:00:00 UTC+0000,0.59
2022-01-03 07:00:00 UTC+0000,2.98
2022-01-03 11:00:00 UTC+0000,2.08
2022-01-03 15:00:00 UTC+0000,16.78
2022-01-03 19:00:00 UTC+0000,6.6
2022-01-03 23:00:00 UTC+0000,0.79
2022-01-04 03:00:00 UTC+0000,0.7
2022-01-04 07:00:00 UTC+0000,20.56
2022-01-04 11:00:00 UTC+0000,6.34
2022-01-04 15:00:00 UTC+0000,12.74
2022-01-04 19:00:00 UTC+0000,1.87
2022-01-04 23:00:00 UTC+0000,0.36
2022-01-05 03:00:00 UTC+0000,0.4
2022-01-05 07:00:00 UTC+0000,10.0
2022-01-05 11:00:00 UTC+0000,3.24
2022-01-05 15:00:00 UTC+0000,11.42
2022-01-05 19:00:00 UTC+0000,1.18
2022-01-05 23:00:00 UTC+0000,0.3
2022-01-06 03:00:00 UTC+0000,0.37
2022-01-06 07:00:00 UTC+0000,17.67
2022-01-06 11:00:00 UTC+0000,5.76
2022-01-06 15:00:00 UTC+0000,23.5
2022-01-06 19:00:00 UTC+0000,1.3
2022-01-06 23:00:00 UTC+0000,0.16
2022-01-07 03:00:00 UTC+0000,0.3
2022-01-07 07:00:00 UTC+0000,8.51
2022-01-07 11:00:00 UTC+0000,3.0
2022-01-07 15:00:00 UTC+0000,16.84
2022-01-07 19:00:00 UTC+0000,1.02
2022-01-07 23:00:00 UTC+0000,0.4
2022-01-08 03:00:00 UTC+0000,0.22
2022-01-08 07:00:00 UTC+0000,6.0
2022-01-08 11:00:00 UTC+0000,2.27
2022-01-08 15:00:00 UTC+0000,9.39
2022-01-08 19:00:00 UTC+0000,0.81
2022-01-08 23:00:00 UTC+0000,0.32
2022-01-09 03:00:00 UTC+0000,0.12
2022-01-09 07:00:00 UTC+0000,3.24
2022-01-09 11:00:00 UTC+0000,1.62
2022-01-09 15:00:00 UTC+0000,8.69
2022-01-09 19:00:00 UTC+0000,0.8
2022-01-09 23:00:00 UTC+0000,0.58
2022-01-10 03:00:00 UTC+0000,7.43
2022-01-10 07:00:00 UTC+0000,23.21
2022-01-10 11:00:00 UTC+0000,8.66
2022-01-10 15:00:00 UTC+0000,22.01
2022-01-10 19:00:00 UTC+0000,6.56
2022-01-10 23:00:00 UTC+0000,0.39
2022-01-11 03:00:00 UTC+0000,3.38
2022-01-11 07:00:00 UTC+0000,25.06
2022-01-11 11:00:00 UTC+0000,5.65
2022-01-11 15:00:00 UTC+0000,19.24
2022-01-11 19:00:00 UTC+0000,3.32
2022-01-11 23:00:00 UTC+0000,0.29
2022-01-12 03:00:00 UTC+0000,4.17
2022-01-12 07:00:00 UTC+0000,34.07
2022-01-12 11:00:00 UTC+0000,4.19
2022-01-12 15:00:00 UTC+0000,15.84
2022-01-12 19:00:00 UTC+0000,2.4
2022-01-12 23:00:00 UTC+0000,0.28
2022-01-13 03:00:00 UTC+0000,3.15
2022-01-13 07:00:00 UTC+0000,26.19
2022-01-13 11:00:00 UTC+0000,2.88
2022-01-13 15:00:00 UTC+0000,15.63
2022-01-13 19:00:00 UTC+0000,1.6
2022-01-13 23:00:00 UTC+0000,0.12
2022-01-14 03:00:00 UTC+0000,2.2
2022-01-14 07:00:00 UTC+0000,16.88
2022-01-14 11:00:00 UTC+0000,1.87
2022-01-14 15:00:00 UTC+0000,12.58
2022-01-14 19:00:00 UTC+0000,1.26
2022-01-14 23:00:00 UTC+0000,0.4
2022-01-15 03:00:00 UTC+0000,1.19
2022-01-15 07:00:00 UTC+0000,9.1
2022-01-15 11:00:00 UTC+0000,1.44
2022-01-15 15:00:00 UTC+0000,15.0
2022-01-15 19:00:00 UTC+0000,1.4
2022-01-15 23:00:00 UTC+0000,1.75
2022-01-16 03:00:00 UTC+0000,3.4
2022-01-16 07:00:00 UTC+0000,4.86
2022-01-16 11:00:00 UTC+0000,1.2
2022-01-16 15:00:00 UTC+0000,7.75
2022-01-16 19:00:00 UTC+0000,0.87
2022-01-16 23:00:00 UTC+0000,0.24
2022-01-17 03:00:00 UTC+0000,5.41
2022-01-17 07:00:00 UTC+0000,12.97
2022-01-17 11:00:00 UTC+0000,4.47
2022-01-17 15:00:00 UTC+0000,14.54
2022-01-17 19:00:00 UTC+0000,5.27
2022-01-17 23:00:00 UTC+0000,0.22
2022-01-18 03:00:00 UTC+0000,5.3
2022-01-18 07:00:00 UTC+0000,40.14
2022-01-18 11:00:00 UTC+0000,6.6
2022-01-18 15:00:00 UTC+0000,34.11
2022-01-18 19:00:00 UTC+0000,4.4
2022-01-18 23:00:00 UTC+0000,1.13
2022-01-19 03:00:00 UTC+0000,6.0
2022-01-19 07:00:00 UTC+0000,23.0
2022-01-19 11:00:00 UTC+0000,5.0
2022-01-19 15:00:00 UTC+0000,20.14
2022-01-19 19:00:00 UTC+0000,2.6
2022-01-19 23:00:00 UTC+0000,0.5
2022-01-20 03:00:00 UTC+0000,3.74
2022-01-20 07:00:00 UTC+0000,11.73
2022-01-20 11:00:00 UTC+0000,3.05
2022-01-20 15:00:00 UTC+0000,15.11
2022-01-20 19:00:00 UTC+0000,2.05
2022-01-20 23:00:00 UTC+0000,0.1
2022-01-21 03:00:00 UTC+0000,3.0
2022-01-21 07:00:00 UTC+0000,14.5
2022-01-21 11:00:00 UTC+0000,2.4
2022-01-21 15:00:00 UTC+0000,17.0
2022-01-21 19:00:00 UTC+0000,1.35
2022-01-21 23:00:00 UTC+0000,0.37
2022-01-22 03:00:00 UTC+0000,1.2
2022-01-22 07:00:00 UTC+0000,6.85
2022-01-22 11:00:00 UTC+0000,1.56
2022-01-22 15:00:00 UTC+0000,11.51
2022-01-22 19:00:00 UTC+0000,1.08
2022-01-22 23:00:00 UTC+0000,0.1
2022-01-23 03:00:00 UTC+0000,1.1
2022-01-23 07:00:00 UTC+0000,4.13
2022-01-23 11:00:00 UTC+0000,1.0
2022-01-23 15:00:00 UTC+0000,8.3
2022-01-23 19:00:00 UTC+0000,0.8
2022-01-23 23:00:00 UTC+0000,0.14
2022-01-24 03:00:00 UTC+0000,8.5
2022-01-24 07:00:00 UTC+0000,19.52
2022-01-24 11:00:00 UTC+0000,4.5
2022-01-24 15:00:00 UTC+0000,27.62
2022-01-24 19:00:00 UTC+0000,3.28
2022-01-24 23:00:00 UTC+0000,0.36
2022-01-25 03:00:00 UTC+0000,5.0
2022-01-25 07:00:00 UTC+0000,24.25
2022-01-25 11:00:00 UTC+0000,4.17
2022-01-25 15:00:00 UTC+0000,25.52
2022-01-25 19:00:00 UTC+0000,3.04
2022-01-25 23:00:00 UTC+0000,0.15
2022-01-26 03:00:00 UTC+0000,3.3
2022-01-26 07:00:00 UTC+0000,23.16
2022-01-26 11:00:00 UTC+0000,3.0
2022-01-26 15:00:00 UTC+0000,18.05
2022-01-26 19:00:00 UTC+0000,1.91
2022-01-26 23:00:00 UTC+0000,0.07
2022-01-27 03:00:00 UTC+0000,2.04
2022-01-27 07:00:00 UTC+0000,13.91
2022-01-27 11:00:00 UTC+0000,1.9
2022-01-27 15:00:00 UTC+0000,11.26
2022-01-27 19:00:00 UTC+0000,1.21
2022-01-27 23:00:00 UTC+0000,0.04
2022-01-28 03:00:00 UTC+0000,1.4
2022-01-28 07:00:00 UTC+0000,8.9
2022-01-28 11:00:00 UTC+0000,1.8
2022-01-28 15:00:00 UTC+0000,27.33
2022-01-28 19:00:00 UTC+0000,2.6
2022-01-28 23:00:00 UTC+0000,2.8
2022-01-29 03:00:00 UTC+0000,1.0
2022-01-29 07:00:00 UTC+0000,3.79
2022-01-29 11:00:00 UTC+0000,1.8
2022-01-29 15:00:00 UTC+0000,8.36
2022-01-29 19:00:00 UTC+0000,0.6
2022-01-29 23:00:00 UTC+0000,1.4
2022-01-30 03:00:00 UTC+0000,2.28
2022-01-30 07:00:00 UTC+0000,2.5
2022-01-30 11:00:00 UTC+0000,1.23
2022-01-30 15:00:00 UTC+0000,5.91
2022-01-30 19:00:00 UTC+0000,0.65
2022-01-30 23:00:00 UTC+0000,0.37
2022-01-31 03:00:00 UTC+0000,4.38
2022-01-31 07:00:00 UTC+0000,16.0
2022-01-31 11:00:00 UTC+0000,4.0
2022-01-31 15:00:00 UTC+0000,16.6
2022-01-31 19:00:00 UTC+0000,2.68
2022-01-31 23:00:00 UTC+0000,0.22
2022-02-01 03:00:00 UTC+0000,2.52
2022-02-01 07:00:00 UTC+0000,13.6
2022-02-01 11:00:00 UTC+0000,2.42
2022-02-01 15:00:00 UTC+0000,10.4
2022-02-01 19:00:00 UTC+0000,1.6
2022-02-01 23:00:00 UTC+0000,0.19
2022-02-02 03:00:00 UTC+0000,2.01
2022-02-02 07:00:00 UTC+0000,9.65
2022-02-02 11:00:00 UTC+0000,1.9
2022-02-02 15:00:00 UTC+0000,24.8
2022-02-02 19:00:00 UTC+0000,2.35
2022-02-02 23:00:00 UTC+0000,0.08
2022-02-03 03:00:00 UTC+0000,1.6
2022-02-03 07:00:00 UTC+0000,12.9
2022-02-03 11:00:00 UTC+0000,1.9
2022-02-03 15:00:00 UTC+0000,18.17
2022-02-03 19:00:00 UTC+0000,1.9
2022-02-03 23:00:00 UTC+0000,0.0
2022-02-04 03:00:00 UTC+0000,2.15
2022-02-04 07:00:00 UTC+0000,8.46
2022-02-04 11:00:00 UTC+0000,1.27
2022-02-04 15:00:00 UTC+0000,9.2
2022-02-04 19:00:00 UTC+0000,1.2
2022-02-04 23:00:00 UTC+0000,1.24
2022-02-05 03:00:00 UTC+0000,0.9
2022-02-05 07:00:00 UTC+0000,4.24
2022-02-05 11:00:00 UTC+0000,1.0
2022-02-05 15:00:00 UTC+0000,6.33
2022-02-05 19:00:00 UTC+0000,1.17
2022-02-05 23:00:00 UTC+0000,0.73
2022-02-06 03:00:00 UTC+0000,1.0
2022-02-06 07:00:00 UTC+0000,2.33
2022-02-06 11:00:00 UTC+0000,0.73
2022-02-06 15:00:00 UTC+0000,5.14
2022-02-06 19:00:00 UTC+0000,0.8
2022-02-06 23:00:00 UTC+0000,0.49
2022-02-07 03:00:00 UTC+0000,3.0
2022-02-07 07:00:00 UTC+0000,8.21
2022-02-07 11:00:00 UTC+0000,1.6
2022-02-07 15:00:00 UTC+0000,14.0
2022-02-07 19:00:00 UTC+0000,1.98
2022-02-07 23:00:00 UTC+0000,0.4
2022-02-08 03:00:00 UTC+0000,1.1
2022-02-08 07:00:00 UTC+0000,6.83
2022-02-08 11:00:00 UTC+0000,1.2
2022-02-08 15:00:00 UTC+0000,10.75
2022-02-08 19:00:00 UTC+0000,1.23
2022-02-08 23:00:00 UTC+0000,0.2
2022-02-09 03:00:00 UTC+0000,1.0
2022-02-09 07:00:00 UTC+0000,5.97
2022-02-09 11:00:00 UTC+0000,1.05
2022-02-09 15:00:00 UTC+0000,13.82
2022-02-09 19:00:00 UTC+0000,1.08
2022-02-09 23:00:00 UTC+0000,0.1
2022-02-10 03:00:00 UTC+0000,1.1
2022-02-10 07:00:00 UTC+0000,8.94
2022-02-10 11:00:00 UTC+0000,1.0
2022-02-10 15:00:00 UTC+0000,10.34
2022-02-10 19:00:00 UTC+0000,0.73
2022-02-10 23:00:00 UTC+0000,0.05
2022-02-11 03:00:00 UTC+0000,0.8
2022-02-11 07:00:00 UTC+0000,5.0
2022-02-11 11:00:00 UTC+0000,0.9
2022-02-11 15:00:00 UTC+0000,16.22
2022-02-11 19:00:00 UTC+0000,1.97
2022-02-11 23:00:00 UTC+0000,0.9
2022-02-12 03:00:00 UTC+0000,0.42
2022-02-12 07:00:00 UTC+0000,2.95
2022-02-12 11:00:00 UTC+0000,0.6
2022-02-12 15:00:00 UTC+0000,8.94
2022-02-12 19:00:00 UTC+0000,0.71
2022-02-12 23:00:00 UTC+0000,0.47
2022-02-13 03:00:00 UTC+0000,0.4
2022-02-13 07:00:00 UTC+0000,1.92
2022-02-13 11:00:00 UTC+0000,0.4
2022-02-13 15:00:00 UTC+0000,6.59
2022-02-13 19:00:00 UTC+0000,0.9
2022-02-13 23:00:00 UTC+0000,0.38
2022-02-14 03:00:00 UTC+0000,1.83
2022-02-14 07:00:00 UTC+0000,5.34
2022-02-14 11:00:00 UTC+0000,0.9
2022-02-14 15:00:00 UTC+0000,14.31
2022-02-14 19:00:00 UTC+0000,2.49
2022-02-14 23:00:00 UTC+0000,0.3
2022-02-15 03:00:00 UTC+0000,1.1
2022-02-15 07:00:00 UTC+0000,27.85
2022-02-15 11:00:00 UTC+0000,0.83
2022-02-15 15:00:00 UTC+0000,8.51
2022-02-15 19:00:00 UTC+0000,1.6
2022-02-15 23:00:00 UTC+0000,0.14
2022-02-16 03:00:00 UTC+0000,1.0
2022-02-16 07:00:00 UTC+0000,32.83
2022-02-16 11:00:00 UTC+0000,1.0
2022-02-16 15:00:00 UTC+0000,6.95
2022-02-16 19:00:00 UTC+0000,1.39
2022-02-16 23:00:00 UTC+0000,0.05
2022-02-17 03:00:00 UTC+0000,0.9
2022-02-17 07:00:00 UTC+0000,14.0
2022-02-17 11:00:00 UTC+0000,0.8
2022-02-17 15:00:00 UTC+0000,5.52
2022-02-17 19:00:00 UTC+0000,0.75
2022-02-17 23:00:00 UTC+0000,0.02
2022-02-18 03:00:00 UTC+0000,1.04
2022-02-18 07:00:00 UTC+0000,19.43
2022-02-18 11:00:00 UTC+0000,0.51
2022-02-18 15:00:00 UTC+0000,4.0
2022-02-18 19:00:00 UTC+0000,0.97
2022-02-18 23:00:00 UTC+0000,0.28
2022-02-19 03:00:00 UTC+0000,0.48
2022-02-19 07:00:00 UTC+0000,7.8
2022-02-19 11:00:00 UTC+0000,0.24
2022-02-19 15:00:00 UTC+0000,7.83
2022-02-19 19:00:00 UTC+0000,0.6
2022-02-19 23:00:00 UTC+0000,0.11
2022-02-20 03:00:00 UTC+0000,0.44
2022-02-20 07:00:00 UTC+0000,5.2
2022-02-20 11:00:00 UTC+0000,0.24
2022-02-20 15:00:00 UTC+0000,4.45
2022-02-20 19:00:00 UTC+0000,0.5
2022-02-20 23:00:00 UTC+0000,0.07
2022-02-21 03:00:00 UTC+0000,1.55
2022-02-21 07:00:00 UTC+0000,7.6
2022-02-21 11:00:00 UTC+0000,0.5
2022-02-21 15:00:00 UTC+0000,12.0
2022-02-21 19:00:00 UTC+0000,0.76
2022-02-21 23:00:00 UTC+0000,0.25
2022-02-22 03:00:00 UTC+0000,1.4
2022-02-22 07:00:00 UTC+0000,18.33
