time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-01-22 15:00:00 UTC+0000,8.31
2021-01-22 19:00:00 UTC+0000,1.42
2021-01-22 23:00:00 UTC+0000,0.8025
2021-01-23 03:00:00 UTC+0000,1.145
2021-01-23 07:00:00 UTC+0000,3.55
2021-01-23 11:00:00 UTC+0000,1.695
2021-01-23 15:00:00 UTC+0000,5.3025
2021-01-23 19:00:00 UTC+0000,1.03
2021-01-23 23:00:00 UTC+0000,0.6925
2021-01-24 03:00:00 UTC+0000,0.99
2021-01-24 07:00:00 UTC+0000,3.0225
2021-01-24 11:00:00 UTC+0000,1.465
2021-01-24 15:00:00 UTC+0000,4.5
2021-01-24 19:00:00 UTC+0000,0.9125
2021-01-24 23:00:00 UTC+0000,0.7525
2021-01-25 03:00:00 UTC+0000,1.345
2021-01-25 07:00:00 UTC+0000,8.185
2021-01-25 11:00:00 UTC+0000,2.9225
2021-01-25 15:00:00 UTC+0000,7.875
2021-01-25 19:00:00 UTC+0000,1.275
2021-01-25 23:00:00 UTC+0000,0.98
2021-01-26 03:00:00 UTC+0000,1.34
2021-01-26 07:00:00 UTC+0000,7.49
2021-01-26 11:00:00 UTC+0000,2.5925
2021-01-26 15:00:00 UTC+0000,6.515
2021-01-26 19:00:00 UTC+0000,1.215
2021-01-26 23:00:00 UTC+0000,0.9725
2021-01-27 03:00:00 UTC+0000,1.285
2021-01-27 07:00:00 UTC+0000,7.455
2021-01-27 11:00:00 UTC+0000,2.4225
2021-01-27 15:00:00 UTC+0000,6.1725
2021-01-27 19:00:00 UTC+0000,1.33
2021-01-27 23:00:00 UTC+0000,0.85
2021-01-28 03:00:00 UTC+0000,1.2
2021-01-28 07:00:00 UTC+0000,7.685
2021-01-28 11:00:00 UTC+0000,2.6075
2021-01-28 15:00:00 UTC+0000,5.5
2021-01-28 19:00:00 UTC+0000,1.1425
2021-01-28 23:00:00 UTC+0000,0.8425
2021-01-29 03:00:00 UTC+0000,1.0475
2021-01-29 07:00:00 UTC+0000,6.0725
2021-01-29 11:00:00 UTC+0000,1.97
2021-01-29 15:00:00 UTC+0000,4.905
2021-01-29 19:00:00 UTC+0000,1.0025
2021-01-29 23:00:00 UTC+0000,0.785
2021-01-30 03:00:00 UTC+0000,0.9575
2021-01-30 07:00:00 UTC+0000,4.435
2021-01-30 11:00:00 UTC+0000,1.685
2021-01-30 15:00:00 UTC+0000,4.9
2021-01-30 19:00:00 UTC+0000,0.9775
2021-01-30 23:00:00 UTC+0000,0.735
2021-01-31 03:00:00 UTC+0000,0.8925
2021-01-31 07:00:00 UTC+0000,3.3125
2021-01-31 11:00:00 UTC+0000,1.3975
2021-01-31 15:00:00 UTC+0000,4.675
2021-01-31 19:00:00 UTC+0000,0.88
2021-01-31 23:00:00 UTC+0000,6.9625
2021-02-01 03:00:00 UTC+0000,153.765
2021-02-01 07:00:00 UTC+0000,7.1125
2021-02-01 11:00:00 UTC+0000,3.04
2021-02-01 15:00:00 UTC+0000,7.295
2021-02-01 19:00:00 UTC+0000,1.37
2021-02-01 23:00:00 UTC+0000,15.6925
2021-02-02 03:00:00 UTC+0000,27.235
2021-02-02 07:00:00 UTC+0000,12.7125
2021-02-02 11:00:00 UTC+0000,8.45
2021-02-02 15:00:00 UTC+0000,7.2975
2021-02-02 19:00:00 UTC+0000,9.735
2021-02-02 23:00:00 UTC+0000,12.045
2021-02-03 03:00:00 UTC+0000,14.7825
2021-02-03 07:00:00 UTC+0000,10.87
2021-02-03 11:00:00 UTC+0000,5.855
2021-02-03 15:00:00 UTC+0000,9.6875
2021-02-03 19:00:00 UTC+0000,8.5
2021-02-03 23:00:00 UTC+0000,7.4175
2021-02-04 03:00:00 UTC+0000,9.5
2021-02-04 07:00:00 UTC+0000,8.3125
2021-02-04 11:00:00 UTC+0000,7.4175
2021-02-04 15:00:00 UTC+0000,11.875
2021-02-04 19:00:00 UTC+0000,6.22
2021-02-04 23:00:00 UTC+0000,5.08
2021-02-05 03:00:00 UTC+0000,7.55
2021-02-05 07:00:00 UTC+0000,8.0325
2021-02-05 11:00:00 UTC+0000,5.4675
2021-02-05 15:00:00 UTC+0000,9.06
2021-02-05 19:00:00 UTC+0000,4.9825
2021-02-05 23:00:00 UTC+0000,3.34
2021-02-06 03:00:00 UTC+0000,4.68
2021-02-06 07:00:00 UTC+0000,5.3625
2021-02-06 11:00:00 UTC+0000,3.125
2021-02-06 15:00:00 UTC+0000,6.145
2021-02-06 19:00:00 UTC+0000,3.1
2021-02-06 23:00:00 UTC+0000,2.075
2021-02-07 03:00:00 UTC+0000,3.0575
2021-02-07 07:00:00 UTC+0000,3.72
2021-02-07 11:00:00 UTC+0000,2.045
2021-02-07 15:00:00 UTC+0000,5.0575
2021-02-07 19:00:00 UTC+0000,2.29
2021-02-07 23:00:00 UTC+0000,94.95
2021-02-08 03:00:00 UTC+0000,1587.5
2021-02-08 07:00:00 UTC+0000,10.1
