time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-09-13 10:00:00 UTC+0000,9.825
2021-09-13 14:00:00 UTC+0000,17.1825
2021-09-13 18:00:00 UTC+0000,11.8275
2021-09-13 22:00:00 UTC+0000,3.25
2021-09-14 02:00:00 UTC+0000,5.18
2021-09-14 06:00:00 UTC+0000,7.855
2021-09-14 10:00:00 UTC+0000,7.49
2021-09-14 14:00:00 UTC+0000,14.335
2021-09-14 18:00:00 UTC+0000,9.73
2021-09-14 22:00:00 UTC+0000,7.915
2021-09-15 02:00:00 UTC+0000,4.425
2021-09-15 06:00:00 UTC+0000,11.0
2021-09-15 10:00:00 UTC+0000,6.505
2021-09-15 14:00:00 UTC+0000,14.5
2021-09-15 18:00:00 UTC+0000,10.71
2021-09-15 22:00:00 UTC+0000,4.85
2021-09-16 02:00:00 UTC+0000,8.01
2021-09-16 06:00:00 UTC+0000,9.115
2021-09-16 10:00:00 UTC+0000,5.65
2021-09-16 14:00:00 UTC+0000,12.8175
2021-09-16 18:00:00 UTC+0000,8.69
2021-09-16 22:00:00 UTC+0000,363.6375
2021-09-17 02:00:00 UTC+0000,24.545
2021-09-17 06:00:00 UTC+0000,8.355
2021-09-17 10:00:00 UTC+0000,5.06
2021-09-17 14:00:00 UTC+0000,12.09
2021-09-17 18:00:00 UTC+0000,8.0
2021-09-17 22:00:00 UTC+0000,29.09
2021-09-18 02:00:00 UTC+0000,9.14
2021-09-18 06:00:00 UTC+0000,6.89
2021-09-18 10:00:00 UTC+0000,28.675
2021-09-18 14:00:00 UTC+0000,10.015
2021-09-18 18:00:00 UTC+0000,7.13
2021-09-18 22:00:00 UTC+0000,11.25
2021-09-19 02:00:00 UTC+0000,6.045
2021-09-19 06:00:00 UTC+0000,6.1675
2021-09-19 10:00:00 UTC+0000,15.0
2021-09-19 14:00:00 UTC+0000,8.725
2021-09-19 18:00:00 UTC+0000,6.32
2021-09-19 22:00:00 UTC+0000,6.8875
2021-09-20 02:00:00 UTC+0000,7.3875
2021-09-20 06:00:00 UTC+0000,9.565
2021-09-20 10:00:00 UTC+0000,10.23
2021-09-20 14:00:00 UTC+0000,15.53
2021-09-20 18:00:00 UTC+0000,9.865
2021-09-20 22:00:00 UTC+0000,5.3375
2021-09-21 02:00:00 UTC+0000,6.5125
2021-09-21 06:00:00 UTC+0000,8.59
2021-09-21 10:00:00 UTC+0000,8.005
2021-09-21 14:00:00 UTC+0000,13.7575
2021-09-21 18:00:00 UTC+0000,8.8125
2021-09-21 22:00:00 UTC+0000,4.535
2021-09-22 02:00:00 UTC+0000,5.365
2021-09-22 06:00:00 UTC+0000,7.7175
2021-09-22 10:00:00 UTC+0000,6.4
2021-09-22 14:00:00 UTC+0000,12.16
2021-09-22 18:00:00 UTC+0000,7.9875
2021-09-22 22:00:00 UTC+0000,4.7875
2021-09-23 02:00:00 UTC+0000,75.0
2021-09-23 06:00:00 UTC+0000,7.69
2021-09-23 10:00:00 UTC+0000,8.275
2021-09-23 14:00:00 UTC+0000,9.98
2021-09-23 18:00:00 UTC+0000,7.36
2021-09-23 22:00:00 UTC+0000,5.4175
2021-09-24 02:00:00 UTC+0000,22.46
2021-09-24 06:00:00 UTC+0000,16.875
2021-09-24 10:00:00 UTC+0000,14.0625
2021-09-24 14:00:00 UTC+0000,18.75
2021-09-24 18:00:00 UTC+0000,10.36
2021-09-24 22:00:00 UTC+0000,5.8625
2021-09-25 02:00:00 UTC+0000,9.195
2021-09-25 06:00:00 UTC+0000,9.435
2021-09-25 10:00:00 UTC+0000,13.1725
2021-09-25 14:00:00 UTC+0000,21.4
2021-09-25 18:00:00 UTC+0000,12.5
2021-09-25 22:00:00 UTC+0000,4.945
2021-09-26 02:00:00 UTC+0000,6.9775
2021-09-26 06:00:00 UTC+0000,6.965
2021-09-26 10:00:00 UTC+0000,9.465
2021-09-26 14:00:00 UTC+0000,12.5
2021-09-26 18:00:00 UTC+0000,9.05
2021-09-26 22:00:00 UTC+0000,5.02
2021-09-27 02:00:00 UTC+0000,8.56
2021-09-27 06:00:00 UTC+0000,10.8875
2021-09-27 10:00:00 UTC+0000,8.1775
2021-09-27 14:00:00 UTC+0000,13.6625
2021-09-27 18:00:00 UTC+0000,8.71
2021-09-27 22:00:00 UTC+0000,4.69
2021-09-28 02:00:00 UTC+0000,7.735
2021-09-28 06:00:00 UTC+0000,11.0375
2021-09-28 10:00:00 UTC+0000,7.28
2021-09-28 14:00:00 UTC+0000,20.135
2021-09-28 18:00:00 UTC+0000,10.25
2021-09-28 22:00:00 UTC+0000,4.0625
2021-09-29 02:00:00 UTC+0000,6.3925
2021-09-29 06:00:00 UTC+0000,10.735
2021-09-29 10:00:00 UTC+0000,5.97
2021-09-29 14:00:00 UTC+0000,12.075
2021-09-29 18:00:00 UTC+0000,8.1375
2021-09-29 22:00:00 UTC+0000,22.045
2021-09-30 02:00:00 UTC+0000,10.0
2021-09-30 06:00:00 UTC+0000,10.0025
2021-09-30 10:00:00 UTC+0000,36.0
2021-09-30 14:00:00 UTC+0000,35.6
2021-09-30 18:00:00 UTC+0000,31.91
2021-09-30 22:00:00 UTC+0000,15.635
2021-10-01 02:00:00 UTC+0000,11.1725
2021-10-01 06:00:00 UTC+0000,20.085
2021-10-01 10:00:00 UTC+0000,20.615
2021-10-01 14:00:00 UTC+0000,23.525
2021-10-01 18:00:00 UTC+0000,19.8875
2021-10-01 22:00:00 UTC+0000,10.33
2021-10-02 02:00:00 UTC+0000,10.375
2021-10-02 06:00:00 UTC+0000,19.78
2021-10-02 10:00:00 UTC+0000,13.615
2021-10-02 14:00:00 UTC+0000,17.2575
2021-10-02 18:00:00 UTC+0000,14.6175
2021-10-02 22:00:00 UTC+0000,64.365
2021-10-03 02:00:00 UTC+0000,48.1775
2021-10-03 06:00:00 UTC+0000,19.66
2021-10-03 10:00:00 UTC+0000,18.3325
2021-10-03 14:00:00 UTC+0000,27.4575
2021-10-03 18:00:00 UTC+0000,22.5925
2021-10-03 22:00:00 UTC+0000,15.375
2021-10-04 02:00:00 UTC+0000,15.485
2021-10-04 06:00:00 UTC+0000,21.0075
2021-10-04 10:00:00 UTC+0000,14.0025
2021-10-04 14:00:00 UTC+0000,24.0
2021-10-04 18:00:00 UTC+0000,20.4525
2021-10-04 22:00:00 UTC+0000,8.3325
2021-10-05 02:00:00 UTC+0000,9.98
2021-10-05 06:00:00 UTC+0000,19.3125
2021-10-05 10:00:00 UTC+0000,10.685
2021-10-05 14:00:00 UTC+0000,21.595
2021-10-05 18:00:00 UTC+0000,13.4875
2021-10-05 22:00:00 UTC+0000,6.98
2021-10-06 02:00:00 UTC+0000,8.325
2021-10-06 06:00:00 UTC+0000,18.145
2021-10-06 10:00:00 UTC+0000,10.2375
2021-10-06 14:00:00 UTC+0000,23.75
2021-10-06 18:00:00 UTC+0000,15.77
2021-10-06 22:00:00 UTC+0000,17.52
2021-10-07 02:00:00 UTC+0000,33.54
2021-10-07 06:00:00 UTC+0000,218.8975
2021-10-07 10:00:00 UTC+0000,70.55
2021-10-07 14:00:00 UTC+0000,216.7375
2021-10-07 18:00:00 UTC+0000,73.0
2021-10-07 22:00:00 UTC+0000,10.9575
2021-10-08 02:00:00 UTC+0000,20.9525
2021-10-08 06:00:00 UTC+0000,92.615
2021-10-08 10:00:00 UTC+0000,34.615
2021-10-08 14:00:00 UTC+0000,105.115
2021-10-08 18:00:00 UTC+0000,33.83
2021-10-08 22:00:00 UTC+0000,9.125
2021-10-09 02:00:00 UTC+0000,16.5625
2021-10-09 06:00:00 UTC+0000,40.0025
2021-10-09 10:00:00 UTC+0000,22.21
2021-10-09 14:00:00 UTC+0000,48.975
2021-10-09 18:00:00 UTC+0000,22.4725
2021-10-09 22:00:00 UTC+0000,6.6675
2021-10-10 02:00:00 UTC+0000,12.24
2021-10-10 06:00:00 UTC+0000,25.14
2021-10-10 10:00:00 UTC+0000,15.52
2021-10-10 14:00:00 UTC+0000,32.4975
2021-10-10 18:00:00 UTC+0000,20.0
2021-10-10 22:00:00 UTC+0000,8.1175
2021-10-11 02:00:00 UTC+0000,241.9275
2021-10-11 06:00:00 UTC+0000,180.7125
2021-10-11 10:00:00 UTC+0000,231.9275
2021-10-11 14:00:00 UTC+0000,24.85
2021-10-11 18:00:00 UTC+0000,16.975
2021-10-11 22:00:00 UTC+0000,23.635
2021-10-12 02:00:00 UTC+0000,68.635
2021-10-12 06:00:00 UTC+0000,88.02
2021-10-12 10:00:00 UTC+0000,75.0
2021-10-12 14:00:00 UTC+0000,37.78
2021-10-12 18:00:00 UTC+0000,22.5
2021-10-12 22:00:00 UTC+0000,1635.75
2021-10-13 02:00:00 UTC+0000,1236.365
2021-10-13 06:00:00 UTC+0000,1683.34
2021-10-13 10:00:00 UTC+0000,1635.75
2021-10-13 14:00:00 UTC+0000,713.89
2021-10-13 18:00:00 UTC+0000,1206.25
2021-10-13 22:00:00 UTC+0000,231.16
2021-10-14 02:00:00 UTC+0000,299.62
2021-10-14 06:00:00 UTC+0000,363.33
2021-10-14 10:00:00 UTC+0000,182.855
2021-10-14 14:00:00 UTC+0000,195.9475
2021-10-14 18:00:00 UTC+0000,157.25
2021-10-14 22:00:00 UTC+0000,106.15
2021-10-15 02:00:00 UTC+0000,143.08
2021-10-15 06:00:00 UTC+0000,160.48
2021-10-15 10:00:00 UTC+0000,111.2125
2021-10-15 14:00:00 UTC+0000,111.03
2021-10-15 18:00:00 UTC+0000,88.62
2021-10-15 22:00:00 UTC+0000,67.8725
2021-10-16 02:00:00 UTC+0000,84.89
2021-10-16 06:00:00 UTC+0000,91.6025
2021-10-16 10:00:00 UTC+0000,66.5
2021-10-16 14:00:00 UTC+0000,70.74
2021-10-16 18:00:00 UTC+0000,56.1025
2021-10-16 22:00:00 UTC+0000,45.125
2021-10-17 02:00:00 UTC+0000,54.25
2021-10-17 06:00:00 UTC+0000,58.375
2021-10-17 10:00:00 UTC+0000,43.3
2021-10-17 14:00:00 UTC+0000,50.0
2021-10-17 18:00:00 UTC+0000,40.045
2021-10-17 22:00:00 UTC+0000,36.5275
2021-10-18 02:00:00 UTC+0000,59.06
2021-10-18 06:00:00 UTC+0000,72.5
2021-10-18 10:00:00 UTC+0000,59.5125
2021-10-18 14:00:00 UTC+0000,66.98
2021-10-18 18:00:00 UTC+0000,35.4
2021-10-18 22:00:00 UTC+0000,26.1975
2021-10-19 02:00:00 UTC+0000,42.5
2021-10-19 06:00:00 UTC+0000,53.1775
2021-10-19 10:00:00 UTC+0000,40.65
2021-10-19 14:00:00 UTC+0000,47.7075
2021-10-19 18:00:00 UTC+0000,28.41
2021-10-19 22:00:00 UTC+0000,81.1875
2021-10-20 02:00:00 UTC+0000,102.04
2021-10-20 06:00:00 UTC+0000,43.0975
2021-10-20 10:00:00 UTC+0000,31.495
2021-10-20 14:00:00 UTC+0000,42.4825
2021-10-20 18:00:00 UTC+0000,43.41
2021-10-20 22:00:00 UTC+0000,45.57
2021-10-21 02:00:00 UTC+0000,59.6
2021-10-21 06:00:00 UTC+0000,39.4975
2021-10-21 10:00:00 UTC+0000,28.4125
2021-10-21 14:00:00 UTC+0000,46.25
2021-10-21 18:00:00 UTC+0000,38.2475
2021-10-21 22:00:00 UTC+0000,35.4875
2021-10-22 02:00:00 UTC+0000,48.25
2021-10-22 06:00:00 UTC+0000,35.72
2021-10-22 10:00:00 UTC+0000,24.57
2021-10-22 14:00:00 UTC+0000,40.045
2021-10-22 18:00:00 UTC+0000,30.85
2021-10-22 22:00:00 UTC+0000,29.6425
2021-10-23 02:00:00 UTC+0000,39.3775
2021-10-23 06:00:00 UTC+0000,32.0925
2021-10-23 10:00:00 UTC+0000,22.395
2021-10-23 14:00:00 UTC+0000,63.7175
2021-10-23 18:00:00 UTC+0000,37.25
2021-10-23 22:00:00 UTC+0000,22.755
2021-10-24 02:00:00 UTC+0000,30.985
2021-10-24 06:00:00 UTC+0000,25.55
2021-10-24 10:00:00 UTC+0000,22.5
2021-10-24 14:00:00 UTC+0000,41.605
2021-10-24 18:00:00 UTC+0000,30.17
2021-10-24 22:00:00 UTC+0000,18.48
2021-10-25 02:00:00 UTC+0000,31.7825
2021-10-25 06:00:00 UTC+0000,42.525
2021-10-25 10:00:00 UTC+0000,36.25
2021-10-25 14:00:00 UTC+0000,45.535
2021-10-25 18:00:00 UTC+0000,33.0825
2021-10-25 22:00:00 UTC+0000,15.75
2021-10-26 02:00:00 UTC+0000,27.25
2021-10-26 06:00:00 UTC+0000,35.9425
2021-10-26 10:00:00 UTC+0000,24.2425
2021-10-26 14:00:00 UTC+0000,40.47
2021-10-26 18:00:00 UTC+0000,24.6925
2021-10-26 22:00:00 UTC+0000,12.83
2021-10-27 02:00:00 UTC+0000,21.8875
2021-10-27 06:00:00 UTC+0000,30.25
2021-10-27 10:00:00 UTC+0000,19.505
2021-10-27 14:00:00 UTC+0000,35.25
2021-10-27 18:00:00 UTC+0000,20.9425
2021-10-27 22:00:00 UTC+0000,10.985
2021-10-28 02:00:00 UTC+0000,18.91
2021-10-28 06:00:00 UTC+0000,27.27
2021-10-28 10:00:00 UTC+0000,17.49
2021-10-28 14:00:00 UTC+0000,31.5
2021-10-28 18:00:00 UTC+0000,18.4
2021-10-28 22:00:00 UTC+0000,9.18
2021-10-29 02:00:00 UTC+0000,18.22
2021-10-29 06:00:00 UTC+0000,24.48
2021-10-29 10:00:00 UTC+0000,15.445
2021-10-29 14:00:00 UTC+0000,27.61
2021-10-29 18:00:00 UTC+0000,16.375
2021-10-29 22:00:00 UTC+0000,7.765
2021-10-30 02:00:00 UTC+0000,15.46
2021-10-30 06:00:00 UTC+0000,22.4
2021-10-30 10:00:00 UTC+0000,13.545
2021-10-30 14:00:00 UTC+0000,25.02
2021-10-30 18:00:00 UTC+0000,14.485
2021-10-30 22:00:00 UTC+0000,5.552
2021-10-31 03:00:00 UTC+0000,12.94
2021-10-31 07:00:00 UTC+0000,18.93
2021-10-31 11:00:00 UTC+0000,11.475
2021-10-31 15:00:00 UTC+0000,21.3025
2021-10-31 19:00:00 UTC+0000,12.225
2021-10-31 23:00:00 UTC+0000,6.0325
2021-11-01 03:00:00 UTC+0000,11.28
2021-11-01 07:00:00 UTC+0000,17.39
2021-11-01 11:00:00 UTC+0000,12.005
2021-11-01 15:00:00 UTC+0000,23.625
2021-11-01 19:00:00 UTC+0000,12.775
2021-11-01 23:00:00 UTC+0000,13.4625
2021-11-02 03:00:00 UTC+0000,28.4625
2021-11-02 07:00:00 UTC+0000,41.5475
2021-11-02 11:00:00 UTC+0000,24.0
2021-11-02 15:00:00 UTC+0000,50.36
2021-11-02 19:00:00 UTC+0000,25.49
2021-11-02 23:00:00 UTC+0000,10.8875
2021-11-03 03:00:00 UTC+0000,22.9325
2021-11-03 07:00:00 UTC+0000,34.525
2021-11-03 11:00:00 UTC+0000,22.0
2021-11-03 15:00:00 UTC+0000,47.0225
2021-11-03 19:00:00 UTC+0000,18.75
2021-11-03 23:00:00 UTC+0000,8.5
2021-11-04 03:00:00 UTC+0000,18.42
2021-11-04 07:00:00 UTC+0000,30.24
2021-11-04 11:00:00 UTC+0000,18.78
2021-11-04 15:00:00 UTC+0000,37.49
2021-11-04 19:00:00 UTC+0000,14.06
2021-11-04 23:00:00 UTC+0000,6.95
2021-11-05 03:00:00 UTC+0000,15.54
2021-11-05 07:00:00 UTC+0000,24.27
2021-11-05 11:00:00 UTC+0000,14.6775
2021-11-05 15:00:00 UTC+0000,27.29
2021-11-05 19:00:00 UTC+0000,11.27
2021-11-05 23:00:00 UTC+0000,5.67
2021-11-06 03:00:00 UTC+0000,12.39
2021-11-06 07:00:00 UTC+0000,19.735
2021-11-06 11:00:00 UTC+0000,12.33
2021-11-06 15:00:00 UTC+0000,22.025
2021-11-06 19:00:00 UTC+0000,9.3375
2021-11-06 23:00:00 UTC+0000,4.6775
2021-11-07 03:00:00 UTC+0000,10.2875
2021-11-07 07:00:00 UTC+0000,16.5
2021-11-07 11:00:00 UTC+0000,9.8975
2021-11-07 15:00:00 UTC+0000,18.175
2021-11-07 19:00:00 UTC+0000,8.68
2021-11-07 23:00:00 UTC+0000,7.7075
2021-11-08 03:00:00 UTC+0000,20.99
2021-11-08 07:00:00 UTC+0000,30.5
2021-11-08 11:00:00 UTC+0000,21.8375
2021-11-08 15:00:00 UTC+0000,41.5
2021-11-08 19:00:00 UTC+0000,21.12
2021-11-08 23:00:00 UTC+0000,8.23
2021-11-09 03:00:00 UTC+0000,17.065
2021-11-09 07:00:00 UTC+0000,24.18
2021-11-09 11:00:00 UTC+0000,16.265
2021-11-09 15:00:00 UTC+0000,31.775
2021-11-09 19:00:00 UTC+0000,15.115
2021-11-09 23:00:00 UTC+0000,7.09
2021-11-10 03:00:00 UTC+0000,16.51
2021-11-10 07:00:00 UTC+0000,21.53
2021-11-10 11:00:00 UTC+0000,14.5
2021-11-10 15:00:00 UTC+0000,54.25
2021-11-10 19:00:00 UTC+0000,16.8025
2021-11-10 23:00:00 UTC+0000,6.7975
2021-11-11 03:00:00 UTC+0000,16.1025
2021-11-11 07:00:00 UTC+0000,18.85
2021-11-11 11:00:00 UTC+0000,12.6475
2021-11-11 15:00:00 UTC+0000,42.58
2021-11-11 19:00:00 UTC+0000,14.0025
2021-11-11 23:00:00 UTC+0000,5.825
2021-11-12 03:00:00 UTC+0000,13.8975
2021-11-12 07:00:00 UTC+0000,16.155
2021-11-12 11:00:00 UTC+0000,10.98
2021-11-12 15:00:00 UTC+0000,26.46
2021-11-12 19:00:00 UTC+0000,12.11
2021-11-12 23:00:00 UTC+0000,5.06
2021-11-13 03:00:00 UTC+0000,11.5375
2021-11-13 07:00:00 UTC+0000,13.3525
2021-11-13 11:00:00 UTC+0000,9.49
2021-11-13 15:00:00 UTC+0000,21.95
2021-11-13 19:00:00 UTC+0000,11.6375
2021-11-13 23:00:00 UTC+0000,4.02
2021-11-14 03:00:00 UTC+0000,9.22
2021-11-14 07:00:00 UTC+0000,10.39
2021-11-14 11:00:00 UTC+0000,7.5
2021-11-14 15:00:00 UTC+0000,16.84
2021-11-14 19:00:00 UTC+0000,8.9225
2021-11-14 23:00:00 UTC+0000,5.875
2021-11-15 03:00:00 UTC+0000,16.1125
2021-11-15 07:00:00 UTC+0000,24.56
2021-11-15 11:00:00 UTC+0000,16.825
2021-11-15 15:00:00 UTC+0000,43.7475
2021-11-15 19:00:00 UTC+0000,16.25
2021-11-15 23:00:00 UTC+0000,6.1625
2021-11-16 03:00:00 UTC+0000,20.9175
2021-11-16 07:00:00 UTC+0000,35.0
2021-11-16 11:00:00 UTC+0000,23.6175
2021-11-16 15:00:00 UTC+0000,47.25
2021-11-16 19:00:00 UTC+0000,19.64
2021-11-16 23:00:00 UTC+0000,5.3475
2021-11-17 03:00:00 UTC+0000,15.535
2021-11-17 07:00:00 UTC+0000,22.235
2021-11-17 11:00:00 UTC+0000,12.5875
2021-11-17 15:00:00 UTC+0000,29.1725
2021-11-17 19:00:00 UTC+0000,12.42
2021-11-17 23:00:00 UTC+0000,4.37
2021-11-18 03:00:00 UTC+0000,12.0525
2021-11-18 07:00:00 UTC+0000,18.1025
2021-11-18 11:00:00 UTC+0000,11.0
2021-11-18 15:00:00 UTC+0000,22.0
2021-11-18 19:00:00 UTC+0000,10.0575
2021-11-18 23:00:00 UTC+0000,7.9
2021-11-19 03:00:00 UTC+0000,17.61
2021-11-19 07:00:00 UTC+0000,17.8925
2021-11-19 11:00:00 UTC+0000,12.47
2021-11-19 15:00:00 UTC+0000,23.75
2021-11-19 19:00:00 UTC+0000,11.59
2021-11-19 23:00:00 UTC+0000,5.42
2021-11-20 03:00:00 UTC+0000,10.75
2021-11-20 07:00:00 UTC+0000,12.89
2021-11-20 11:00:00 UTC+0000,8.9275
2021-11-20 15:00:00 UTC+0000,19.21
2021-11-20 19:00:00 UTC+0000,9.12
2021-11-20 23:00:00 UTC+0000,4.395
2021-11-21 03:00:00 UTC+0000,8.505
2021-11-21 07:00:00 UTC+0000,10.2
2021-11-21 11:00:00 UTC+0000,7.4775
2021-11-21 15:00:00 UTC+0000,19.9325
2021-11-21 19:00:00 UTC+0000,8.465
2021-11-21 23:00:00 UTC+0000,5.44
2021-11-22 03:00:00 UTC+0000,14.86
2021-11-22 07:00:00 UTC+0000,25.75
2021-11-22 11:00:00 UTC+0000,17.18
2021-11-22 15:00:00 UTC+0000,37.405
2021-11-22 19:00:00 UTC+0000,15.2425
2021-11-22 23:00:00 UTC+0000,4.5
2021-11-23 03:00:00 UTC+0000,13.98
2021-11-23 07:00:00 UTC+0000,22.2
2021-11-23 11:00:00 UTC+0000,14.41
2021-11-23 15:00:00 UTC+0000,42.88
2021-11-23 19:00:00 UTC+0000,14.285
2021-11-23 23:00:00 UTC+0000,7.17
2021-11-24 03:00:00 UTC+0000,17.33
2021-11-24 07:00:00 UTC+0000,35.0
2021-11-24 11:00:00 UTC+0000,19.88
2021-11-24 15:00:00 UTC+0000,74.72
2021-11-24 19:00:00 UTC+0000,30.8475
2021-11-24 23:00:00 UTC+0000,4.9725
2021-11-25 03:00:00 UTC+0000,13.88
2021-11-25 07:00:00 UTC+0000,30.0
2021-11-25 11:00:00 UTC+0000,14.3
2021-11-25 15:00:00 UTC+0000,38.09
2021-11-25 19:00:00 UTC+0000,15.05
2021-11-25 23:00:00 UTC+0000,3.84
2021-11-26 03:00:00 UTC+0000,11.8625
2021-11-26 07:00:00 UTC+0000,27.75
2021-11-26 11:00:00 UTC+0000,12.2
2021-11-26 15:00:00 UTC+0000,29.86
2021-11-26 19:00:00 UTC+0000,11.87
2021-11-26 23:00:00 UTC+0000,3.0025
2021-11-27 03:00:00 UTC+0000,10.09
2021-11-27 07:00:00 UTC+0000,19.27
2021-11-27 11:00:00 UTC+0000,9.5875
2021-11-27 15:00:00 UTC+0000,24.185
2021-11-27 19:00:00 UTC+0000,9.7325
2021-11-27 23:00:00 UTC+0000,2.625
2021-11-28 03:00:00 UTC+0000,8.4175
2021-11-28 07:00:00 UTC+0000,13.64
2021-11-28 11:00:00 UTC+0000,7.59
2021-11-28 15:00:00 UTC+0000,19.86
2021-11-28 19:00:00 UTC+0000,7.8775
2021-11-28 23:00:00 UTC+0000,6.75
2021-11-29 03:00:00 UTC+0000,21.67
2021-11-29 07:00:00 UTC+0000,64.29
2021-11-29 11:00:00 UTC+0000,25.5575
2021-11-29 15:00:00 UTC+0000,80.0
2021-11-29 19:00:00 UTC+0000,24.43
2021-11-29 23:00:00 UTC+0000,3.7725
2021-11-30 03:00:00 UTC+0000,12.25
2021-11-30 07:00:00 UTC+0000,25.0575
2021-11-30 11:00:00 UTC+0000,13.365
2021-11-30 15:00:00 UTC+0000,34.375
2021-11-30 19:00:00 UTC+0000,12.345
2021-11-30 23:00:00 UTC+0000,3.48
2021-12-01 03:00:00 UTC+0000,10.36
2021-12-01 07:00:00 UTC+0000,17.845
2021-12-01 11:00:00 UTC+0000,10.95
2021-12-01 15:00:00 UTC+0000,25.0925
2021-12-01 19:00:00 UTC+0000,10.04
2021-12-01 23:00:00 UTC+0000,3.1
2021-12-02 03:00:00 UTC+0000,10.25
2021-12-02 07:00:00 UTC+0000,32.76
2021-12-02 11:00:00 UTC+0000,23.135
2021-12-02 15:00:00 UTC+0000,56.9425
2021-12-02 19:00:00 UTC+0000,16.225
2021-12-02 23:00:00 UTC+0000,2.9925
2021-12-03 03:00:00 UTC+0000,8.93
2021-12-03 07:00:00 UTC+0000,24.19
2021-12-03 11:00:00 UTC+0000,13.7925
2021-12-03 15:00:00 UTC+0000,29.5
2021-12-03 19:00:00 UTC+0000,10.6725
2021-12-03 23:00:00 UTC+0000,2.42
2021-12-04 03:00:00 UTC+0000,7.4025
2021-12-04 07:00:00 UTC+0000,18.75
2021-12-04 11:00:00 UTC+0000,11.17
2021-12-04 15:00:00 UTC+0000,23.57
2021-12-04 19:00:00 UTC+0000,8.675
2021-12-04 23:00:00 UTC+0000,2.145
2021-12-05 03:00:00 UTC+0000,6.09
2021-12-05 07:00:00 UTC+0000,14.01
2021-12-05 11:00:00 UTC+0000,8.315
2021-12-05 15:00:00 UTC+0000,19.63
2021-12-05 19:00:00 UTC+0000,7.25
2021-12-05 23:00:00 UTC+0000,6.75
2021-12-06 03:00:00 UTC+0000,21.9875
2021-12-06 07:00:00 UTC+0000,51.73
2021-12-06 11:00:00 UTC+0000,23.61
2021-12-06 15:00:00 UTC+0000,50.46
2021-12-06 19:00:00 UTC+0000,17.0375
2021-12-06 23:00:00 UTC+0000,4.575
2021-12-07 03:00:00 UTC+0000,15.8425
2021-12-07 07:00:00 UTC+0000,35.615
2021-12-07 11:00:00 UTC+0000,16.7225
2021-12-07 15:00:00 UTC+0000,35.59
2021-12-07 19:00:00 UTC+0000,12.44
2021-12-07 23:00:00 UTC+0000,10.68
2021-12-08 03:00:00 UTC+0000,25.9
2021-12-08 07:00:00 UTC+0000,37.25
2021-12-08 11:00:00 UTC+0000,22.02
2021-12-08 15:00:00 UTC+0000,50.33
2021-12-08 19:00:00 UTC+0000,18.1
2021-12-08 23:00:00 UTC+0000,5.62
2021-12-09 03:00:00 UTC+0000,18.5
2021-12-09 07:00:00 UTC+0000,30.0
2021-12-09 11:00:00 UTC+0000,17.27
2021-12-09 15:00:00 UTC+0000,39.0
2021-12-09 19:00:00 UTC+0000,12.67
2021-12-09 23:00:00 UTC+0000,3.9
2021-12-10 03:00:00 UTC+0000,13.3
2021-12-10 07:00:00 UTC+0000,23.27
2021-12-10 11:00:00 UTC+0000,12.5
2021-12-10 15:00:00 UTC+0000,29.32
2021-12-10 19:00:00 UTC+0000,9.28
2021-12-10 23:00:00 UTC+0000,2.68
2021-12-11 03:00:00 UTC+0000,8.8
2021-12-11 07:00:00 UTC+0000,16.3
2021-12-11 11:00:00 UTC+0000,8.34
2021-12-11 15:00:00 UTC+0000,21.64
2021-12-11 19:00:00 UTC+0000,7.82
2021-12-11 23:00:00 UTC+0000,1.97
2021-12-12 03:00:00 UTC+0000,6.1
2021-12-12 07:00:00 UTC+0000,10.16
2021-12-12 11:00:00 UTC+0000,5.8
2021-12-12 15:00:00 UTC+0000,17.3
2021-12-12 19:00:00 UTC+0000,5.49
2021-12-12 23:00:00 UTC+0000,5.1
2021-12-13 03:00:00 UTC+0000,18.28
2021-12-13 07:00:00 UTC+0000,37.0
2021-12-13 11:00:00 UTC+0000,19.42
2021-12-13 15:00:00 UTC+0000,44.6
2021-12-13 19:00:00 UTC+0000,12.78
2021-12-13 23:00:00 UTC+0000,4.02
2021-12-14 03:00:00 UTC+0000,14.45
2021-12-14 07:00:00 UTC+0000,30.62
2021-12-14 11:00:00 UTC+0000,16.76
2021-12-14 15:00:00 UTC+0000,38.11
2021-12-14 19:00:00 UTC+0000,10.46
2021-12-14 23:00:00 UTC+0000,3.21
2021-12-15 03:00:00 UTC+0000,12.36
2021-12-15 07:00:00 UTC+0000,25.34
2021-12-15 11:00:00 UTC+0000,13.02
2021-12-15 15:00:00 UTC+0000,28.5
2021-12-15 19:00:00 UTC+0000,8.3
2021-12-15 23:00:00 UTC+0000,2.39
2021-12-16 03:00:00 UTC+0000,10.85
2021-12-16 07:00:00 UTC+0000,22.31
2021-12-16 11:00:00 UTC+0000,23.0
2021-12-16 15:00:00 UTC+0000,40.72
2021-12-16 19:00:00 UTC+0000,7.0
2021-12-16 23:00:00 UTC+0000,1.86
2021-12-17 03:00:00 UTC+0000,9.2
2021-12-17 07:00:00 UTC+0000,18.64
2021-12-17 11:00:00 UTC+0000,15.29
2021-12-17 15:00:00 UTC+0000,28.5
2021-12-17 19:00:00 UTC+0000,5.35
2021-12-17 23:00:00 UTC+0000,1.92
2021-12-18 03:00:00 UTC+0000,7.03
