time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-01-22 15:00:00 UTC+0000,0.12
2021-01-22 19:00:00 UTC+0000,0.75
2021-01-22 23:00:00 UTC+0000,0.935
2021-01-23 03:00:00 UTC+0000,0.765
2021-01-23 07:00:00 UTC+0000,0.3125
2021-01-23 11:00:00 UTC+0000,0.1
2021-01-23 15:00:00 UTC+0000,0.095
2021-01-23 19:00:00 UTC+0000,0.3175
2021-01-23 23:00:00 UTC+0000,0.4625
2021-01-24 03:00:00 UTC+0000,0.5
2021-01-24 07:00:00 UTC+0000,0.1875
2021-01-24 11:00:00 UTC+0000,0.0525
2021-01-24 15:00:00 UTC+0000,0.0
2021-01-24 19:00:00 UTC+0000,0.17
2021-01-24 23:00:00 UTC+0000,0.28
2021-01-25 03:00:00 UTC+0000,0.355
2021-01-25 07:00:00 UTC+0000,0.125
2021-01-25 11:00:00 UTC+0000,0.1575
2021-01-25 15:00:00 UTC+0000,0.1275
2021-01-25 19:00:00 UTC+0000,0.1875
2021-01-25 23:00:00 UTC+0000,0.25
2021-01-26 03:00:00 UTC+0000,0.25
2021-01-26 07:00:00 UTC+0000,0.105
2021-01-26 11:00:00 UTC+0000,0.17
2021-01-26 15:00:00 UTC+0000,0.1
2021-01-26 19:00:00 UTC+0000,0.1425
2021-01-26 23:00:00 UTC+0000,0.2
2021-01-27 03:00:00 UTC+0000,0.2025
2021-01-27 07:00:00 UTC+0000,0.1
2021-01-27 11:00:00 UTC+0000,0.1375
2021-01-27 15:00:00 UTC+0000,0.0825
2021-01-27 19:00:00 UTC+0000,0.125
2021-01-27 23:00:00 UTC+0000,0.1725
2021-01-28 03:00:00 UTC+0000,0.1925
2021-01-28 07:00:00 UTC+0000,0.085
2021-01-28 11:00:00 UTC+0000,0.1
2021-01-28 15:00:00 UTC+0000,0.0825
2021-01-28 19:00:00 UTC+0000,0.105
2021-01-28 23:00:00 UTC+0000,0.175
2021-01-29 03:00:00 UTC+0000,0.1625
2021-01-29 07:00:00 UTC+0000,0.1125
2021-01-29 11:00:00 UTC+0000,0.135
2021-01-29 15:00:00 UTC+0000,0.075
2021-01-29 19:00:00 UTC+0000,0.09
2021-01-29 23:00:00 UTC+0000,0.2575
2021-01-30 03:00:00 UTC+0000,0.155
2021-01-30 07:00:00 UTC+0000,0.0975
2021-01-30 11:00:00 UTC+0000,0.1075
2021-01-30 15:00:00 UTC+0000,0.075
2021-01-30 19:00:00 UTC+0000,0.0875
2021-01-30 23:00:00 UTC+0000,0.25
2021-01-31 03:00:00 UTC+0000,0.775
2021-01-31 07:00:00 UTC+0000,0.095
2021-01-31 11:00:00 UTC+0000,0.1
2021-01-31 15:00:00 UTC+0000,0.0725
2021-01-31 19:00:00 UTC+0000,0.0825
2021-01-31 23:00:00 UTC+0000,0.22
2021-02-01 03:00:00 UTC+0000,0.5
2021-02-01 07:00:00 UTC+0000,0.0825
2021-02-01 11:00:00 UTC+0000,0.115
2021-02-01 15:00:00 UTC+0000,0.0825
2021-02-01 19:00:00 UTC+0000,0.0825
2021-02-01 23:00:00 UTC+0000,0.175
2021-02-02 03:00:00 UTC+0000,0.25
2021-02-02 07:00:00 UTC+0000,0.07
2021-02-02 11:00:00 UTC+0000,0.0875
2021-02-02 15:00:00 UTC+0000,0.0675
2021-02-02 19:00:00 UTC+0000,0.0675
2021-02-02 23:00:00 UTC+0000,0.2
2021-02-03 03:00:00 UTC+0000,0.375
2021-02-03 07:00:00 UTC+0000,0.12
2021-02-03 11:00:00 UTC+0000,0.125
2021-02-03 15:00:00 UTC+0000,0.0675
2021-02-03 19:00:00 UTC+0000,1.175
2021-02-03 23:00:00 UTC+0000,1.4725
2021-02-04 03:00:00 UTC+0000,0.2825
2021-02-04 07:00:00 UTC+0000,0.095
2021-02-04 11:00:00 UTC+0000,0.105
2021-02-04 15:00:00 UTC+0000,0.0625
2021-02-04 19:00:00 UTC+0000,0.5
2021-02-04 23:00:00 UTC+0000,0.7175
2021-02-05 03:00:00 UTC+0000,0.2075
2021-02-05 07:00:00 UTC+0000,0.075
2021-02-05 11:00:00 UTC+0000,0.09
2021-02-05 15:00:00 UTC+0000,0.0575
2021-02-05 19:00:00 UTC+0000,0.35
2021-02-05 23:00:00 UTC+0000,1.0
2021-02-06 03:00:00 UTC+0000,1.4825
2021-02-06 07:00:00 UTC+0000,0.555
2021-02-06 11:00:00 UTC+0000,1.25
2021-02-06 15:00:00 UTC+0000,1.255
