time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-10-06 02:00:00 UTC+0000,3.525
2021-10-06 06:00:00 UTC+0000,1.7475
2021-10-06 10:00:00 UTC+0000,3.03
2021-10-06 14:00:00 UTC+0000,1.6675
2021-10-06 18:00:00 UTC+0000,1.45
2021-10-06 22:00:00 UTC+0000,6.0
2021-10-07 02:00:00 UTC+0000,2.89
2021-10-07 06:00:00 UTC+0000,1.31
2021-10-07 10:00:00 UTC+0000,10.0
2021-10-07 14:00:00 UTC+0000,1.0
2021-10-07 18:00:00 UTC+0000,1.225
2021-10-07 22:00:00 UTC+0000,4.1825
2021-10-08 02:00:00 UTC+0000,1.7
2021-10-08 06:00:00 UTC+0000,1.0
2021-10-08 10:00:00 UTC+0000,6.37
2021-10-08 14:00:00 UTC+0000,1.01
2021-10-08 18:00:00 UTC+0000,1.13
2021-10-08 22:00:00 UTC+0000,2.6275
2021-10-09 02:00:00 UTC+0000,1.325
2021-10-09 06:00:00 UTC+0000,2.08
2021-10-09 10:00:00 UTC+0000,11.7225
2021-10-09 14:00:00 UTC+0000,1.1
2021-10-09 18:00:00 UTC+0000,0.95
2021-10-09 22:00:00 UTC+0000,3.0
2021-10-10 02:00:00 UTC+0000,1.18
2021-10-10 06:00:00 UTC+0000,1.9375
2021-10-10 10:00:00 UTC+0000,9.075
2021-10-10 14:00:00 UTC+0000,0.7925
2021-10-10 18:00:00 UTC+0000,0.815
2021-10-10 22:00:00 UTC+0000,4.2425
2021-10-11 02:00:00 UTC+0000,4.3475
2021-10-11 06:00:00 UTC+0000,24.25
2021-10-11 10:00:00 UTC+0000,14.9975
2021-10-11 14:00:00 UTC+0000,4.2125
2021-10-11 18:00:00 UTC+0000,8.3325
2021-10-11 22:00:00 UTC+0000,7.4975
2021-10-12 02:00:00 UTC+0000,12.875
2021-10-12 06:00:00 UTC+0000,14.75
2021-10-12 10:00:00 UTC+0000,11.0
2021-10-12 14:00:00 UTC+0000,3.1925
2021-10-12 18:00:00 UTC+0000,10.415
2021-10-12 22:00:00 UTC+0000,9.3
2021-10-13 02:00:00 UTC+0000,8.0
2021-10-13 06:00:00 UTC+0000,20.415
2021-10-13 10:00:00 UTC+0000,20.8325
2021-10-13 14:00:00 UTC+0000,12.5
2021-10-13 18:00:00 UTC+0000,54.85
2021-10-13 22:00:00 UTC+0000,17.5
2021-10-14 02:00:00 UTC+0000,9.875
2021-10-14 06:00:00 UTC+0000,120.835
2021-10-14 10:00:00 UTC+0000,193.75
2021-10-14 14:00:00 UTC+0000,24.1975
2021-10-14 18:00:00 UTC+0000,60.7225
2021-10-14 22:00:00 UTC+0000,52.0
2021-10-15 02:00:00 UTC+0000,31.4325
2021-10-15 06:00:00 UTC+0000,52.5825
2021-10-15 10:00:00 UTC+0000,59.5
2021-10-15 14:00:00 UTC+0000,16.665
2021-10-15 18:00:00 UTC+0000,27.25
2021-10-15 22:00:00 UTC+0000,19.5
2021-10-16 02:00:00 UTC+0000,13.955
2021-10-16 06:00:00 UTC+0000,22.5
2021-10-16 10:00:00 UTC+0000,29.85
2021-10-16 14:00:00 UTC+0000,7.915
2021-10-16 18:00:00 UTC+0000,13.0
2021-10-16 22:00:00 UTC+0000,16.3475
2021-10-17 02:00:00 UTC+0000,10.5
2021-10-17 06:00:00 UTC+0000,16.65
2021-10-17 10:00:00 UTC+0000,21.5325
2021-10-17 14:00:00 UTC+0000,6.25
2021-10-17 18:00:00 UTC+0000,7.5
2021-10-17 22:00:00 UTC+0000,9.81
2021-10-18 02:00:00 UTC+0000,6.0
2021-10-18 06:00:00 UTC+0000,10.79
2021-10-18 10:00:00 UTC+0000,11.0
2021-10-18 14:00:00 UTC+0000,4.805
2021-10-18 18:00:00 UTC+0000,6.23
2021-10-18 22:00:00 UTC+0000,6.55
2021-10-19 02:00:00 UTC+0000,4.7375
2021-10-19 06:00:00 UTC+0000,7.1675
2021-10-19 10:00:00 UTC+0000,8.58
2021-10-19 14:00:00 UTC+0000,4.0325
2021-10-19 18:00:00 UTC+0000,24.5
2021-10-19 22:00:00 UTC+0000,40.0
2021-10-20 02:00:00 UTC+0000,22.3225
2021-10-20 06:00:00 UTC+0000,16.5
2021-10-20 10:00:00 UTC+0000,29.5675
2021-10-20 14:00:00 UTC+0000,11.0
2021-10-20 18:00:00 UTC+0000,31.25
2021-10-20 22:00:00 UTC+0000,37.25
2021-10-21 02:00:00 UTC+0000,16.665
2021-10-21 06:00:00 UTC+0000,13.165
2021-10-21 10:00:00 UTC+0000,25.325
2021-10-21 14:00:00 UTC+0000,8.0
2021-10-21 18:00:00 UTC+0000,20.4375
2021-10-21 22:00:00 UTC+0000,21.9375
2021-10-22 02:00:00 UTC+0000,10.95
2021-10-22 06:00:00 UTC+0000,12.0
2021-10-22 10:00:00 UTC+0000,24.42
2021-10-22 14:00:00 UTC+0000,7.0
2021-10-22 18:00:00 UTC+0000,12.8
2021-10-22 22:00:00 UTC+0000,12.2
2021-10-23 02:00:00 UTC+0000,7.2
2021-10-23 06:00:00 UTC+0000,8.5
2021-10-23 10:00:00 UTC+0000,13.175
2021-10-23 14:00:00 UTC+0000,4.885
2021-10-23 18:00:00 UTC+0000,4.925
2021-10-23 22:00:00 UTC+0000,7.6775
2021-10-24 02:00:00 UTC+0000,3.9375
2021-10-24 06:00:00 UTC+0000,5.1
2021-10-24 10:00:00 UTC+0000,9.0975
2021-10-24 14:00:00 UTC+0000,2.8375
2021-10-24 18:00:00 UTC+0000,2.9375
2021-10-24 22:00:00 UTC+0000,5.5
2021-10-25 02:00:00 UTC+0000,2.7775
2021-10-25 06:00:00 UTC+0000,2.8525
2021-10-25 10:00:00 UTC+0000,3.9
2021-10-25 14:00:00 UTC+0000,2.7825
2021-10-25 18:00:00 UTC+0000,3.05
2021-10-25 22:00:00 UTC+0000,3.57
2021-10-26 02:00:00 UTC+0000,1.72
2021-10-26 06:00:00 UTC+0000,1.7975
2021-10-26 10:00:00 UTC+0000,2.375
2021-10-26 14:00:00 UTC+0000,1.6
2021-10-26 18:00:00 UTC+0000,1.6875
2021-10-26 22:00:00 UTC+0000,2.875
2021-10-27 02:00:00 UTC+0000,1.4375
2021-10-27 06:00:00 UTC+0000,1.42
2021-10-27 10:00:00 UTC+0000,2.225
2021-10-27 14:00:00 UTC+0000,1.29
2021-10-27 18:00:00 UTC+0000,1.5
2021-10-27 22:00:00 UTC+0000,1.91
2021-10-28 02:00:00 UTC+0000,1.095
2021-10-28 06:00:00 UTC+0000,1.01
2021-10-28 10:00:00 UTC+0000,1.6875
2021-10-28 14:00:00 UTC+0000,0.97
2021-10-28 18:00:00 UTC+0000,1.1875
2021-10-28 22:00:00 UTC+0000,1.505
2021-10-29 02:00:00 UTC+0000,0.8
2021-10-29 06:00:00 UTC+0000,0.75
2021-10-29 10:00:00 UTC+0000,1.5925
2021-10-29 14:00:00 UTC+0000,0.8825
2021-10-29 18:00:00 UTC+0000,1.25
2021-10-29 22:00:00 UTC+0000,1.5
2021-10-30 02:00:00 UTC+0000,0.88
2021-10-30 06:00:00 UTC+0000,0.9125
2021-10-30 10:00:00 UTC+0000,1.51
2021-10-30 14:00:00 UTC+0000,1.0
2021-10-30 18:00:00 UTC+0000,1.5
2021-10-30 22:00:00 UTC+0000,7.0
2021-10-31 03:00:00 UTC+0000,6.25
2021-10-31 07:00:00 UTC+0000,3.7075
2021-10-31 11:00:00 UTC+0000,6.985
2021-10-31 15:00:00 UTC+0000,6.345
2021-10-31 19:00:00 UTC+0000,20.5
2021-10-31 23:00:00 UTC+0000,41.175
2021-11-01 03:00:00 UTC+0000,18.485
2021-11-01 07:00:00 UTC+0000,2.8
2021-11-01 11:00:00 UTC+0000,4.495
2021-11-01 15:00:00 UTC+0000,3.8625
2021-11-01 19:00:00 UTC+0000,8.25
2021-11-01 23:00:00 UTC+0000,12.0675
2021-11-02 03:00:00 UTC+0000,6.2875
2021-11-02 07:00:00 UTC+0000,1.9475
2021-11-02 11:00:00 UTC+0000,2.765
2021-11-02 15:00:00 UTC+0000,2.31
2021-11-02 19:00:00 UTC+0000,4.05
2021-11-02 23:00:00 UTC+0000,5.8
2021-11-03 03:00:00 UTC+0000,1.3
2021-11-03 07:00:00 UTC+0000,1.0
2021-11-03 11:00:00 UTC+0000,1.585
2021-11-03 15:00:00 UTC+0000,1.1625
2021-11-03 19:00:00 UTC+0000,1.555
2021-11-03 23:00:00 UTC+0000,3.0625
2021-11-04 03:00:00 UTC+0000,0.75
2021-11-04 07:00:00 UTC+0000,0.7475
2021-11-04 11:00:00 UTC+0000,1.0
2021-11-04 15:00:00 UTC+0000,0.8125
2021-11-04 19:00:00 UTC+0000,0.9975
2021-11-04 23:00:00 UTC+0000,2.55
2021-11-05 03:00:00 UTC+0000,0.575
2021-11-05 07:00:00 UTC+0000,0.48
2021-11-05 11:00:00 UTC+0000,0.6875
2021-11-05 15:00:00 UTC+0000,0.485
2021-11-05 19:00:00 UTC+0000,0.8675
2021-11-05 23:00:00 UTC+0000,2.275
2021-11-06 03:00:00 UTC+0000,1.3125
2021-11-06 07:00:00 UTC+0000,0.9725
2021-11-06 11:00:00 UTC+0000,1.725
2021-11-06 15:00:00 UTC+0000,1.4375
2021-11-06 19:00:00 UTC+0000,4.6225
2021-11-06 23:00:00 UTC+0000,37.435
2021-11-07 03:00:00 UTC+0000,38.355
2021-11-07 07:00:00 UTC+0000,9.79
2021-11-07 11:00:00 UTC+0000,9.79
2021-11-07 15:00:00 UTC+0000,3.1925
2021-11-07 19:00:00 UTC+0000,5.5
2021-11-07 23:00:00 UTC+0000,16.4575
2021-11-08 03:00:00 UTC+0000,9.5
2021-11-08 07:00:00 UTC+0000,2.565
2021-11-08 11:00:00 UTC+0000,3.5
2021-11-08 15:00:00 UTC+0000,2.0
2021-11-08 19:00:00 UTC+0000,2.8425
2021-11-08 23:00:00 UTC+0000,4.4425
2021-11-09 03:00:00 UTC+0000,3.4975
2021-11-09 07:00:00 UTC+0000,1.29
2021-11-09 11:00:00 UTC+0000,1.57
2021-11-09 15:00:00 UTC+0000,0.6675
2021-11-09 19:00:00 UTC+0000,1.035
2021-11-09 23:00:00 UTC+0000,1.9375
2021-11-10 03:00:00 UTC+0000,1.1875
2021-11-10 07:00:00 UTC+0000,0.575
2021-11-10 11:00:00 UTC+0000,0.915
2021-11-10 15:00:00 UTC+0000,0.305
2021-11-10 19:00:00 UTC+0000,0.475
2021-11-10 23:00:00 UTC+0000,1.0025
2021-11-11 03:00:00 UTC+0000,0.595
2021-11-11 07:00:00 UTC+0000,0.3575
2021-11-11 11:00:00 UTC+0000,0.575
2021-11-11 15:00:00 UTC+0000,0.1575
2021-11-11 19:00:00 UTC+0000,0.275
2021-11-11 23:00:00 UTC+0000,0.4875
2021-11-12 03:00:00 UTC+0000,0.29
2021-11-12 07:00:00 UTC+0000,0.25
2021-11-12 11:00:00 UTC+0000,0.375
2021-11-12 15:00:00 UTC+0000,0.15
2021-11-12 19:00:00 UTC+0000,0.3175
2021-11-12 23:00:00 UTC+0000,0.89
2021-11-13 03:00:00 UTC+0000,0.5375
2021-11-13 07:00:00 UTC+0000,0.3625
2021-11-13 11:00:00 UTC+0000,0.4325
2021-11-13 15:00:00 UTC+0000,0.195
2021-11-13 19:00:00 UTC+0000,0.45
2021-11-13 23:00:00 UTC+0000,1.0675
2021-11-14 03:00:00 UTC+0000,0.6875
2021-11-14 07:00:00 UTC+0000,0.4325
2021-11-14 11:00:00 UTC+0000,0.4375
2021-11-14 15:00:00 UTC+0000,0.18
2021-11-14 19:00:00 UTC+0000,0.5625
2021-11-14 23:00:00 UTC+0000,0.85
2021-11-15 03:00:00 UTC+0000,0.4375
2021-11-15 07:00:00 UTC+0000,0.215
2021-11-15 11:00:00 UTC+0000,0.2325
2021-11-15 15:00:00 UTC+0000,0.1125
2021-11-15 19:00:00 UTC+0000,0.275
2021-11-15 23:00:00 UTC+0000,0.565
2021-11-16 03:00:00 UTC+0000,0.2975
2021-11-16 07:00:00 UTC+0000,0.14
2021-11-16 11:00:00 UTC+0000,0.15
2021-11-16 15:00:00 UTC+0000,0.0625
2021-11-16 19:00:00 UTC+0000,0.1525
2021-11-16 23:00:00 UTC+0000,0.4375
2021-11-17 03:00:00 UTC+0000,0.22
2021-11-17 07:00:00 UTC+0000,0.1
2021-11-17 11:00:00 UTC+0000,0.1375
2021-11-17 15:00:00 UTC+0000,0.08
2021-11-17 19:00:00 UTC+0000,0.725
2021-11-17 23:00:00 UTC+0000,2.15
2021-11-18 03:00:00 UTC+0000,2.065
2021-11-18 07:00:00 UTC+0000,1.0
2021-11-18 11:00:00 UTC+0000,0.8125
2021-11-18 15:00:00 UTC+0000,0.3875
2021-11-18 19:00:00 UTC+0000,2.25
2021-11-18 23:00:00 UTC+0000,2.7775
2021-11-19 03:00:00 UTC+0000,2.365
2021-11-19 07:00:00 UTC+0000,0.85
2021-11-19 11:00:00 UTC+0000,0.7
2021-11-19 15:00:00 UTC+0000,0.3025
2021-11-19 19:00:00 UTC+0000,2.8375
2021-11-19 23:00:00 UTC+0000,1.78
2021-11-20 03:00:00 UTC+0000,1.3875
2021-11-20 07:00:00 UTC+0000,0.935
2021-11-20 11:00:00 UTC+0000,0.8125
2021-11-20 15:00:00 UTC+0000,0.25
2021-11-20 19:00:00 UTC+0000,1.5625
2021-11-20 23:00:00 UTC+0000,1.6225
2021-11-21 03:00:00 UTC+0000,1.235
2021-11-21 07:00:00 UTC+0000,0.7675
2021-11-21 11:00:00 UTC+0000,0.6075
2021-11-21 15:00:00 UTC+0000,0.17
2021-11-21 19:00:00 UTC+0000,1.0
2021-11-21 23:00:00 UTC+0000,1.225
2021-11-22 03:00:00 UTC+0000,0.75
2021-11-22 07:00:00 UTC+0000,0.49
2021-11-22 11:00:00 UTC+0000,0.3625
2021-11-22 15:00:00 UTC+0000,0.0975
2021-11-22 19:00:00 UTC+0000,0.725
2021-11-22 23:00:00 UTC+0000,1.0
2021-11-23 03:00:00 UTC+0000,0.575
2021-11-23 07:00:00 UTC+0000,0.3725
2021-11-23 11:00:00 UTC+0000,0.2875
2021-11-23 15:00:00 UTC+0000,0.1175
2021-11-23 19:00:00 UTC+0000,0.425
2021-11-23 23:00:00 UTC+0000,0.62
2021-11-24 03:00:00 UTC+0000,0.35
2021-11-24 07:00:00 UTC+0000,0.205
2021-11-24 11:00:00 UTC+0000,0.2
2021-11-24 15:00:00 UTC+0000,0.0975
2021-11-24 19:00:00 UTC+0000,0.2475
2021-11-24 23:00:00 UTC+0000,0.55
2021-11-25 03:00:00 UTC+0000,0.275
2021-11-25 07:00:00 UTC+0000,0.1475
2021-11-25 11:00:00 UTC+0000,0.2175
2021-11-25 15:00:00 UTC+0000,0.13
2021-11-25 19:00:00 UTC+0000,0.4125
2021-11-25 23:00:00 UTC+0000,0.4775
2021-11-26 03:00:00 UTC+0000,0.22
2021-11-26 07:00:00 UTC+0000,0.1225
2021-11-26 11:00:00 UTC+0000,0.1475
2021-11-26 15:00:00 UTC+0000,0.2225
2021-11-26 19:00:00 UTC+0000,0.6175
2021-11-26 23:00:00 UTC+0000,2.17
2021-11-27 03:00:00 UTC+0000,1.105
2021-11-27 07:00:00 UTC+0000,0.5
2021-11-27 11:00:00 UTC+0000,0.2425
2021-11-27 15:00:00 UTC+0000,0.25
2021-11-27 19:00:00 UTC+0000,0.3025
2021-11-27 23:00:00 UTC+0000,0.645
2021-11-28 03:00:00 UTC+0000,0.6
2021-11-28 07:00:00 UTC+0000,0.25
2021-11-28 11:00:00 UTC+0000,0.1625
2021-11-28 15:00:00 UTC+0000,0.105
2021-11-28 19:00:00 UTC+0000,0.25
2021-11-28 23:00:00 UTC+0000,0.58
2021-11-29 03:00:00 UTC+0000,0.485
2021-11-29 07:00:00 UTC+0000,0.2075
2021-11-29 11:00:00 UTC+0000,0.15
2021-11-29 15:00:00 UTC+0000,0.09
2021-11-29 19:00:00 UTC+0000,0.265
2021-11-29 23:00:00 UTC+0000,3.555
2021-11-30 03:00:00 UTC+0000,3.675
2021-11-30 07:00:00 UTC+0000,4.22
2021-11-30 11:00:00 UTC+0000,5.1775
2021-11-30 15:00:00 UTC+0000,0.9
2021-11-30 19:00:00 UTC+0000,3.4
2021-11-30 23:00:00 UTC+0000,2.025
2021-12-01 03:00:00 UTC+0000,1.775
2021-12-01 07:00:00 UTC+0000,1.2525
2021-12-01 11:00:00 UTC+0000,2.0
2021-12-01 15:00:00 UTC+0000,0.895
2021-12-01 19:00:00 UTC+0000,1.8575
2021-12-01 23:00:00 UTC+0000,2.8
2021-12-02 03:00:00 UTC+0000,0.925
2021-12-02 07:00:00 UTC+0000,0.725
2021-12-02 11:00:00 UTC+0000,0.9325
2021-12-02 15:00:00 UTC+0000,0.4825
2021-12-02 19:00:00 UTC+0000,0.7025
2021-12-02 23:00:00 UTC+0000,1.375
2021-12-03 03:00:00 UTC+0000,0.56
2021-12-03 07:00:00 UTC+0000,0.525
2021-12-03 11:00:00 UTC+0000,0.75
2021-12-03 15:00:00 UTC+0000,0.5775
2021-12-03 19:00:00 UTC+0000,1.025
2021-12-03 23:00:00 UTC+0000,1.225
2021-12-04 03:00:00 UTC+0000,0.475
2021-12-04 07:00:00 UTC+0000,0.33
2021-12-04 11:00:00 UTC+0000,0.4375
2021-12-04 15:00:00 UTC+0000,0.27
2021-12-04 19:00:00 UTC+0000,0.56
2021-12-04 23:00:00 UTC+0000,1.6875
2021-12-05 03:00:00 UTC+0000,21.25
2021-12-05 07:00:00 UTC+0000,0.64
2021-12-05 11:00:00 UTC+0000,0.355
2021-12-05 15:00:00 UTC+0000,0.175
2021-12-05 19:00:00 UTC+0000,0.425
2021-12-05 23:00:00 UTC+0000,1.23
2021-12-06 03:00:00 UTC+0000,9.885
2021-12-06 07:00:00 UTC+0000,0.375
2021-12-06 11:00:00 UTC+0000,0.25
2021-12-06 15:00:00 UTC+0000,0.18
2021-12-06 19:00:00 UTC+0000,3.755
2021-12-06 23:00:00 UTC+0000,3.75
2021-12-07 03:00:00 UTC+0000,4.835
2021-12-07 07:00:00 UTC+0000,0.3125
2021-12-07 11:00:00 UTC+0000,0.355
2021-12-07 15:00:00 UTC+0000,0.1575
2021-12-07 19:00:00 UTC+0000,2.775
2021-12-07 23:00:00 UTC+0000,9.56
2021-12-08 03:00:00 UTC+0000,8.8
2021-12-08 07:00:00 UTC+0000,0.27
2021-12-08 11:00:00 UTC+0000,0.16
2021-12-08 15:00:00 UTC+0000,0.11
2021-12-08 19:00:00 UTC+0000,2.27
2021-12-08 23:00:00 UTC+0000,4.5
2021-12-09 03:00:00 UTC+0000,3.5
2021-12-09 07:00:00 UTC+0000,0.14
2021-12-09 11:00:00 UTC+0000,0.12
2021-12-09 15:00:00 UTC+0000,0.09
2021-12-09 19:00:00 UTC+0000,1.59
2021-12-09 23:00:00 UTC+0000,2.8
2021-12-10 03:00:00 UTC+0000,2.09
2021-12-10 07:00:00 UTC+0000,0.1
2021-12-10 11:00:00 UTC+0000,0.09
2021-12-10 15:00:00 UTC+0000,0.09
2021-12-10 19:00:00 UTC+0000,0.99
2021-12-10 23:00:00 UTC+0000,1.55
2021-12-11 03:00:00 UTC+0000,1.12
2021-12-11 07:00:00 UTC+0000,0.15
2021-12-11 11:00:00 UTC+0000,0.04
2021-12-11 15:00:00 UTC+0000,0.05
2021-12-11 19:00:00 UTC+0000,0.79
2021-12-11 23:00:00 UTC+0000,3.97
2021-12-12 03:00:00 UTC+0000,4.03
2021-12-12 07:00:00 UTC+0000,0.55
2021-12-12 11:00:00 UTC+0000,0.12
2021-12-12 15:00:00 UTC+0000,0.0
2021-12-12 19:00:00 UTC+0000,0.7
2021-12-12 23:00:00 UTC+0000,2.04
2021-12-13 03:00:00 UTC+0000,1.94
2021-12-13 07:00:00 UTC+0000,0.1
2021-12-13 11:00:00 UTC+0000,0.0
2021-12-13 15:00:00 UTC+0000,0.1
2021-12-13 19:00:00 UTC+0000,0.75
2021-12-13 23:00:00 UTC+0000,2.96
2021-12-14 03:00:00 UTC+0000,1.71
2021-12-14 07:00:00 UTC+0000,0.27
2021-12-14 11:00:00 UTC+0000,0.14
2021-12-14 15:00:00 UTC+0000,0.1
2021-12-14 19:00:00 UTC+0000,0.47
2021-12-14 23:00:00 UTC+0000,1.73
2021-12-15 03:00:00 UTC+0000,1.3
2021-12-15 07:00:00 UTC+0000,0.15
2021-12-15 11:00:00 UTC+0000,0.04
2021-12-15 15:00:00 UTC+0000,0.08
2021-12-15 19:00:00 UTC+0000,0.34
2021-12-15 23:00:00 UTC+0000,1.24
2021-12-16 03:00:00 UTC+0000,0.96
2021-12-16 07:00:00 UTC+0000,0.1
2021-12-16 11:00:00 UTC+0000,0.04
2021-12-16 15:00:00 UTC+0000,0.07
2021-12-16 19:00:00 UTC+0000,0.26
2021-12-16 23:00:00 UTC+0000,0.94
2021-12-17 03:00:00 UTC+0000,0.77
2021-12-17 07:00:00 UTC+0000,0.06
2021-12-17 11:00:00 UTC+0000,0.02
2021-12-17 15:00:00 UTC+0000,0.05
2021-12-17 19:00:00 UTC+0000,0.22
2021-12-17 23:00:00 UTC+0000,0.6
2021-12-18 03:00:00 UTC+0000,0.61
2021-12-18 07:00:00 UTC+0000,0.14
2021-12-18 11:00:00 UTC+0000,0.03
2021-12-18 15:00:00 UTC+0000,0.05
2021-12-18 19:00:00 UTC+0000,0.0
2021-12-18 23:00:00 UTC+0000,13.62
2021-12-19 03:00:00 UTC+0000,18.64
2021-12-19 07:00:00 UTC+0000,20.28
2021-12-19 11:00:00 UTC+0000,4.25
2021-12-19 15:00:00 UTC+0000,0.78
2021-12-19 19:00:00 UTC+0000,2.0
2021-12-19 23:00:00 UTC+0000,3.5
2021-12-20 03:00:00 UTC+0000,3.27
2021-12-20 07:00:00 UTC+0000,2.21
2021-12-20 11:00:00 UTC+0000,0.0
2021-12-20 15:00:00 UTC+0000,0.19
2021-12-20 19:00:00 UTC+0000,0.4
2021-12-20 23:00:00 UTC+0000,1.83
2021-12-21 03:00:00 UTC+0000,1.5
2021-12-21 07:00:00 UTC+0000,0.9
2021-12-21 11:00:00 UTC+0000,0.11
2021-12-21 15:00:00 UTC+0000,0.05
2021-12-21 19:00:00 UTC+0000,0.06
2021-12-21 23:00:00 UTC+0000,1.1
2021-12-22 03:00:00 UTC+0000,1.06
2021-12-22 07:00:00 UTC+0000,0.64
2021-12-22 11:00:00 UTC+0000,0.05
2021-12-22 15:00:00 UTC+0000,0.01
2021-12-22 19:00:00 UTC+0000,0.0
2021-12-22 23:00:00 UTC+0000,0.7
2021-12-23 03:00:00 UTC+0000,0.74
2021-12-23 07:00:00 UTC+0000,0.67
2021-12-23 11:00:00 UTC+0000,0.59
2021-12-23 15:00:00 UTC+0000,0.13
2021-12-23 19:00:00 UTC+0000,0.33
2021-12-23 23:00:00 UTC+0000,36.6
2021-12-24 03:00:00 UTC+0000,8.99
2021-12-24 07:00:00 UTC+0000,3.32
2021-12-24 11:00:00 UTC+0000,1.8
2021-12-24 15:00:00 UTC+0000,0.16
2021-12-24 19:00:00 UTC+0000,0.1
2021-12-24 23:00:00 UTC+0000,9.1
2021-12-25 03:00:00 UTC+0000,4.08
2021-12-25 07:00:00 UTC+0000,1.58
2021-12-25 11:00:00 UTC+0000,1.0
2021-12-25 15:00:00 UTC+0000,0.69
2021-12-25 19:00:00 UTC+0000,0.73
2021-12-25 23:00:00 UTC+0000,5.1
2021-12-26 03:00:00 UTC+0000,3.32
2021-12-26 07:00:00 UTC+0000,0.89
2021-12-26 11:00:00 UTC+0000,0.7
2021-12-26 15:00:00 UTC+0000,0.45
2021-12-26 19:00:00 UTC+0000,0.63
2021-12-26 23:00:00 UTC+0000,11.78
2021-12-27 03:00:00 UTC+0000,12.86
2021-12-27 07:00:00 UTC+0000,0.45
2021-12-27 11:00:00 UTC+0000,0.42
2021-12-27 15:00:00 UTC+0000,0.3
2021-12-27 19:00:00 UTC+0000,0.22
2021-12-27 23:00:00 UTC+0000,8.7
2021-12-28 03:00:00 UTC+0000,21.02
2021-12-28 07:00:00 UTC+0000,0.25
2021-12-28 11:00:00 UTC+0000,0.26
2021-12-28 15:00:00 UTC+0000,0.2
2021-12-28 19:00:00 UTC+0000,0.11
2021-12-28 23:00:00 UTC+0000,5.76
2021-12-29 03:00:00 UTC+0000,11.25
2021-12-29 07:00:00 UTC+0000,0.44
2021-12-29 11:00:00 UTC+0000,0.2
2021-12-29 15:00:00 UTC+0000,0.15
2021-12-29 19:00:00 UTC+0000,0.0
2021-12-29 23:00:00 UTC+0000,8.5
2021-12-30 03:00:00 UTC+0000,34.61
2021-12-30 07:00:00 UTC+0000,0.49
2021-12-30 11:00:00 UTC+0000,0.38
2021-12-30 15:00:00 UTC+0000,0.37
2021-12-30 19:00:00 UTC+0000,0.75
2021-12-30 23:00:00 UTC+0000,27.35
2021-12-31 03:00:00 UTC+0000,22.22
2021-12-31 07:00:00 UTC+0000,0.8
2021-12-31 11:00:00 UTC+0000,0.97
2021-12-31 15:00:00 UTC+0000,0.6
2021-12-31 19:00:00 UTC+0000,8.0
2021-12-31 23:00:00 UTC+0000,19.73
2022-01-01 03:00:00 UTC+0000,13.1
2022-01-01 07:00:00 UTC+0000,0.75
2022-01-01 11:00:00 UTC+0000,0.43
2022-01-01 15:00:00 UTC+0000,0.43
2022-01-01 19:00:00 UTC+0000,3.78
2022-01-01 23:00:00 UTC+0000,11.26
2022-01-02 03:00:00 UTC+0000,10.71
2022-01-02 07:00:00 UTC+0000,1.74
2022-01-02 11:00:00 UTC+0000,0.55
2022-01-02 15:00:00 UTC+0000,0.45
2022-01-02 19:00:00 UTC+0000,3.0
2022-01-02 23:00:00 UTC+0000,13.5
2022-01-03 03:00:00 UTC+0000,14.0
2022-01-03 07:00:00 UTC+0000,2.11
2022-01-03 11:00:00 UTC+0000,0.47
2022-01-03 15:00:00 UTC+0000,0.33
2022-01-03 19:00:00 UTC+0000,2.81
2022-01-03 23:00:00 UTC+0000,7.0
2022-01-04 03:00:00 UTC+0000,5.95
2022-01-04 07:00:00 UTC+0000,0.85
2022-01-04 11:00:00 UTC+0000,0.21
2022-01-04 15:00:00 UTC+0000,0.2
2022-01-04 19:00:00 UTC+0000,1.27
2022-01-04 23:00:00 UTC+0000,5.66
2022-01-05 03:00:00 UTC+0000,4.4
2022-01-05 07:00:00 UTC+0000,0.6
2022-01-05 11:00:00 UTC+0000,0.15
2022-01-05 15:00:00 UTC+0000,0.14
2022-01-05 19:00:00 UTC+0000,0.94
2022-01-05 23:00:00 UTC+0000,4.18
2022-01-06 03:00:00 UTC+0000,2.82
2022-01-06 07:00:00 UTC+0000,0.35
2022-01-06 11:00:00 UTC+0000,0.08
2022-01-06 15:00:00 UTC+0000,0.09
2022-01-06 19:00:00 UTC+0000,0.39
2022-01-06 23:00:00 UTC+0000,3.31
2022-01-07 03:00:00 UTC+0000,2.11
2022-01-07 07:00:00 UTC+0000,0.26
2022-01-07 11:00:00 UTC+0000,0.09
2022-01-07 15:00:00 UTC+0000,0.1
2022-01-07 19:00:00 UTC+0000,0.3
2022-01-07 23:00:00 UTC+0000,2.0
2022-01-08 03:00:00 UTC+0000,1.16
2022-01-08 07:00:00 UTC+0000,0.75
2022-01-08 11:00:00 UTC+0000,0.0
2022-01-08 15:00:00 UTC+0000,0.15
2022-01-08 19:00:00 UTC+0000,1.7
2022-01-08 23:00:00 UTC+0000,14.0
2022-01-09 03:00:00 UTC+0000,19.0
2022-01-09 07:00:00 UTC+0000,3.7
2022-01-09 11:00:00 UTC+0000,0.0
2022-01-09 15:00:00 UTC+0000,0.0
2022-01-09 19:00:00 UTC+0000,0.75
2022-01-09 23:00:00 UTC+0000,3.44
