time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-21 23:00:00 UTC+0000,13.4175,16.67,16.67,4.3275
2021-01-22 03:00:00 UTC+0000,8.345,9.07,9.07,1.3825
2021-01-22 07:00:00 UTC+0000,0.7575,1.5875,1.5875,0.45
2021-01-22 11:00:00 UTC+0000,0.7,1.8375,1.8375,0.425
2021-01-22 15:00:00 UTC+0000,0.36,0.5,0.5,0.45
2021-01-22 19:00:00 UTC+0000,0.925,1.225,1.225,0.69
2021-01-22 23:00:00 UTC+0000,5.1425,3.64,13.4175,3.64
2021-01-23 03:00:00 UTC+0000,2.75,1.25,8.345,1.25
2021-01-23 07:00:00 UTC+0000,0.475,0.4375,0.7575,0.4375
2021-01-23 11:00:00 UTC+0000,0.4725,0.405,0.7,0.405
2021-01-23 15:00:00 UTC+0000,0.3375,0.405,0.36,0.405
2021-01-23 19:00:00 UTC+0000,0.615,0.6,0.925,0.6
2021-01-23 23:00:00 UTC+0000,3.9125,3.45,5.1425,3.45
2021-01-24 03:00:00 UTC+0000,2.42,1.2325,2.75,1.2325
2021-01-24 07:00:00 UTC+0000,0.3725,0.395,0.475,0.395
2021-01-24 11:00:00 UTC+0000,0.355,0.37,0.4725,0.37
2021-01-24 15:00:00 UTC+0000,0.3,0.375,0.3375,0.375
2021-01-24 19:00:00 UTC+0000,0.475,0.52,0.615,0.52
2021-01-24 23:00:00 UTC+0000,3.47,13.4175,3.9125,3.44
2021-01-25 03:00:00 UTC+0000,1.8475,8.345,2.42,1.085
2021-01-25 07:00:00 UTC+0000,0.34,0.7575,0.3725,0.38
2021-01-25 11:00:00 UTC+0000,0.38,0.7,0.355,0.365
2021-01-25 15:00:00 UTC+0000,0.3,0.36,0.3,0.375
2021-01-25 19:00:00 UTC+0000,0.5,0.925,0.475,1.1
2021-01-25 23:00:00 UTC+0000,3.6,3.47,3.47,5.45
2021-01-26 03:00:00 UTC+0000,1.45,1.8475,1.8475,1.185
2021-01-26 07:00:00 UTC+0000,0.495,0.34,0.34,0.375
2021-01-26 11:00:00 UTC+0000,0.42,0.38,0.38,0.375
2021-01-26 15:00:00 UTC+0000,0.3,0.3,0.3,0.375
2021-01-26 19:00:00 UTC+0000,0.425,0.5,0.5,1.25
2021-01-26 23:00:00 UTC+0000,3.1575,3.6,3.6,10.53
2021-01-27 03:00:00 UTC+0000,1.2,1.45,1.45,4.54
2021-01-27 07:00:00 UTC+0000,0.37,0.495,0.495,0.505
2021-01-27 11:00:00 UTC+0000,0.355,0.42,0.42,0.3525
2021-01-27 15:00:00 UTC+0000,0.3,0.3,0.3,0.3675
2021-01-27 19:00:00 UTC+0000,0.385,0.425,0.425,1.32
2021-01-27 23:00:00 UTC+0000,3.0,3.1575,3.1575,16.67
2021-01-28 03:00:00 UTC+0000,1.125,1.2,1.2,9.07
2021-01-28 07:00:00 UTC+0000,0.3125,0.37,0.37,1.5875
2021-01-28 11:00:00 UTC+0000,0.315,0.355,0.355,1.8375
2021-01-28 15:00:00 UTC+0000,0.3,0.3,0.3,0.5
2021-01-28 19:00:00 UTC+0000,0.3675,0.385,0.385,1.225
2021-01-28 23:00:00 UTC+0000,3.41,3.0,3.0,13.4175
2021-01-29 03:00:00 UTC+0000,1.0,1.125,1.125,8.345
2021-01-29 07:00:00 UTC+0000,0.3025,0.3125,0.3125,0.7575
2021-01-29 11:00:00 UTC+0000,0.3025,0.315,0.315,0.7
2021-01-29 15:00:00 UTC+0000,0.3,0.3,0.3,0.36
2021-01-29 19:00:00 UTC+0000,0.365,0.3675,0.3675,0.925
2021-01-29 23:00:00 UTC+0000,3.53,5.1425,3.41,5.1425
2021-01-30 03:00:00 UTC+0000,1.125,2.75,1.0,2.75
2021-01-30 07:00:00 UTC+0000,0.3375,0.475,0.3025,0.475
2021-01-30 11:00:00 UTC+0000,0.325,0.4725,0.3025,0.4725
2021-01-30 15:00:00 UTC+0000,0.3,0.3375,0.3,0.3375
2021-01-30 19:00:00 UTC+0000,0.39,0.615,0.365,0.615
2021-01-30 23:00:00 UTC+0000,3.25,3.9125,3.53,3.9125
2021-01-31 03:00:00 UTC+0000,3.7275,2.42,1.125,2.42
2021-01-31 07:00:00 UTC+0000,0.3225,0.3725,0.3375,0.3725
2021-01-31 11:00:00 UTC+0000,0.3175,0.355,0.325,0.355
2021-01-31 15:00:00 UTC+0000,0.3,0.3,0.3,0.3
2021-01-31 19:00:00 UTC+0000,0.4175,0.475,0.39,0.475
2021-01-31 23:00:00 UTC+0000,3.14,3.41,3.25,3.47
2021-02-01 03:00:00 UTC+0000,2.6075,1.0,3.7275,1.8475
2021-02-01 07:00:00 UTC+0000,0.325,0.3025,0.3225,0.34
2021-02-01 11:00:00 UTC+0000,0.3325,0.3025,0.3175,0.38
2021-02-01 15:00:00 UTC+0000,0.3025,0.3,0.3,0.3
2021-02-01 19:00:00 UTC+0000,0.36,0.365,0.4175,0.5
2021-02-01 23:00:00 UTC+0000,2.825,3.14,3.14,3.6
2021-02-02 03:00:00 UTC+0000,1.535,2.6075,2.6075,1.45
2021-02-02 07:00:00 UTC+0000,0.3,0.325,0.325,0.495
2021-02-02 11:00:00 UTC+0000,0.325,0.3325,0.3325,0.42
2021-02-02 15:00:00 UTC+0000,0.3,0.3025,0.3025,0.3
2021-02-02 19:00:00 UTC+0000,1.57,0.36,0.36,0.425
2021-02-02 23:00:00 UTC+0000,4.4125,2.825,2.825,3.1575
2021-02-03 03:00:00 UTC+0000,1.575,1.535,1.535,1.2
2021-02-03 07:00:00 UTC+0000,1.1775,0.3,0.3,0.37
2021-02-03 11:00:00 UTC+0000,1.085,0.325,0.325,0.355
2021-02-03 15:00:00 UTC+0000,1.035,0.3,0.3,0.3
2021-02-03 19:00:00 UTC+0000,5.0,1.57,1.57,0.385
2021-02-03 23:00:00 UTC+0000,10.5875,4.4125,4.4125,3.0
2021-02-04 03:00:00 UTC+0000,2.4975,1.575,1.575,1.125
2021-02-04 07:00:00 UTC+0000,0.9775,1.1775,1.1775,0.3125
2021-02-04 11:00:00 UTC+0000,0.965,1.085,1.085,0.315
2021-02-04 15:00:00 UTC+0000,0.96,1.035,1.035,0.3
2021-02-04 19:00:00 UTC+0000,2.1675,5.0,5.0,0.3675
2021-02-04 23:00:00 UTC+0000,5.645,10.5875,10.5875,3.41
2021-02-05 03:00:00 UTC+0000,1.63,2.4975,2.4975,1.0
2021-02-05 07:00:00 UTC+0000,1.2,0.9775,0.9775,0.3025
2021-02-05 11:00:00 UTC+0000,1.075,0.965,0.965,0.3025
2021-02-05 15:00:00 UTC+0000,1.25,0.96,0.96,0.3
2021-02-05 19:00:00 UTC+0000,1.7775,2.1675,2.1675,0.365
