time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-07-06 02:00:00 UTC+0000,2.73,4.145,4.145,6.045
2021-07-06 06:00:00 UTC+0000,8.22,10.05,10.05,12.25
2021-07-06 10:00:00 UTC+0000,3.3325,4.75,4.75,6.125
2021-07-06 14:00:00 UTC+0000,7.1525,10.35,10.35,12.0
2021-07-06 18:00:00 UTC+0000,7.3625,10.325,10.325,12.07
2021-07-06 22:00:00 UTC+0000,0.79,1.03,1.03,1.775
2021-07-07 02:00:00 UTC+0000,2.8125,2.73,2.73,4.75
2021-07-07 06:00:00 UTC+0000,10.84,8.22,8.22,12.875
2021-07-07 10:00:00 UTC+0000,2.82,3.3325,3.3325,5.035
2021-07-07 14:00:00 UTC+0000,7.62,7.1525,7.1525,11.5075
2021-07-07 18:00:00 UTC+0000,9.15,7.3625,7.3625,11.2125
2021-07-07 22:00:00 UTC+0000,0.55,0.79,0.79,1.37
2021-07-08 02:00:00 UTC+0000,2.125,2.8125,2.8125,4.06
2021-07-08 06:00:00 UTC+0000,9.15,10.84,10.84,11.175
2021-07-08 10:00:00 UTC+0000,2.16,2.82,2.82,4.0625
2021-07-08 14:00:00 UTC+0000,11.5,7.62,7.62,10.3475
2021-07-08 18:00:00 UTC+0000,8.3125,9.15,9.15,9.51
2021-07-08 22:00:00 UTC+0000,0.5,0.55,0.55,1.0
2021-07-09 02:00:00 UTC+0000,3.94,2.125,2.125,3.2175
2021-07-09 06:00:00 UTC+0000,9.0,9.15,9.15,9.1275
2021-07-09 10:00:00 UTC+0000,2.0,2.16,2.16,3.11
2021-07-09 14:00:00 UTC+0000,7.65,11.5,11.5,8.875
2021-07-09 18:00:00 UTC+0000,8.645,8.3125,8.3125,10.0
2021-07-09 22:00:00 UTC+0000,0.83,1.9725,0.5,1.9725
2021-07-10 02:00:00 UTC+0000,2.4225,2.3425,3.94,2.3425
2021-07-10 06:00:00 UTC+0000,6.29,7.0,9.0,7.0
2021-07-10 10:00:00 UTC+0000,1.55,2.125,2.0,2.125
2021-07-10 14:00:00 UTC+0000,6.25,7.145,7.65,7.145
2021-07-10 18:00:00 UTC+0000,7.8425,7.64,8.645,7.64
2021-07-10 22:00:00 UTC+0000,0.69,1.2,0.83,1.2
2021-07-11 02:00:00 UTC+0000,1.7175,1.6875,2.4225,1.6875
2021-07-11 06:00:00 UTC+0000,4.82,5.03,6.29,5.03
2021-07-11 10:00:00 UTC+0000,1.1225,1.49,1.55,1.49
2021-07-11 14:00:00 UTC+0000,4.925,5.6325,6.25,5.6325
2021-07-11 18:00:00 UTC+0000,6.0,6.5,7.8425,6.5
2021-07-11 22:00:00 UTC+0000,1.1675,0.5,0.69,1.6
2021-07-12 02:00:00 UTC+0000,4.1,3.94,1.7175,4.145
2021-07-12 06:00:00 UTC+0000,9.64,9.0,4.82,10.05
2021-07-12 10:00:00 UTC+0000,5.5625,2.0,1.1225,4.75
2021-07-12 14:00:00 UTC+0000,10.35,7.65,4.925,10.35
2021-07-12 18:00:00 UTC+0000,10.0225,8.645,6.0,10.325
2021-07-12 22:00:00 UTC+0000,17.21,1.1675,1.1675,1.03
2021-07-13 02:00:00 UTC+0000,6.225,4.1,4.1,2.73
2021-07-13 06:00:00 UTC+0000,23.5,9.64,9.64,8.22
2021-07-13 10:00:00 UTC+0000,3.65,5.5625,5.5625,3.3325
2021-07-13 14:00:00 UTC+0000,9.9775,10.35,10.35,7.1525
2021-07-13 18:00:00 UTC+0000,10.4525,10.0225,10.0225,7.3625
2021-07-13 22:00:00 UTC+0000,5.5,17.21,17.21,0.79
2021-07-14 02:00:00 UTC+0000,4.28,6.225,6.225,2.8125
2021-07-14 06:00:00 UTC+0000,11.8,23.5,23.5,10.84
2021-07-14 10:00:00 UTC+0000,2.7325,3.65,3.65,2.82
2021-07-14 14:00:00 UTC+0000,7.91,9.9775,9.9775,7.62
2021-07-14 18:00:00 UTC+0000,8.405,10.4525,10.4525,9.15
2021-07-14 22:00:00 UTC+0000,2.85,5.5,5.5,0.55
2021-07-15 02:00:00 UTC+0000,3.41,4.28,4.28,2.125
2021-07-15 06:00:00 UTC+0000,9.25,11.8,11.8,9.15
2021-07-15 10:00:00 UTC+0000,2.0575,2.7325,2.7325,2.16
2021-07-15 14:00:00 UTC+0000,7.39,7.91,7.91,11.5
2021-07-15 18:00:00 UTC+0000,6.75,8.405,8.405,8.3125
2021-07-15 22:00:00 UTC+0000,1.7325,2.85,2.85,0.5
2021-07-16 02:00:00 UTC+0000,6.25,3.41,3.41,3.94
2021-07-16 06:00:00 UTC+0000,7.78,9.25,9.25,9.0
2021-07-16 10:00:00 UTC+0000,1.75,2.0575,2.0575,2.0
2021-07-16 14:00:00 UTC+0000,6.5,7.39,7.39,7.65
2021-07-16 18:00:00 UTC+0000,6.95,6.75,6.75,8.645
2021-07-16 22:00:00 UTC+0000,12.1875,0.83,1.7325,0.83
2021-07-17 02:00:00 UTC+0000,4.02,2.4225,6.25,2.4225
2021-07-17 06:00:00 UTC+0000,6.575,6.29,7.78,6.29
2021-07-17 10:00:00 UTC+0000,1.6,1.55,1.75,1.55
2021-07-17 14:00:00 UTC+0000,6.14,6.25,6.5,6.25
2021-07-17 18:00:00 UTC+0000,8.0825,7.8425,6.95,7.8425
2021-07-17 22:00:00 UTC+0000,3.75,0.69,12.1875,0.69
2021-07-18 02:00:00 UTC+0000,5.875,1.7175,4.02,1.7175
2021-07-18 06:00:00 UTC+0000,5.5,4.82,6.575,4.82
2021-07-18 10:00:00 UTC+0000,1.7475,1.1225,1.6,1.1225
2021-07-18 14:00:00 UTC+0000,6.78,4.925,6.14,4.925
2021-07-18 18:00:00 UTC+0000,6.39,6.0,8.0825,6.0
2021-07-18 22:00:00 UTC+0000,2.78,1.7325,3.75,1.1675
2021-07-19 02:00:00 UTC+0000,13.405,6.25,5.875,4.1
2021-07-19 06:00:00 UTC+0000,8.135,7.78,5.5,9.64
2021-07-19 10:00:00 UTC+0000,3.8,1.75,1.7475,5.5625
2021-07-19 14:00:00 UTC+0000,8.205,6.5,6.78,10.35
2021-07-19 18:00:00 UTC+0000,10.0,6.95,6.39,10.0225
2021-07-19 22:00:00 UTC+0000,1.91,2.78,2.78,17.21
2021-07-20 02:00:00 UTC+0000,5.65,13.405,13.405,6.225
2021-07-20 06:00:00 UTC+0000,7.3975,8.135,8.135,23.5
2021-07-20 10:00:00 UTC+0000,2.59,3.8,3.8,3.65
2021-07-20 14:00:00 UTC+0000,6.4,8.205,8.205,9.9775
2021-07-20 18:00:00 UTC+0000,7.75,10.0,10.0,10.4525
2021-07-20 22:00:00 UTC+0000,1.2475,1.91,1.91,5.5
2021-07-21 02:00:00 UTC+0000,3.78,5.65,5.65,4.28
2021-07-21 06:00:00 UTC+0000,9.8175,7.3975,7.3975,11.8
2021-07-21 10:00:00 UTC+0000,2.0975,2.59,2.59,2.7325
2021-07-21 14:00:00 UTC+0000,6.455,6.4,6.4,7.91
2021-07-21 18:00:00 UTC+0000,12.6075,7.75,7.75,8.405
2021-07-21 22:00:00 UTC+0000,0.8075,1.2475,1.2475,2.85
2021-07-22 02:00:00 UTC+0000,2.7,3.78,3.78,3.41
2021-07-22 06:00:00 UTC+0000,8.58,9.8175,9.8175,9.25
2021-07-22 10:00:00 UTC+0000,2.29,2.0975,2.0975,2.0575
2021-07-22 14:00:00 UTC+0000,8.53,6.455,6.455,7.39
2021-07-22 18:00:00 UTC+0000,9.65,12.6075,12.6075,6.75
2021-07-22 22:00:00 UTC+0000,0.5,0.8075,0.8075,1.7325
2021-07-23 02:00:00 UTC+0000,2.42,2.7,2.7,6.25
2021-07-23 06:00:00 UTC+0000,8.0575,8.58,8.58,7.78
2021-07-23 10:00:00 UTC+0000,1.9,2.29,2.29,1.75
2021-07-23 14:00:00 UTC+0000,8.02,8.53,8.53,6.5
2021-07-23 18:00:00 UTC+0000,10.2625,9.65,9.65,6.95
2021-07-23 22:00:00 UTC+0000,2.0,12.1875,0.5,12.1875
2021-07-24 02:00:00 UTC+0000,1.71,4.02,2.42,4.02
2021-07-24 06:00:00 UTC+0000,5.9,6.575,8.0575,6.575
2021-07-24 10:00:00 UTC+0000,1.5075,1.6,1.9,1.6
2021-07-24 14:00:00 UTC+0000,6.275,6.14,8.02,6.14
2021-07-24 18:00:00 UTC+0000,7.505,8.0825,10.2625,8.0825
2021-07-24 22:00:00 UTC+0000,1.0575,3.75,2.0,3.75
2021-07-25 02:00:00 UTC+0000,1.6425,5.875,1.71,5.875
2021-07-25 06:00:00 UTC+0000,4.88,5.5,5.9,5.5
2021-07-25 10:00:00 UTC+0000,1.2,1.7475,1.5075,1.7475
2021-07-25 14:00:00 UTC+0000,5.28,6.78,6.275,6.78
2021-07-25 18:00:00 UTC+0000,6.9875,6.39,7.505,6.39
2021-07-25 22:00:00 UTC+0000,1.555,0.5,1.0575,2.78
2021-07-26 02:00:00 UTC+0000,5.0,2.42,1.6425,13.405
2021-07-26 06:00:00 UTC+0000,8.0,8.0575,4.88,8.135
2021-07-26 10:00:00 UTC+0000,2.9825,1.9,1.2,3.8
2021-07-26 14:00:00 UTC+0000,9.36,8.02,5.28,8.205
2021-07-26 18:00:00 UTC+0000,9.73,10.2625,6.9875,10.0
2021-07-26 22:00:00 UTC+0000,0.68,1.555,1.555,1.91
2021-07-27 02:00:00 UTC+0000,2.11,5.0,5.0,5.65
2021-07-27 06:00:00 UTC+0000,7.04,8.0,8.0,7.3975
2021-07-27 10:00:00 UTC+0000,2.0,2.9825,2.9825,2.59
2021-07-27 14:00:00 UTC+0000,6.55,9.36,9.36,6.4
2021-07-27 18:00:00 UTC+0000,7.3075,9.73,9.73,7.75
2021-07-27 22:00:00 UTC+0000,0.27,0.68,0.68,1.2475
2021-07-28 02:00:00 UTC+0000,1.38,2.11,2.11,3.78
2021-07-28 06:00:00 UTC+0000,5.565,7.04,7.04,9.8175
2021-07-28 10:00:00 UTC+0000,1.435,2.0,2.0,2.0975
2021-07-28 14:00:00 UTC+0000,5.2575,6.55,6.55,6.455
2021-07-28 18:00:00 UTC+0000,6.13,7.3075,7.3075,12.6075
2021-07-28 22:00:00 UTC+0000,0.21,0.27,0.27,0.8075
2021-07-29 02:00:00 UTC+0000,1.075,1.38,1.38,2.7
2021-07-29 06:00:00 UTC+0000,4.83,5.565,5.565,8.58
2021-07-29 10:00:00 UTC+0000,3.125,1.435,1.435,2.29
2021-07-29 14:00:00 UTC+0000,5.8,5.2575,5.2575,8.53
2021-07-29 18:00:00 UTC+0000,6.1225,6.13,6.13,9.65
2021-07-29 22:00:00 UTC+0000,0.3,0.21,0.21,0.5
2021-07-30 02:00:00 UTC+0000,1.39,1.075,1.075,2.42
2021-07-30 06:00:00 UTC+0000,4.635,4.83,4.83,8.0575
2021-07-30 10:00:00 UTC+0000,2.09,3.125,3.125,1.9
2021-07-30 14:00:00 UTC+0000,9.25,5.8,5.8,8.02
2021-07-30 18:00:00 UTC+0000,12.0375,6.1225,6.1225,10.2625
2021-07-30 22:00:00 UTC+0000,1.5,2.0,0.3,2.0
2021-07-31 02:00:00 UTC+0000,1.205,1.71,1.39,1.71
2021-07-31 06:00:00 UTC+0000,4.4,5.9,4.635,5.9
2021-07-31 10:00:00 UTC+0000,2.0675,1.5075,2.09,1.5075
2021-07-31 14:00:00 UTC+0000,7.5575,6.275,9.25,6.275
2021-07-31 18:00:00 UTC+0000,6.26,7.505,12.0375,7.505
2021-07-31 22:00:00 UTC+0000,0.71,1.0575,1.5,1.0575
2021-08-01 02:00:00 UTC+0000,0.925,1.6425,1.205,1.6425
2021-08-01 06:00:00 UTC+0000,3.6125,4.88,4.4,4.88
2021-08-01 10:00:00 UTC+0000,1.365,1.2,2.0675,1.2
2021-08-01 14:00:00 UTC+0000,11.25,5.28,7.5575,5.28
2021-08-01 18:00:00 UTC+0000,5.84,6.9875,6.26,6.9875
2021-08-01 22:00:00 UTC+0000,0.5,0.3,0.71,1.555
2021-08-02 02:00:00 UTC+0000,2.7,1.39,0.925,5.0
2021-08-02 06:00:00 UTC+0000,6.125,4.635,3.6125,8.0
2021-08-02 10:00:00 UTC+0000,2.195,2.09,1.365,2.9825
2021-08-02 14:00:00 UTC+0000,7.68,9.25,11.25,9.36
2021-08-02 18:00:00 UTC+0000,9.075,12.0375,5.84,9.73
2021-08-02 22:00:00 UTC+0000,0.35,0.5,0.5,0.68
2021-08-03 02:00:00 UTC+0000,1.6725,2.7,2.7,2.11
2021-08-03 06:00:00 UTC+0000,5.5,6.125,6.125,7.04
2021-08-03 10:00:00 UTC+0000,1.73,2.195,2.195,2.0
2021-08-03 14:00:00 UTC+0000,8.815,7.68,7.68,6.55
2021-08-03 18:00:00 UTC+0000,6.6625,9.075,9.075,7.3075
2021-08-03 22:00:00 UTC+0000,0.25,0.35,0.35,0.27
2021-08-04 02:00:00 UTC+0000,1.25,1.6725,1.6725,1.38
2021-08-04 06:00:00 UTC+0000,8.03,5.5,5.5,5.565
2021-08-04 10:00:00 UTC+0000,1.385,1.73,1.73,1.435
2021-08-04 14:00:00 UTC+0000,7.05,8.815,8.815,5.2575
2021-08-04 18:00:00 UTC+0000,7.5,6.6625,6.6625,6.13
2021-08-04 22:00:00 UTC+0000,0.1875,0.25,0.25,0.21
2021-08-05 02:00:00 UTC+0000,1.025,1.25,1.25,1.075
2021-08-05 06:00:00 UTC+0000,10.0,8.03,8.03,4.83
2021-08-05 10:00:00 UTC+0000,1.085,1.385,1.385,3.125
2021-08-05 14:00:00 UTC+0000,11.16,7.05,7.05,5.8
2021-08-05 18:00:00 UTC+0000,6.635,7.5,7.5,6.1225
2021-08-05 22:00:00 UTC+0000,0.275,0.1875,0.1875,0.3
2021-08-06 02:00:00 UTC+0000,1.0525,1.025,1.025,1.39
2021-08-06 06:00:00 UTC+0000,6.655,10.0,10.0,4.635
2021-08-06 10:00:00 UTC+0000,0.975,1.085,1.085,2.09
2021-08-06 14:00:00 UTC+0000,7.14,11.16,11.16,9.25
2021-08-06 18:00:00 UTC+0000,6.7,6.635,6.635,12.0375
2021-08-06 22:00:00 UTC+0000,0.9375,1.5,0.275,1.5
2021-08-07 02:00:00 UTC+0000,0.74,1.205,1.0525,1.205
2021-08-07 06:00:00 UTC+0000,4.5,4.4,6.655,4.4
2021-08-07 10:00:00 UTC+0000,1.75,2.0675,0.975,2.0675
2021-08-07 14:00:00 UTC+0000,5.575,7.5575,7.14,7.5575
2021-08-07 18:00:00 UTC+0000,5.335,6.26,6.7,6.26
2021-08-07 22:00:00 UTC+0000,1.925,0.71,0.9375,0.71
2021-08-08 02:00:00 UTC+0000,0.9875,0.925,0.74,0.925
2021-08-08 06:00:00 UTC+0000,4.25,3.6125,4.5,3.6125
2021-08-08 10:00:00 UTC+0000,2.5,1.365,1.75,1.365
2021-08-08 14:00:00 UTC+0000,7.425,11.25,5.575,11.25
2021-08-08 18:00:00 UTC+0000,5.8,5.84,5.335,5.84
2021-08-08 22:00:00 UTC+0000,0.52,0.275,1.925,0.5
2021-08-09 02:00:00 UTC+0000,2.2,1.0525,0.9875,2.7
2021-08-09 06:00:00 UTC+0000,5.23,6.655,4.25,6.125
2021-08-09 10:00:00 UTC+0000,2.85,0.975,2.5,2.195
2021-08-09 14:00:00 UTC+0000,8.2025,7.14,7.425,7.68
2021-08-09 18:00:00 UTC+0000,6.435,6.7,5.8,9.075
2021-08-09 22:00:00 UTC+0000,0.935,0.52,0.52,0.35
2021-08-10 02:00:00 UTC+0000,1.455,2.2,2.2,1.6725
2021-08-10 06:00:00 UTC+0000,4.97,5.23,5.23,5.5
2021-08-10 10:00:00 UTC+0000,2.2325,2.85,2.85,1.73
2021-08-10 14:00:00 UTC+0000,6.9675,8.2025,8.2025,8.815
2021-08-10 18:00:00 UTC+0000,6.8275,6.435,6.435,6.6625
2021-08-10 22:00:00 UTC+0000,0.5525,0.935,0.935,0.25
2021-08-11 02:00:00 UTC+0000,1.1525,1.455,1.455,1.25
2021-08-11 06:00:00 UTC+0000,12.555,4.97,4.97,8.03
2021-08-11 10:00:00 UTC+0000,1.655,2.2325,2.2325,1.385
2021-08-11 14:00:00 UTC+0000,11.25,6.9675,6.9675,7.05
2021-08-11 18:00:00 UTC+0000,22.0475,6.8275,6.8275,7.5
2021-08-11 22:00:00 UTC+0000,0.375,0.5525,0.5525,0.1875
2021-08-12 02:00:00 UTC+0000,1.1675,1.1525,1.1525,1.025
2021-08-12 06:00:00 UTC+0000,9.75,12.555,12.555,10.0
2021-08-12 10:00:00 UTC+0000,1.25,1.655,1.655,1.085
2021-08-12 14:00:00 UTC+0000,9.505,11.25,11.25,11.16
2021-08-12 18:00:00 UTC+0000,15.46,22.0475,22.0475,6.635
2021-08-12 22:00:00 UTC+0000,0.3,0.375,0.375,0.275
2021-08-13 02:00:00 UTC+0000,1.08,1.1675,1.1675,1.0525
2021-08-13 06:00:00 UTC+0000,7.215,9.75,9.75,6.655
2021-08-13 10:00:00 UTC+0000,1.0775,1.25,1.25,0.975
2021-08-13 14:00:00 UTC+0000,7.4575,9.505,9.505,7.14
2021-08-13 18:00:00 UTC+0000,10.2975,15.46,15.46,6.7
2021-08-13 22:00:00 UTC+0000,1.275,0.9375,0.3,0.9375
2021-08-14 02:00:00 UTC+0000,0.85,0.74,1.08,0.74
2021-08-14 06:00:00 UTC+0000,5.1825,4.5,7.215,4.5
2021-08-14 10:00:00 UTC+0000,1.225,1.75,1.0775,1.75
2021-08-14 14:00:00 UTC+0000,6.3575,5.575,7.4575,5.575
2021-08-14 18:00:00 UTC+0000,7.71,5.335,10.2975,5.335
2021-08-14 22:00:00 UTC+0000,1.15,1.925,1.275,1.925
2021-08-15 02:00:00 UTC+0000,0.7,0.9875,0.85,0.9875
2021-08-15 06:00:00 UTC+0000,4.1375,4.25,5.1825,4.25
2021-08-15 10:00:00 UTC+0000,0.975,2.5,1.225,2.5
2021-08-15 14:00:00 UTC+0000,6.425,7.425,6.3575,7.425
2021-08-15 18:00:00 UTC+0000,7.575,5.8,7.71,5.8
2021-08-15 22:00:00 UTC+0000,0.49,0.3,1.15,0.52
2021-08-16 02:00:00 UTC+0000,1.36,1.08,0.7,2.2
2021-08-16 06:00:00 UTC+0000,5.4125,7.215,4.1375,5.23
2021-08-16 10:00:00 UTC+0000,1.71,1.0775,0.975,2.85
2021-08-16 14:00:00 UTC+0000,7.4075,7.4575,6.425,8.2025
2021-08-16 18:00:00 UTC+0000,7.0,10.2975,7.575,6.435
2021-08-16 22:00:00 UTC+0000,0.355,0.49,0.49,0.935
2021-08-17 02:00:00 UTC+0000,0.93,1.36,1.36,1.455
2021-08-17 06:00:00 UTC+0000,3.795,5.4125,5.4125,4.97
2021-08-17 10:00:00 UTC+0000,1.155,1.71,1.71,2.2325
2021-08-17 14:00:00 UTC+0000,5.675,7.4075,7.4075,6.9675
2021-08-17 18:00:00 UTC+0000,5.95,7.0,7.0,6.8275
2021-08-17 22:00:00 UTC+0000,0.24,0.355,0.355,0.5525
2021-08-18 02:00:00 UTC+0000,0.7625,0.93,0.93,1.1525
2021-08-18 06:00:00 UTC+0000,3.5,3.795,3.795,12.555
2021-08-18 10:00:00 UTC+0000,0.8,1.155,1.155,1.655
2021-08-18 14:00:00 UTC+0000,4.75,5.675,5.675,11.25
2021-08-18 18:00:00 UTC+0000,5.125,5.95,5.95,22.0475
2021-08-18 22:00:00 UTC+0000,0.2,0.24,0.24,0.375
2021-08-19 02:00:00 UTC+0000,0.975,0.7625,0.7625,1.1675
2021-08-19 06:00:00 UTC+0000,4.215,3.5,3.5,9.75
2021-08-19 10:00:00 UTC+0000,0.6825,0.8,0.8,1.25
2021-08-19 14:00:00 UTC+0000,9.34,4.75,4.75,9.505
2021-08-19 18:00:00 UTC+0000,6.01,5.125,5.125,15.46
2021-08-19 22:00:00 UTC+0000,0.25,0.2,0.2,0.3
2021-08-20 02:00:00 UTC+0000,1.25,0.975,0.975,1.08
2021-08-20 06:00:00 UTC+0000,4.82,4.215,4.215,7.215
2021-08-20 10:00:00 UTC+0000,0.755,0.6825,0.6825,1.0775
2021-08-20 14:00:00 UTC+0000,9.305,9.34,9.34,7.4575
2021-08-20 18:00:00 UTC+0000,6.41,6.01,6.01,10.2975
2021-08-20 22:00:00 UTC+0000,0.275,1.275,0.25,1.275
2021-08-21 02:00:00 UTC+0000,0.75,0.85,1.25,0.85
2021-08-21 06:00:00 UTC+0000,3.25,5.1825,4.82,5.1825
2021-08-21 10:00:00 UTC+0000,0.66,1.225,0.755,1.225
2021-08-21 14:00:00 UTC+0000,6.0,6.3575,9.305,6.3575
2021-08-21 18:00:00 UTC+0000,5.0,7.71,6.41,7.71
2021-08-21 22:00:00 UTC+0000,0.28,1.15,0.275,1.15
2021-08-22 02:00:00 UTC+0000,0.52,0.7,0.75,0.7
2021-08-22 06:00:00 UTC+0000,2.3,4.1375,3.25,4.1375
2021-08-22 10:00:00 UTC+0000,0.4625,0.975,0.66,0.975
2021-08-22 14:00:00 UTC+0000,4.655,6.425,6.0,6.425
2021-08-22 18:00:00 UTC+0000,4.15,7.575,5.0,7.575
2021-08-22 22:00:00 UTC+0000,0.28,0.25,0.28,0.49
2021-08-23 02:00:00 UTC+0000,0.985,1.25,0.52,1.36
2021-08-23 06:00:00 UTC+0000,3.875,4.82,2.3,5.4125
2021-08-23 10:00:00 UTC+0000,1.06,0.755,0.4625,1.71
2021-08-23 14:00:00 UTC+0000,5.725,9.305,4.655,7.4075
2021-08-23 18:00:00 UTC+0000,5.2625,6.41,4.15,7.0
2021-08-23 22:00:00 UTC+0000,0.23,0.28,0.28,0.355
2021-08-24 02:00:00 UTC+0000,0.825,0.985,0.985,0.93
2021-08-24 06:00:00 UTC+0000,3.35,3.875,3.875,3.795
2021-08-24 10:00:00 UTC+0000,0.88,1.06,1.06,1.155
2021-08-24 14:00:00 UTC+0000,6.25,5.725,5.725,5.675
2021-08-24 18:00:00 UTC+0000,4.72,5.2625,5.2625,5.95
2021-08-24 22:00:00 UTC+0000,0.16,0.23,0.23,0.24
2021-08-25 02:00:00 UTC+0000,0.62,0.825,0.825,0.7625
2021-08-25 06:00:00 UTC+0000,4.77,3.35,3.35,3.5
2021-08-25 10:00:00 UTC+0000,0.625,0.88,0.88,0.8
2021-08-25 14:00:00 UTC+0000,4.26,6.25,6.25,4.75
2021-08-25 18:00:00 UTC+0000,3.95,4.72,4.72,5.125
2021-08-25 22:00:00 UTC+0000,0.2125,0.16,0.16,0.2
2021-08-26 02:00:00 UTC+0000,0.7025,0.62,0.62,0.975
2021-08-26 06:00:00 UTC+0000,4.4775,4.77,4.77,4.215
2021-08-26 10:00:00 UTC+0000,0.5,0.625,0.625,0.6825
2021-08-26 14:00:00 UTC+0000,4.665,4.26,4.26,9.34
2021-08-26 18:00:00 UTC+0000,3.61,3.95,3.95,6.01
2021-08-26 22:00:00 UTC+0000,0.11,0.2125,0.2125,0.25
2021-08-27 02:00:00 UTC+0000,0.6375,0.7025,0.7025,1.25
2021-08-27 06:00:00 UTC+0000,3.6175,4.4775,4.4775,4.82
2021-08-27 10:00:00 UTC+0000,0.44,0.5,0.5,0.755
2021-08-27 14:00:00 UTC+0000,3.75,4.665,4.665,9.305
2021-08-27 18:00:00 UTC+0000,3.095,3.61,3.61,6.41
2021-08-27 22:00:00 UTC+0000,0.8125,0.275,0.11,0.275
2021-08-28 02:00:00 UTC+0000,0.605,0.75,0.6375,0.75
2021-08-28 06:00:00 UTC+0000,3.0875,3.25,3.6175,3.25
2021-08-28 10:00:00 UTC+0000,12.505,0.66,0.44,0.66
2021-08-28 14:00:00 UTC+0000,4.6225,6.0,3.75,6.0
2021-08-28 18:00:00 UTC+0000,3.875,5.0,3.095,5.0
2021-08-28 22:00:00 UTC+0000,0.51,0.28,0.8125,0.28
2021-08-29 02:00:00 UTC+0000,0.44,0.52,0.605,0.52
2021-08-29 06:00:00 UTC+0000,2.52,2.3,3.0875,2.3
2021-08-29 10:00:00 UTC+0000,4.39,0.4625,12.505,0.4625
2021-08-29 14:00:00 UTC+0000,4.005,4.655,4.6225,4.655
2021-08-29 18:00:00 UTC+0000,3.5725,4.15,3.875,4.15
2021-08-29 22:00:00 UTC+0000,0.1975,0.11,0.51,0.28
2021-08-30 02:00:00 UTC+0000,0.69,0.6375,0.44,0.985
2021-08-30 06:00:00 UTC+0000,4.0,3.6175,2.52,3.875
2021-08-30 10:00:00 UTC+0000,2.25,0.44,4.39,1.06
2021-08-30 14:00:00 UTC+0000,4.95,3.75,4.005,5.725
2021-08-30 18:00:00 UTC+0000,4.715,3.095,3.5725,5.2625
2021-08-30 22:00:00 UTC+0000,0.1725,0.1975,0.1975,0.23
2021-08-31 02:00:00 UTC+0000,0.5,0.69,0.69,0.825
2021-08-31 06:00:00 UTC+0000,3.94,4.0,4.0,3.35
2021-08-31 10:00:00 UTC+0000,1.43,2.25,2.25,0.88
2021-08-31 14:00:00 UTC+0000,4.2875,4.95,4.95,6.25
2021-08-31 18:00:00 UTC+0000,3.985,4.715,4.715,4.72
2021-08-31 22:00:00 UTC+0000,0.0725,0.1725,0.1725,0.16
2021-09-01 02:00:00 UTC+0000,0.3825,0.5,0.5,0.62
2021-09-01 06:00:00 UTC+0000,3.8,3.94,3.94,4.77
2021-09-01 10:00:00 UTC+0000,1.0,1.43,1.43,0.625
2021-09-01 14:00:00 UTC+0000,3.69,4.2875,4.2875,4.26
2021-09-01 18:00:00 UTC+0000,3.45,3.985,3.985,3.95
2021-09-01 22:00:00 UTC+0000,0.1,0.0725,0.0725,0.2125
2021-09-02 02:00:00 UTC+0000,0.85,0.3825,0.3825,0.7025
2021-09-02 06:00:00 UTC+0000,3.6775,3.8,3.8,4.4775
2021-09-02 10:00:00 UTC+0000,0.75,1.0,1.0,0.5
2021-09-02 14:00:00 UTC+0000,4.2,3.69,3.69,4.665
2021-09-02 18:00:00 UTC+0000,2.9575,3.45,3.45,3.61
2021-09-02 22:00:00 UTC+0000,0.0,0.1,0.1,0.11
2021-09-03 02:00:00 UTC+0000,0.4,0.85,0.85,0.6375
2021-09-03 06:00:00 UTC+0000,3.0,3.6775,3.6775,3.6175
2021-09-03 10:00:00 UTC+0000,0.555,0.75,0.75,0.44
2021-09-03 14:00:00 UTC+0000,3.0,4.2,4.2,3.75
2021-09-03 18:00:00 UTC+0000,2.25,2.9575,2.9575,3.095
2021-09-03 22:00:00 UTC+0000,0.03,0.8125,0.0,0.8125
2021-09-04 02:00:00 UTC+0000,0.2275,0.605,0.4,0.605
2021-09-04 06:00:00 UTC+0000,2.3125,3.0875,3.0,3.0875
2021-09-04 10:00:00 UTC+0000,0.505,12.505,0.555,12.505
2021-09-04 14:00:00 UTC+0000,3.5,4.6225,3.0,4.6225
2021-09-04 18:00:00 UTC+0000,2.88,3.875,2.25,3.875
2021-09-04 22:00:00 UTC+0000,0.195,0.51,0.03,0.51
2021-09-05 02:00:00 UTC+0000,0.165,0.44,0.2275,0.44
2021-09-05 06:00:00 UTC+0000,1.59,2.52,2.3125,2.52
2021-09-05 10:00:00 UTC+0000,0.575,4.39,0.505,4.39
2021-09-05 14:00:00 UTC+0000,2.75,4.005,3.5,4.005
2021-09-05 18:00:00 UTC+0000,2.355,3.5725,2.88,3.5725
2021-09-05 22:00:00 UTC+0000,0.3125,0.0,0.195,0.1975
2021-09-06 02:00:00 UTC+0000,2.25,0.4,0.165,0.69
2021-09-06 06:00:00 UTC+0000,7.76,3.0,1.59,4.0
2021-09-06 10:00:00 UTC+0000,2.21,0.555,0.575,2.25
2021-09-06 14:00:00 UTC+0000,15.76,3.0,2.75,4.95
2021-09-06 18:00:00 UTC+0000,5.8325,2.25,2.355,4.715
