time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-22 03:00:00 UTC+0000,0.86,0.96,0.96,1.75
2021-01-22 07:00:00 UTC+0000,3.17,3.325,3.325,19.75
2021-01-22 11:00:00 UTC+0000,0.9725,0.935,0.935,8.545
2021-01-22 15:00:00 UTC+0000,10.3125,3.5175,3.5175,26.25
2021-01-22 19:00:00 UTC+0000,0.8975,0.7,0.7,1.575
2021-01-22 23:00:00 UTC+0000,0.25,0.3,0.23,0.3
2021-01-23 03:00:00 UTC+0000,0.85,1.0,0.86,1.0
2021-01-23 07:00:00 UTC+0000,2.7275,4.9175,3.17,4.9175
2021-01-23 11:00:00 UTC+0000,0.83,2.4725,0.9725,2.4725
2021-01-23 15:00:00 UTC+0000,5.67,6.79,10.3125,6.79
2021-01-23 19:00:00 UTC+0000,0.74,1.0,0.8975,1.0
2021-01-23 23:00:00 UTC+0000,0.21,0.25,0.25,0.25
2021-01-24 03:00:00 UTC+0000,0.64,0.77,0.85,0.77
2021-01-24 07:00:00 UTC+0000,2.39,3.625,2.7275,3.625
2021-01-24 11:00:00 UTC+0000,0.63,1.75,0.83,1.75
2021-01-24 15:00:00 UTC+0000,4.05,4.75,5.67,4.75
2021-01-24 19:00:00 UTC+0000,0.6,0.85,0.74,0.85
2021-01-24 23:00:00 UTC+0000,0.225,0.23,0.21,0.2275
2021-01-25 03:00:00 UTC+0000,1.0275,0.86,0.64,2.4975
2021-01-25 07:00:00 UTC+0000,10.5,3.17,2.39,8.5525
2021-01-25 11:00:00 UTC+0000,1.79,0.9725,0.63,2.2575
2021-01-25 15:00:00 UTC+0000,11.7775,10.3125,4.05,4.45
2021-01-25 19:00:00 UTC+0000,1.0375,0.8975,0.6,1.065
2021-01-25 23:00:00 UTC+0000,0.5,0.225,0.225,0.3325
2021-01-26 03:00:00 UTC+0000,1.17,1.0275,1.0275,1.5
2021-01-26 07:00:00 UTC+0000,9.375,10.5,10.5,5.25
2021-01-26 11:00:00 UTC+0000,1.5,1.79,1.79,1.46
2021-01-26 15:00:00 UTC+0000,10.11,11.7775,11.7775,3.68
2021-01-26 19:00:00 UTC+0000,1.34,1.0375,1.0375,0.8
2021-01-26 23:00:00 UTC+0000,0.64,0.5,0.5,0.25
2021-01-27 03:00:00 UTC+0000,0.925,1.17,1.17,1.22
2021-01-27 07:00:00 UTC+0000,7.955,9.375,9.375,4.1375
2021-01-27 11:00:00 UTC+0000,1.34,1.5,1.5,1.1875
2021-01-27 15:00:00 UTC+0000,8.5,10.11,10.11,4.095
2021-01-27 19:00:00 UTC+0000,1.5975,1.34,1.34,0.75
2021-01-27 23:00:00 UTC+0000,0.55,0.64,0.64,0.235
2021-01-28 03:00:00 UTC+0000,1.1325,0.925,0.925,0.96
2021-01-28 07:00:00 UTC+0000,7.285,7.955,7.955,3.325
2021-01-28 11:00:00 UTC+0000,1.3175,1.34,1.34,0.935
2021-01-28 15:00:00 UTC+0000,6.6625,8.5,8.5,3.5175
2021-01-28 19:00:00 UTC+0000,1.5,1.5975,1.5975,0.7
2021-01-28 23:00:00 UTC+0000,0.5,0.55,0.55,0.23
2021-01-29 03:00:00 UTC+0000,0.9,1.1325,1.1325,0.86
2021-01-29 07:00:00 UTC+0000,5.02,7.285,7.285,3.17
2021-01-29 11:00:00 UTC+0000,1.05,1.3175,1.3175,0.9725
2021-01-29 15:00:00 UTC+0000,5.275,6.6625,6.6625,10.3125
2021-01-29 19:00:00 UTC+0000,1.0675,1.5,1.5,0.8975
2021-01-29 23:00:00 UTC+0000,0.4275,0.25,0.5,0.25
2021-01-30 03:00:00 UTC+0000,0.715,0.85,0.9,0.85
2021-01-30 07:00:00 UTC+0000,3.75,2.7275,5.02,2.7275
2021-01-30 11:00:00 UTC+0000,0.85,0.83,1.05,0.83
2021-01-30 15:00:00 UTC+0000,4.85,5.67,5.275,5.67
2021-01-30 19:00:00 UTC+0000,0.8875,0.74,1.0675,0.74
2021-01-30 23:00:00 UTC+0000,0.3875,0.21,0.4275,0.21
2021-01-31 03:00:00 UTC+0000,0.7,0.64,0.715,0.64
2021-01-31 07:00:00 UTC+0000,2.75,2.39,3.75,2.39
2021-01-31 11:00:00 UTC+0000,0.67,0.63,0.85,0.63
2021-01-31 15:00:00 UTC+0000,3.89,4.05,4.85,4.05
2021-01-31 19:00:00 UTC+0000,0.825,0.6,0.8875,0.6
2021-01-31 23:00:00 UTC+0000,1.8225,0.5,0.3875,0.225
2021-02-01 03:00:00 UTC+0000,4.47,0.9,0.7,1.0275
2021-02-01 07:00:00 UTC+0000,8.325,5.02,2.75,10.5
2021-02-01 11:00:00 UTC+0000,2.855,1.05,0.67,1.79
2021-02-01 15:00:00 UTC+0000,9.785,5.275,3.89,11.7775
2021-02-01 19:00:00 UTC+0000,1.375,1.0675,0.825,1.0375
2021-02-01 23:00:00 UTC+0000,3.0725,1.8225,1.8225,0.5
2021-02-02 03:00:00 UTC+0000,7.825,4.47,4.47,1.17
2021-02-02 07:00:00 UTC+0000,8.75,8.325,8.325,9.375
2021-02-02 11:00:00 UTC+0000,3.195,2.855,2.855,1.5
2021-02-02 15:00:00 UTC+0000,6.5,9.785,9.785,10.11
2021-02-02 19:00:00 UTC+0000,4.1075,1.375,1.375,1.34
2021-02-02 23:00:00 UTC+0000,2.22,3.0725,3.0725,0.64
2021-02-03 03:00:00 UTC+0000,4.97,7.825,7.825,0.925
2021-02-03 07:00:00 UTC+0000,8.22,8.75,8.75,7.955
2021-02-03 11:00:00 UTC+0000,2.65,3.195,3.195,1.34
2021-02-03 15:00:00 UTC+0000,5.51,6.5,6.5,8.5
2021-02-03 19:00:00 UTC+0000,3.245,4.1075,4.1075,1.5975
2021-02-03 23:00:00 UTC+0000,1.4575,2.22,2.22,0.55
2021-02-04 03:00:00 UTC+0000,3.97,4.97,4.97,1.1325
2021-02-04 07:00:00 UTC+0000,7.25,8.22,8.22,7.285
2021-02-04 11:00:00 UTC+0000,2.47,2.65,2.65,1.3175
2021-02-04 15:00:00 UTC+0000,11.4275,5.51,5.51,6.6625
2021-02-04 19:00:00 UTC+0000,2.5,3.245,3.245,1.5
2021-02-04 23:00:00 UTC+0000,1.0,1.4575,1.4575,0.5
2021-02-05 03:00:00 UTC+0000,3.5,3.97,3.97,0.9
2021-02-05 07:00:00 UTC+0000,6.5,7.25,7.25,5.02
2021-02-05 11:00:00 UTC+0000,2.0,2.47,2.47,1.05
2021-02-05 15:00:00 UTC+0000,8.25,11.4275,11.4275,5.275
2021-02-05 19:00:00 UTC+0000,2.4275,2.5,2.5,1.0675
2021-02-05 23:00:00 UTC+0000,0.82,0.4275,1.0,0.4275
2021-02-06 03:00:00 UTC+0000,2.06,0.715,3.5,0.715
2021-02-06 07:00:00 UTC+0000,4.1625,3.75,6.5,3.75
2021-02-06 11:00:00 UTC+0000,1.5,0.85,2.0,0.85
2021-02-06 15:00:00 UTC+0000,4.7475,4.85,8.25,4.85
2021-02-06 19:00:00 UTC+0000,1.5,0.8875,2.4275,0.8875
2021-02-06 23:00:00 UTC+0000,0.5,0.3875,0.82,0.3875
2021-02-07 03:00:00 UTC+0000,1.4,0.7,2.06,0.7
2021-02-07 07:00:00 UTC+0000,2.5,2.75,4.1625,2.75
2021-02-07 11:00:00 UTC+0000,1.25,0.67,1.5,0.67
2021-02-07 15:00:00 UTC+0000,3.625,3.89,4.7475,3.89
2021-02-07 19:00:00 UTC+0000,1.5,0.825,1.5,0.825
2021-02-07 23:00:00 UTC+0000,9.1,1.0,0.5,1.8225
2021-02-08 03:00:00 UTC+0000,27.5,3.5,1.4,4.47
2021-02-08 07:00:00 UTC+0000,12.22,6.5,2.5,8.325
2021-02-08 11:00:00 UTC+0000,6.4275,2.0,1.25,2.855
2021-02-08 15:00:00 UTC+0000,14.67,8.25,3.625,9.785
2021-02-08 19:00:00 UTC+0000,5.0,2.4275,1.5,1.375
2021-02-08 23:00:00 UTC+0000,7.5,9.1,9.1,3.0725
2021-02-09 03:00:00 UTC+0000,22.5,27.5,27.5,7.825
2021-02-09 07:00:00 UTC+0000,30.27,12.22,12.22,8.75
2021-02-09 11:00:00 UTC+0000,14.25,6.4275,6.4275,3.195
2021-02-09 15:00:00 UTC+0000,21.9,14.67,14.67,6.5
2021-02-09 19:00:00 UTC+0000,8.25,5.0,5.0,4.1075
2021-02-09 23:00:00 UTC+0000,5.625,7.5,7.5,2.22
2021-02-10 03:00:00 UTC+0000,25.2825,22.5,22.5,4.97
2021-02-10 07:00:00 UTC+0000,22.3925,30.27,30.27,8.22
2021-02-10 11:00:00 UTC+0000,11.8925,14.25,14.25,2.65
2021-02-10 15:00:00 UTC+0000,21.125,21.9,21.9,5.51
2021-02-10 19:00:00 UTC+0000,6.95,8.25,8.25,3.245
2021-02-10 23:00:00 UTC+0000,4.0,5.625,5.625,1.4575
2021-02-11 03:00:00 UTC+0000,21.4275,25.2825,25.2825,3.97
2021-02-11 07:00:00 UTC+0000,27.6425,22.3925,22.3925,7.25
2021-02-11 11:00:00 UTC+0000,9.75,11.8925,11.8925,2.47
2021-02-11 15:00:00 UTC+0000,28.33,21.125,21.125,11.4275
2021-02-11 19:00:00 UTC+0000,6.9275,6.95,6.95,2.5
2021-02-11 23:00:00 UTC+0000,3.0825,4.0,4.0,1.0
2021-02-12 03:00:00 UTC+0000,15.5,21.4275,21.4275,3.5
2021-02-12 07:00:00 UTC+0000,22.455,27.6425,27.6425,6.5
2021-02-12 11:00:00 UTC+0000,7.1875,9.75,9.75,2.0
2021-02-12 15:00:00 UTC+0000,24.25,28.33,28.33,8.25
2021-02-12 19:00:00 UTC+0000,5.9125,6.9275,6.9275,2.4275
2021-02-12 23:00:00 UTC+0000,2.5,0.82,3.0825,0.82
2021-02-13 03:00:00 UTC+0000,7.375,2.06,15.5,2.06
2021-02-13 07:00:00 UTC+0000,10.25,4.1625,22.455,4.1625
2021-02-13 11:00:00 UTC+0000,3.95,1.5,7.1875,1.5
2021-02-13 15:00:00 UTC+0000,11.75,4.7475,24.25,4.7475
2021-02-13 19:00:00 UTC+0000,3.71,1.5,5.9125,1.5
2021-02-13 23:00:00 UTC+0000,1.555,0.5,2.5,0.5
2021-02-14 03:00:00 UTC+0000,4.5,1.4,7.375,1.4
2021-02-14 07:00:00 UTC+0000,5.4325,2.5,10.25,2.5
2021-02-14 11:00:00 UTC+0000,2.525,1.25,3.95,1.25
2021-02-14 15:00:00 UTC+0000,7.25,3.625,11.75,3.625
2021-02-14 19:00:00 UTC+0000,3.0,1.5,3.71,1.5
2021-02-14 23:00:00 UTC+0000,5.3125,3.0825,1.555,9.1
2021-02-15 03:00:00 UTC+0000,19.0,15.5,4.5,27.5
2021-02-15 07:00:00 UTC+0000,13.34,22.455,5.4325,12.22
2021-02-15 11:00:00 UTC+0000,5.16,7.1875,2.525,6.4275
2021-02-15 15:00:00 UTC+0000,12.295,24.25,7.25,14.67
2021-02-15 19:00:00 UTC+0000,5.25,5.9125,3.0,5.0
2021-02-15 23:00:00 UTC+0000,4.0,5.3125,5.3125,7.5
2021-02-16 03:00:00 UTC+0000,12.13,19.0,19.0,22.5
2021-02-16 07:00:00 UTC+0000,14.255,13.34,13.34,30.27
2021-02-16 11:00:00 UTC+0000,3.99,5.16,5.16,14.25
2021-02-16 15:00:00 UTC+0000,9.0,12.295,12.295,21.9
2021-02-16 19:00:00 UTC+0000,4.2325,5.25,5.25,8.25
